5030319610131 16.4  3.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.6 37 -3.8  30 24.0-9.9-9.9
5030319610201 15.4  7.2  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.2 60 -2.2  43 34.4-9.9-9.9
5030319610202 15.8  6.1  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.2 68  0.2  27 21.6-9.9-9.9
5030319610203 19.8 12.2  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.3 69  4.3  14 11.2-9.9-9.9
5030319610204 24.4  7.0  0.009900-99.9-99.9-99.9-99.9-9.9 9910.3 70  7.4  17 13.6-9.9-9.9
5030319610205 20.4 11.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.4 65  2.7  35 28.0-9.9-9.9
5030319610206 15.4  7.2  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.9 70 -0.5  54 43.2-9.9-9.9
5030319610207 17.6  6.1  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.2 72  2.3  17 13.6-9.9-9.9
5030319610208 23.0  7.5  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.3 66  2.5  15 12.0-9.9-9.9
5030319610209 20.3  9.5  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.2 62  0.2  30 24.0-9.9-9.9
5030319610210 16.2  7.1  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.4 72  0.6  25 20.0-9.9-9.9
5030319610211 21.4 12.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.1 67  5.6  69 55.2-9.9-9.9
5030319610212 24.2 12.1  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.8 68  6.7  20 16.0-9.9-9.9
5030319610213 27.0  9.3  0.009900-99.9-99.9-99.9-99.9-9.9 9910.9 68  8.2   6  4.8-9.9-9.9
5030319610214 28.2  5.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.8 61  3.4  22 17.6-9.9-9.9
5030319610215 20.1 11.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.4 71  4.5  30 24.0-9.9-9.9
5030319610216 19.4  3.7  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.0 71 -0.2  25 20.0-9.9-9.9
