5047719610819 20.0 11.0  0.009900-99.9-99.9-99.9-99.9-9.9 9914.9 83 12.9  13 10.4-9.9-9.9
5047719610820 24.0 11.0  0.009900-99.9-99.9-99.9-99.9-9.9 9916.5 82 14.5   7  5.6-9.9-9.9
5047719610821 27.0 12.7  0.009900-99.9-99.9-99.9-99.9-9.9 9915.8 68 13.8  13 10.4-9.9-9.9
5047719610822 20.0 11.4  9.019900-99.9-99.9-99.9-99.9-9.9 9915.6 85 13.6  19 15.2-9.9-9.9
5047719610823 18.0  5.5  7.519900-99.9-99.9-99.9-99.9-9.9 9910.2 70  7.3  11  8.8-9.9-9.9
5047719610824 13.0  9.0  2.519900-99.9-99.9-99.9-99.9-9.9 9912.2 90  9.9  11  8.8-9.9-9.9
5047719610825 18.0  4.0  0.009900-99.9-99.9-99.9-99.9-9.9 9910.7 78  8.0   9  7.2-9.9-9.9
5047719610826 21.0  7.3  0.009900-99.9-99.9-99.9-99.9-9.9 9912.7 70 10.5  19 15.2-9.9-9.9
5047719610827 19.5 11.5  0.009900-99.9-99.9-99.9-99.9-9.9 9910.9 63  8.2  21 16.8-9.9-9.9
5047719610828 19.2  5.7  0.009900-99.9-99.9-99.9-99.9-9.9 9912.4 76 10.1  19 15.2-9.9-9.9
5047719610829 17.0 12.0  2.019900-99.9-99.9-99.9-99.9-9.9 9914.5 92 12.5  18 14.4-9.9-9.9
5047719610830 16.5  6.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.8 76  6.7   9  7.2-9.9-9.9
5047719610831 19.0  6.0  0.009900-99.9-99.9-99.9-99.9-9.9 9911.3 69  8.8  16 12.8-9.9-9.9
5047719610901-99.9 11.0  0.009900-99.9-99.9-99.9-99.9-9.9 9917.0 72 15.0  11  8.8-9.9-9.9
5047719610902 21.5 14.4  1.019900-99.9-99.9-99.9-99.9-9.9 9914.6 71 12.6  21 16.8-9.9-9.9
5047719610903 19.2  9.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.8 55  3.4  17 13.6-9.9-9.9
5047719610904 18.5  0.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.7 61  1.3   7  5.6-9.9-9.9
5047719610905 19.5  1.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.0 48  1.9   7  5.6-9.9-9.9
5047719610906 21.0  5.5  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.4 51  4.5  11  8.8-9.9-9.9
5047719610907 19.2  7.5  0.009900-99.9-99.9-99.9-99.9-9.9 9910.2 64  7.3  21 16.8-9.9-9.9
5047719610908 18.5  6.7  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.5 64  6.2  24 19.2-9.9-9.9
5047719610909 19.2  5.3  5.519900-99.9-99.9-99.9-99.9-9.9 9912.0 74  9.7   6  4.8-9.9-9.9
5047719610910 17.0  8.7  0.719900-99.9-99.9-99.9-99.9-9.9 9912.6 82 10.4   9  7.2-9.9-9.9
5047719610911 15.0 10.0 33.219900-99.9-99.9-99.9-99.9-9.9 9913.1 93 11.0   9  7.2-9.9-9.9
5047719610912 20.0  8.1  0.009900-99.9-99.9-99.9-99.9-9.9 9914.6 86 12.6  13 10.4-9.9-9.9
5047719610913-99.9 14.1  0.009900-99.9-99.9-99.9-99.9-9.9 9920.4 79 17.8  16 12.8-9.9-9.9
5047719610914 19.6 11.0  0.009900-99.9-99.9-99.9-99.9-9.9 9912.9 81 10.7  27 21.6-9.9-9.9
5047719610915 13.5  7.5  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.7 73  6.5  21 16.8-9.9-9.9
5047719610916 19.0  9.5  0.009900-99.9-99.9-99.9-99.9-9.9 9912.0 78  9.7  21 16.8-9.9-9.9
5047719610917 17.5  4.6  0.009900-99.9-99.9-99.9-99.9-9.9 9912.5 90 10.3   9  7.2-9.9-9.9
5047719610918 21.5  3.0  0.009900-99.9-99.9-99.9-99.9-9.9 9912.3 75 10.0   7  5.6-9.9-9.9
5047719610919 23.5  6.0  0.009900-99.9-99.9-99.9-99.9-9.9 9915.6 77 13.6   7  5.6-9.9-9.9
5047719610920 26.0  8.8  0.009900-99.9-99.9-99.9-99.9-9.9 9914.2 61 12.2  11  8.8-9.9-9.9
5047719610921 18.5  7.9  0.009900-99.9-99.9-99.9-99.9-9.9 9912.5 69 10.3  30 24.0-9.9-9.9
5047719610922 19.5  6.1  0.009900-99.9-99.9-99.9-99.9-9.9 9910.5 64  7.7  21 16.8-9.9-9.9
5047719610923-99.9  7.5  8.019900-99.9-99.9-99.9-99.9-9.9 9915.6 85 13.6  13 10.4-9.9-9.9
5047719610924 22.0  7.3  0.009900-99.9-99.9-99.9-99.9-9.9 9912.3 72 10.0  11  8.8-9.9-9.9
5047719610925 30.0 11.0  0.009900-99.9-99.9-99.9-99.9-9.9 9919.4 66 17.0  11  8.8-9.9-9.9
5047719610926 28.0 12.2  0.009900-99.9-99.9-99.9-99.9-9.9 9916.8 70 14.8  11  8.8-9.9-9.9
5047719610927 20.2 12.2  0.009900-99.9-99.9-99.9-99.9-9.9 9910.3 63  7.4  15 12.0-9.9-9.9
5047719610928 17.0  8.3  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.2 56  2.3  16 12.8-9.9-9.9
5047719610929 20.0  2.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.6 48  3.0  13 10.4-9.9-9.9
5047719610930 25.0  4.7  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.6 51  6.4   7  5.6-9.9-9.9
5047719611001 26.6  9.0  0.009900-99.9-99.9-99.9-99.9-9.9 9911.6 47  9.2  14 11.2-9.9-9.9
5047719611002 23.5 11.8  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.3 49  4.3  33 26.4-9.9-9.9
5047719611003 17.8  8.7  0.009900-99.9-99.9-99.9-99.9-9.9 9912.1 76  9.8  16 12.8-9.9-9.9
5047719611004 19.5 11.2  0.009900-99.9-99.9-99.9-99.9-9.9 9916.4 90 14.4   9  7.2-9.9-9.9
5047719611005 22.3 15.2  0.009900-99.9-99.9-99.9-99.9-9.9 9917.1 88 15.0  16 12.8-9.9-9.9
5047719611006 19.0 12.8  0.009900-99.9-99.9-99.9-99.9-9.9 9915.8 82 13.8  18 14.4-9.9-9.9
5047719611007 22.2 14.7  0.009900-99.9-99.9-99.9-99.9-9.9 9919.0 89 16.7   9  7.2-9.9-9.9
