5011519590101 30.9 14.0  0.009900-99.9-99.9-99.9-99.9-9.9 9916.5 74 14.5   1  0.8-9.9-9.9
5011519590102 31.0 16.6  0.009900-99.9-99.9-99.9-99.9-9.9 9915.6 67 13.6   6  4.8-9.9-9.9
5011519590103 32.0 19.9  0.009900-99.9-99.9-99.9-99.9-9.9 9918.3 75 16.1   0  0.0-9.9-9.9
5011519590104 31.9 17.0 20.019900-99.9-99.9-99.9-99.9-9.9 9916.4 88 14.4   4  3.2-9.9-9.9
5011519590105 26.5 14.9  0.009900-99.9-99.9-99.9-99.9-9.9 9914.2 75 12.2   2  1.6-9.9-9.9
5011519590106 27.9 14.6  0.009900-99.9-99.9-99.9-99.9-9.9 9915.1 75 13.1   6  4.8-9.9-9.9
5011519590107 31.0 18.5  0.009900-99.9-99.9-99.9-99.9-9.9 9915.0 64 13.0   0  0.0-9.9-9.9
5011519590108 33.5 17.1  0.009900-99.9-99.9-99.9-99.9-9.9 9917.2 64 15.1   2  1.6-9.9-9.9
5011519590109 29.9 17.1  0.009900-99.9-99.9-99.9-99.9-9.9 9911.2 57  8.6   1  0.8-9.9-9.9
5011519590110 31.4 12.0  0.009900-99.9-99.9-99.9-99.9-9.9 9913.7 64 11.6   3  2.4-9.9-9.9
5011519590111 31.9 14.5  0.009900-99.9-99.9-99.9-99.9-9.9 9913.0 58 10.9   2  1.6-9.9-9.9
5011519590112 34.5 16.4  0.009900-99.9-99.9-99.9-99.9-9.9 9915.2 59 13.2   1  0.8-9.9-9.9
5011519590113 35.4 16.5  0.009900-99.9-99.9-99.9-99.9-9.9 9917.9 63 15.8   2  1.6-9.9-9.9
5011519590114 35.0 16.5  0.009900-99.9-99.9-99.9-99.9-9.9 9918.0 65 15.8   4  3.2-9.9-9.9
5011519590115 29.2 20.1  0.009900-99.9-99.9-99.9-99.9-9.9 9915.6 67 13.6   0  0.0-9.9-9.9
5011519590116 29.5 19.5  0.009900-99.9-99.9-99.9-99.9-9.9 9913.5 59 11.4  13 10.4-9.9-9.9
5011519590117 29.5 12.9  0.009900-99.9-99.9-99.9-99.9-9.9 9911.7 57  9.3   4  3.2-9.9-9.9
5011519590118 34.3 12.9  0.009900-99.9-99.9-99.9-99.9-9.9 9915.0 60 13.0   2  1.6-9.9-9.9
5011519590119 36.8 16.1  0.009900-99.9-99.9-99.9-99.9-9.9 9917.4 62 15.3   3  2.4-9.9-9.9
5011519590120 33.7 20.7  0.009900-99.9-99.9-99.9-99.9-9.9 9916.8 66 14.8   0  0.0-9.9-9.9
5011519590121 35.4 19.0 14.619900-99.9-99.9-99.9-99.9-9.9 9918.8 70 16.5   1  0.8-9.9-9.9
5011519590122 30.3 18.0  0.009900-99.9-99.9-99.9-99.9-9.9 9916.0 76 14.0   1  0.8-9.9-9.9
5011519590123 35.0 16.2  0.009900-99.9-99.9-99.9-99.9-9.9 9916.6 59 14.6   0  0.0-9.9-9.9
5011519590124 36.4 17.5  0.009900-99.9-99.9-99.9-99.9-9.9 9917.9 64 15.8   3  2.4-9.9-9.9
5011519590125 35.0 20.0 57.119900-99.9-99.9-99.9-99.9-9.9 9918.0 82 15.8 -99-99.9-9.9-9.9
5011519590126 31.6 17.1  0.009900-99.9-99.9-99.9-99.9-9.9 9917.9 74 15.8   4  3.2-9.9-9.9
5011519590127 26.9 21.2 16.019900-99.9-99.9-99.9-99.9-9.9 9920.3 93 17.7   3  2.4-9.9-9.9
5011519590128 25.2 21.0  0.719900-99.9-99.9-99.9-99.9-9.9 9921.0 95 18.3   2  1.6-9.9-9.9
5011519590129 32.0 20.0  2.319900-99.9-99.9-99.9-99.9-9.9 9917.8 87 15.7   3  2.4-9.9-9.9
5011519590130 30.0 17.1  0.009900-99.9-99.9-99.9-99.9-9.9 9915.3 70 13.3   4  3.2-9.9-9.9
5011519590131 31.5 14.5  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9   1  0.8-9.9-9.9
5011519590201 32.9 16.6  0.009900-99.9-99.9-99.9-99.9-9.9 9915.6 57 13.6   1  0.8-9.9-9.9
5011519590202 32.6 17.7  0.009900-99.9-99.9-99.9-99.9-9.9 9915.9 63 13.9 -99-99.9-9.9-9.9
5011519590203 37.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9918.9 58 16.6   4  3.2-9.9-9.9
5011519590204 39.0 24.5  3.619900-99.9-99.9-99.9-99.9-9.9 9921.9 69 19.0   9  7.2-9.9-9.9
5011519590205 32.5 19.3  0.009900-99.9-99.9-99.9-99.9-9.9 9918.6 80 16.4   0  0.0-9.9-9.9
