5041919700101 41.0-99.9  8.019900-99.9-99.9-99.9-99.9-9.9 9921.4 52 18.6  16 12.8-9.9-9.9
5041919700102 30.5-99.9  1.019900-99.9-99.9-99.9-99.9-9.9 9923.3 77 20.0  20 16.0-9.9-9.9
5041919700103 25.1-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9914.6 59 12.6  30 24.0-9.9-9.9
5041919700104 19.0-99.9 35.519900-99.9-99.9-99.9-99.9-9.9 9911.4 54  8.9  25 20.0-9.9-9.9
5041919700105 26.0-99.9  4.019900-99.9-99.9-99.9-99.9-9.9 9918.2 82 16.0   8  6.4-9.9-9.9
5041919700106 29.8-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9916.1 63 14.1  10  8.0-9.9-9.9
5041919700107 22.5-99.9 15.019900-99.9-99.9-99.9-99.9-9.9 9917.6 80 15.5  11  8.8-9.9-9.9
5041919700108 25.3-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9912.5 54 10.3  13 10.4-9.9-9.9
5041919700109 24.8-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9910.8 53  8.1  13 10.4-9.9-9.9
5041919700110 26.2-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9912.1 48  9.8   8  6.4-9.9-9.9
5041919700111 32.8-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9915.5 41 13.5  25 20.0-9.9-9.9
5041919700112 33.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9919.7 60 17.3   8  6.4-9.9-9.9
5041919700113 22.8-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9914.8 61 12.8  16 12.8-9.9-9.9
5041919700114 31.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9912.2 42  9.9   4  3.2-9.9-9.9
5041919700115 34.5-99.9  5.019900-99.9-99.9-99.9-99.9-9.9 9915.9 44 13.9  42 33.6-9.9-9.9
5041919700116 31.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9917.6 59 15.5   8  6.4-9.9-9.9
5041919700117 30.1-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9915.4 50 13.4   9  7.2-9.9-9.9
5041919700118 34.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9916.4 50 14.4   7  5.6-9.9-9.9
5041919700119 36.0-99.9 12.019900-99.9-99.9-99.9-99.9-9.9 9919.4 59 17.0  19 15.2-9.9-9.9
5041919700120 35.2-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9921.7 56 18.8   6  4.8-9.9-9.9
5041919700121 30.0-99.9  6.519900-99.9-99.9-99.9-99.9-9.9 9923.8 74 20.3   6  4.8-9.9-9.9
5041919700122 29.8-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9915.6 56 13.6   8  6.4-9.9-9.9
5041919700123 26.0-99.9  2.019900-99.9-99.9-99.9-99.9-9.9 9916.0 65 14.0   4  3.2-9.9-9.9
5041919700124 26.0-99.9 17.019900-99.9-99.9-99.9-99.9-9.9 9915.4 66 13.4  15 12.0-9.9-9.9
5041919700125 24.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9918.2 84 16.0   6  4.8-9.9-9.9
5041919700126 28.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9916.2 66 14.2   1  0.8-9.9-9.9
5041919700127 30.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9914.3 46 12.3  19 15.2-9.9-9.9
5041919700128 31.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9915.9 48 13.9  16 12.8-9.9-9.9
5041919700129 30.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9911.9 39  9.5  13 10.4-9.9-9.9
5041919700130 31.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9914.1 47 12.1  14 11.2-9.9-9.9
5041919700131 33.4-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9913.4 42 11.3  10  8.0-9.9-9.9
5041919700201 31.4-99.9  8.019900-99.9-99.9-99.9-99.9-9.9 9918.9 62 16.6  13 10.4-9.9-9.9
5041919700202 30.8-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9913.9 47 11.9  18 14.4-9.9-9.9
5041919700203 34.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9913.0 35 10.9  27 21.6-9.9-9.9
5041919700204 28.8-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9914.2 59 12.2  13 10.4-9.9-9.9
5041919700205 22.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9  11  8.8-9.9-9.9
5041919700206 25.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9  16 12.8-9.9-9.9
5041919700207 30.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9911.6 40  9.2  21 16.8-9.9-9.9
5041919700208 33.2-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9916.8 52 14.8  19 15.2-9.9-9.9
5041919700209 36.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9912.9 36 10.7  16 12.8-9.9-9.9
5041919700210 31.6-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9912.5 35 10.3  21 16.8-9.9-9.9
5041919700211 35.2-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9915.1 45 13.1  21 16.8-9.9-9.9
5041919700212 31.8-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9914.8 55 12.8  22 17.6-9.9-9.9
5041919700213 35.6-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9917.3 48 15.2   6  4.8-9.9-9.9
5041919700214 37.6-99.9  3.019900-99.9-99.9-99.9-99.9-9.9 9923.5 61 20.1  16 12.8-9.9-9.9
5041919700215 37.2-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9927.6 70 22.7   6  4.8-9.9-9.9
5041919700216 33.6-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9918.2 56 16.0  24 19.2-9.9-9.9
5041919700217 28.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9919.1 72 16.8  30 24.0-9.9-9.9
5041919700218 34.6-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9921.5 59 18.7   6  4.8-9.9-9.9
5041919700219 35.6-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9921.0 59 18.3  21 16.8-9.9-9.9
5041919700220 28.4-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9910.2 37  7.3  13 10.4-9.9-9.9
5041919700221 26.2-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9910.5 45  7.7  10  8.0-9.9-9.9
5041919700222 30.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9913.2 42 11.1  13 10.4-9.9-9.9
5041919700223 38.2-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9914.1 33 12.1  38 30.4-9.9-9.9
5041919700224 38.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9913.2 28 11.1  34 27.2-9.9-9.9
5041919700225 38.0-99.9  8.519900-99.9-99.9-99.9-99.9-9.9 9916.4 40 14.4  18 14.4-9.9-9.9
5041919700226 26.0-99.9101.019900-99.9-99.9-99.9-99.9-9.9 9921.8 97 18.9  15 12.0-9.9-9.9
5041919700227 21.2-99.9 24.019900-99.9-99.9-99.9-99.9-9.9 9917.0 79 15.0  19 15.2-9.9-9.9
5041919700228 24.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9916.0 73 14.0  16 12.8-9.9-9.9
5041919700301 30.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9920.8 67 18.1  21 16.8-9.9-9.9
5041919700302 31.8-99.9 32.519900-99.9-99.9-99.9-99.9-9.9 9919.1 62 16.8   6  4.8-9.9-9.9
5041919700303 30.2-99.9  2.019900-99.9-99.9-99.9-99.9-9.9 9921.6 77 18.7  11  8.8-9.9-9.9
5041919700304 31.8-99.9 91.019900-99.9-99.9-99.9-99.9-9.9 9923.0 74 19.7   6  4.8-9.9-9.9
5041919700305 32.4-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9926.7 76 22.2  19 15.2-9.9-9.9
5041919700306 32.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9925.1 77 21.2   8  6.4-9.9-9.9
5041919700307 26.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9916.0 63 14.0  21 16.8-9.9-9.9
5041919700308 24.6-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9916.0 74 14.0   3  2.4-9.9-9.9
5041919700309 27.6-99.9 12.519900-99.9-99.9-99.9-99.9-9.9 9915.3 61 13.3  24 19.2-9.9-9.9
5041919700310 22.2-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.1 46  5.6   8  6.4-9.9-9.9
