5027019580107 26.8 10.7  0.009900-99.9-99.9-99.9-99.912.3 80 3.0 20 -9.4  67 53.627.616.8
5027019580108 22.7 12.4  0.009900-99.9-99.9-99.9-99.9 8.9 58 4.1 24 -5.4  31 24.822.2 9.0
5027019580109 31.2 16.3  0.009900-99.9-99.9-99.9-99.9 5.7 37 7.0 29  1.9  67 53.617.116.4
5027019580110 25.6 17.0  0.009900-99.9-99.9-99.9-99.911.5 75 6.9 41  1.7  37 29.626.210.8
5027019580111 30.0 15.0  0.009900-99.9-99.9-99.9-99.913.1 85 4.1 20 -5.4  51 40.828.714.9
5027019580112 28.6 13.4  0.009900-99.9-99.9-99.9-99.910.3 67 4.8 24 -3.3  45 36.024.212.6
5027019580113 27.2 17.0  0.009900-99.9-99.9-99.9-99.9 3.2 21 6.1 30  0.0  56 44.813.013.6
5027019580114 27.1 15.0  0.009900-99.9-99.9-99.9-99.912.0 79 5.5 27 -1.4  39 31.226.811.5
5027019580115 23.4 14.7  0.009900-99.9-99.9-99.9-99.9 7.6 50 6.4 42  0.6  36 28.819.9 9.3
5027019580116 25.7 13.6  0.009900-99.9-99.9-99.9-99.9 5.4 35 5.1 24 -2.5  81 64.816.417.5
5027019580117 24.0 11.2  0.009900-99.9-99.9-99.9-99.9 6.8 45 5.5 40 -1.4  40 32.018.5 9.6
5027019580118 26.0  8.7  0.009900-99.9-99.9-99.9-99.910.8 71 4.7 31 -3.6  33 26.424.8 9.2
5027019580119 23.3 11.6  0.009900-99.9-99.9-99.9-99.912.6 83 4.8 29 -3.3  42 33.627.510.9
5027019580120 31.5 14.6  0.009900-99.9-99.9-99.9-99.9 9.2 61 6.1 26  0.0  27 21.622.1 9.3
5027019580121 26.4 16.2  0.009900-99.9-99.9-99.9-99.9 9.3 62 7.8 47  3.4  19 15.222.3 7.1
5027019580122 34.5 12.8  0.009900-99.9-99.9-99.9-99.912.0 80 8.3 40  4.3  33 26.426.410.4
5027019580123 29.1 20.8  0.009900-99.9-99.9-99.9-99.911.8 79 8.4 42  4.5  35 28.026.011.2
5027019580124 27.3 16.2  0.009900-99.9-99.9-99.9-99.9 8.3 56 4.5 24 -4.1  45 36.020.512.6
5027019580125 21.7 12.3  0.009900-99.9-99.9-99.9-99.9 3.1 21 5.2 40 -2.2  31 24.812.4 7.6
5027019580126 25.5  9.8  0.009900-99.9-99.9-99.9-99.912.4 84 4.9 31 -3.0  35 28.026.8 9.6
5027019580127 28.2 15.0  0.009900-99.9-99.9-99.9-99.9 9.4 64 4.6 22 -3.8  38 30.422.011.2
5027019580128 27.3 16.6  0.009900-99.9-99.9-99.9-99.910.1 68 7.5 35  2.9  31 24.823.1 9.3
5027019580129 27.4 18.0  0.009900-99.9-99.9-99.9-99.912.4 84 8.8 44  5.1  17 13.626.5 7.3
5027019580130 26.4 19.7  0.009900-99.9-99.9-99.9-99.9 0.0  0 7.9 35  3.6  35 28.0 7.4 8.9
5027019580131 23.7 12.1  0.009900-99.9-99.9-99.9-99.9 7.3 50 4.1 38 -5.4  51 40.818.512.1
5027019580201 22.5 11.1  0.009900-99.9-99.9-99.9-99.9 9.8 67 6.2 46  0.2  31 24.822.3 7.9
5027019580202 18.0  8.8  0.009900-99.9-99.9-99.9-99.9 8.9 61 5.0 42 -2.7  23 18.420.8 6.0
5027019580203 18.0  8.3  0.009900-99.9-99.9-99.9-99.913.5 93 6.2 48  0.2  14 11.227.8 5.1
5027019580204 25.6 10.0  0.009900-99.9-99.9-99.9-99.912.9 89 7.2 38  2.3  20 16.026.8 6.7
5027019580205 24.1 16.5  0.009900-99.9-99.9-99.9-99.913.0 90 6.1 38  0.0  27 21.626.8 8.6
5027019580206 26.2  9.6  0.009900-99.9-99.9-99.9-99.9 9.3 65 6.4 34  0.6  22 17.621.1 6.7
5027019580207 30.3 13.5  0.009900-99.9-99.9-99.9-99.911.3 79 3.0 15 -9.4  42 33.624.112.4
5027019580208 29.0 13.2  0.009900-99.9-99.9-99.9-99.9 6.6 46 5.2 32 -2.2  62 49.616.914.7
5027019580209 18.2  9.2  0.009900-99.9-99.9-99.9-99.911.4 80 3.6 27 -7.1  28 22.424.0 7.3
5027019580210 24.2  7.8  0.009900-99.9-99.9-99.9-99.9 4.1 29 6.1 38  0.0  19 15.213.0 5.2
5027019580211 21.7 13.4  0.009900-99.9-99.9-99.9-99.9 4.9 35 6.7 49  1.3  32 25.614.1 7.3
5027019580212 16.7  8.2  0.009900-99.9-99.9-99.9-99.9 6.7 48 7.4 61  2.7  27 21.616.7 4.9
5027019580213 17.4 13.8  0.009900-99.9-99.9-99.9-99.9 3.9 2811.4 85  8.9   0  0.012.5 2.3
5027019580214 20.6 11.5  0.009900-99.9-99.9-99.9-99.9 4.7 34 5.0 43 -2.7  38 30.413.6 8.3
5027019580215 14.0  8.0  0.009900-99.9-99.9-99.9-99.9 1.9 14 7.0 79  1.9  19 15.2 9.5 3.4
5027019580216 19.4  8.2  0.009900-99.9-99.9-99.9-99.9 9.1 66 4.8 37 -3.3  41 32.819.9 8.3
5027019580217 23.6 13.2  0.009900-99.9-99.9-99.9-99.9 9.0 65 5.6 39 -1.2  27 21.619.7 7.4
5027019580218 19.0 12.0  0.009900-99.9-99.9-99.9-99.9 3.4 25 4.5 33 -4.1  32 25.611.4 7.3
5027019580219 19.5  8.9  0.009900-99.9-99.9-99.9-99.9 3.8 28 3.5 28 -7.4  39 31.212.0 8.3
5027019580220 22.0  9.5  0.009900-99.9-99.9-99.9-99.9 3.4 25 3.8 27 -6.4  54 43.211.311.1
5027019580221 26.2 11.1  0.009900-99.9-99.9-99.9-99.9 4.9 36 6.9 39  1.7  38 30.413.4 8.3
5027019580222 24.2 12.7  0.009900-99.9-99.9-99.9-99.9 8.8 65 6.8 53  1.5  35 28.018.9 8.1
5027019580223 13.8  8.7  0.009900-99.9-99.9-99.9-99.9 0.3  2 7.0 76  1.9  15 12.0 6.7 2.9
5027019580224 12.7  8.5  0.009900-99.9-99.9-99.9-99.9 0.1  1 8.4 86  4.5   7  5.6 6.3 1.8
5027019580225 28.4  9.0  0.009900-99.9-99.9-99.9-99.9 1.8 13 6.0 36 -0.2  61 48.8 8.712.0
5027019580226 26.3 13.4  0.009900-99.9-99.9-99.9-99.9 8.6 65 4.3 23 -4.7  62 49.618.114.2
5027019580227 24.8 14.0  0.009900-99.9-99.9-99.9-99.9 2.9 22 8.4 60  4.5  30 24.010.1 6.6
5027019580228 28.1 11.9  0.009900-99.9-99.9-99.9-99.9 6.4 48 7.6 42  3.0  20 16.014.9 5.8
5027019580301 28.5 16.9  0.009900-99.9-99.9-99.9-99.9 9.3 71 6.3 31  0.4  54 43.218.713.0
5027019580302 26.1 13.6  0.009900-99.9-99.9-99.9-99.910.2 78 4.0 24 -5.7  58 46.419.913.5
5027019580303 24.4 13.0  0.009900-99.9-99.9-99.9-99.9 4.5 34 5.2 30 -2.2  23 18.412.0 6.3
5027019580304 21.5 12.8  0.009900-99.9-99.9-99.9-99.911.4 88 6.8 43  1.5   9  7.221.2 4.0
5027019580305 24.3 11.8  0.009900-99.9-99.9-99.9-99.911.3 87 8.9 52  5.3  12  9.621.0 4.3
5027019580306 17.8  9.9  0.009900-99.9-99.9-99.9-99.910.4 81 8.0 71  3.8  19 15.219.6 4.2
5027019580307 30.6  8.4  0.009900-99.9-99.9-99.9-99.911.2 87 7.6 43  3.0  19 15.220.5 5.6
5027019580308 33.0 20.0  0.009900-99.9-99.9-99.9-99.910.4 81 5.9 22 -0.5  36 28.819.310.6
5027019580309 27.8 13.7  0.009900-99.9-99.9-99.9-99.910.0 79 6.8 52  1.5  20 16.018.7 6.0
5027019580310 18.2  9.0  0.009900-99.9-99.9-99.9-99.910.7 84 7.0 58  1.9  20 16.019.4 4.3
5027019580311 20.3  6.0  0.009900-99.9-99.9-99.9-99.910.9 86 5.9 47 -0.5  10  8.019.6 3.3
5027019580312 20.0 12.8  0.009900-99.9-99.9-99.9-99.910.0 80 7.9 61  3.6  17 13.618.3 4.3
5027019580313 17.6  7.4  0.009900-99.9-99.9-99.9-99.9 6.9 5510.6 85  7.8  26 20.814.1 3.0
5027019580314 19.9 13.0  0.009900-99.9-99.9-99.9-99.910.6 85-9.9-99-99.9 -99-99.918.7-9.9
5027019580315 29.0  9.9  0.009900-99.9-99.9-99.9-99.9 4.3 35-9.9-99-99.9 -99-99.910.6-9.9
5027019580316 22.6 15.0  0.009900-99.9-99.9-99.9-99.9 0.6  5-9.9-99-99.9 -99-99.9 5.9-9.9
5027019580317 25.8 12.1  0.009900-99.9-99.9-99.9-99.9 7.1 58 6.2 38  0.2  35 28.013.9 7.7
5027019580318 23.5 16.3  0.009900  9.5-99.9-99.9-99.9 6.7 55 6.7 40  1.3  19 15.213.3 5.2
5027019580319 30.6 15.2  0.009900-99.9-99.9-99.9-99.9 1.1  9 6.2 35  0.2  22 17.6 6.3 6.4
5027019580320 26.2 17.4  0.009900 15.4-99.9-99.9-99.9 0.0  0 4.7 29 -3.6  33 26.4 4.9 8.7
5027019580321 18.8  9.1  0.009900  7.4-99.9-99.9-99.9 1.8 15 6.1 64  0.0  25 20.0 7.0 4.6
5027019580322 19.6  4.5  0.009900  2.5-99.9-99.9-99.9 7.4 61 6.6 62  1.1  20 16.013.7 3.5
5027019580323 19.1 10.1  0.009900  7.5-99.9-99.9-99.9 8.7 73 5.6 45 -1.2  14 11.215.1 3.6
5027019580324 16.5  9.2  0.009900  8.4-99.9-99.9-99.9 8.9 75 8.8 81  5.1  18 14.415.2 2.9
5027019580325 25.6  8.6  0.009900  6.7-99.9-99.9-99.9 7.4 62 6.2 39  0.2  11  8.813.3 3.4
5027019580326 18.6 12.6  0.009900 13.5-99.9-99.9-99.9 1.2 10 8.8 72  5.1   9  7.2 5.9 2.4
5027019580327 17.7  7.8  0.009900  6.7-99.9-99.9-99.9 8.3 71 9.6 81  6.4  11  8.814.1 2.1
5027019580328 18.0 11.7  0.009900  8.7-99.9-99.9-99.9 6.0 5110.7 87  8.0  11  8.811.3 2.2
5027019580329 21.3 10.0  0.009900  8.8-99.9-99.9-99.9 0.8  7 6.8 46  1.5  33 26.4 5.3 5.7
5027019580330 18.3  9.2  0.009900  7.9-99.9-99.9-99.9 7.2 62 3.8 32 -6.4  44 35.212.5 7.8
5027019580331 20.3  8.6  0.009900  5.5-99.9-99.9-99.9 8.7 75 4.1 33 -5.4  37 29.614.1 6.8
5027019580401 23.0 16.3  0.009900 14.9-99.9-99.9-99.9 0.0  0 6.9 40  1.7  75 60.0 4.213.6
5027019580402 25.4 16.7  0.009900 15.6-99.9-99.9-99.9 4.5 39 5.8 33 -0.7  48 38.4 9.110.3
5027019580403 20.3 11.0  0.009900  9.3-99.9-99.9-99.9 8.7 76 3.7 29 -6.7  54 43.213.7 9.9
5027019580404 19.2  6.2  0.009900  4.8-99.9-99.9-99.9 6.7 59 3.7 35 -6.7  36 28.811.3 6.2
5027019580405 19.1  8.8  0.009900  8.0-99.9-99.9-99.9 1.6 14 4.6 41 -3.8  40 32.0 5.7 7.0
5027019580406 14.4  6.7  0.009900 10.2-99.9-99.9-99.9 2.3 20 5.8 71 -0.7  19 15.2 6.4 3.0
5027019580407 18.1  5.4  0.009900  3.7-99.9-99.9-99.9 9.0 81 4.3 43 -4.7  26 20.813.4 4.3
