5052520080901-99.9-99.9-99.999900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5052520080902-99.9 -0.6  3.019900-99.9-99.9-99.9-99.9-9.9 99-9.9 81-99.9  12  9.6-9.9-9.9
5052520080903-99.9 -0.5  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9 63-99.9  14 11.2-9.9-9.9
5052520080904-99.9 -5.2  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9 64-99.9   5  4.0-9.9-9.9
5052520080905-99.9 -5.9  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9 72-99.9   0  0.0-9.9-9.9
5052520080906-99.9 -3.4  0.319900-99.9-99.9-99.9-99.9-9.9 99-9.9 84-99.9   0  0.0-9.9-9.9
5052520080907-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9 55-99.9  19 15.2-9.9-9.9
5052520080908-99.9 -2.4-99.999900-99.9-99.9-99.9-99.9-9.9 99-9.9 55-99.9  12  9.6-9.9-9.9
5052520080909-99.9-99.9-99.999900-99.9-99.9-99.9-99.9-9.9 99-9.9 48-99.9  14 11.2-9.9-9.9
5052520080910-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9 35-99.9  25 20.0-9.9-9.9
5052520080911-99.9 -6.2  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9 33-99.9   2  1.6-9.9-9.9
5052520080912-99.9 -7.0  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9 39-99.9   0  0.0-9.9-9.9
5052520080913-99.9 -6.2-99.999900-99.9-99.9-99.9-99.9-9.9 99-9.9 33-99.9  19 15.2-9.9-9.9
5052520080914-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9 28-99.9   5  4.0-9.9-9.9
5052520080915-99.9 -1.6  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9 37-99.9   3  2.4-9.9-9.9
5052520080916-99.9 -1.8  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9 41-99.9   5  4.0-9.9-9.9
5052520080917-99.9  0.0  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9 46-99.9  34 27.2-9.9-9.9
5052520080918-99.9 -2.0  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9 37-99.9  25 20.0-9.9-9.9
5052520080919-99.9 -4.0-99.999900-99.9-99.9-99.9-99.9-9.9 99-9.9 63-99.9   9  7.2-9.9-9.9
5052520080920-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9 38-99.9   8  6.4-9.9-9.9
5052520080921-99.9 -1.8  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9 41-99.9   7  5.6-9.9-9.9
5052520080922-99.9 -1.6  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9 46-99.9   9  7.2-9.9-9.9
5052520080923-99.9  2.2  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9 51-99.9  39 31.2-9.9-9.9
5052520080924-99.9  1.0  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9 39-99.9   6  4.8-9.9-9.9
5052520080925-99.9  0.2  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9 37-99.9   3  2.4-9.9-9.9
5052520080926-99.9  0.0  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9 54-99.9  30 24.0-9.9-9.9
5052520080927-99.9  3.4  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9 45-99.9  19 15.2-9.9-9.9
5052520080928-99.9 -0.2  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9 49-99.9   7  5.6-9.9-9.9
5052520080929-99.9 -1.2  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9 39-99.9   7  5.6-9.9-9.9
5052520080930-99.9  3.0  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9 43-99.9  22 17.6-9.9-9.9
5052520081001-99.9  4.2  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9 53-99.9  37 29.6-9.9-9.9
5052520081002-99.9  6.0  4.019900-99.9-99.9-99.9-99.9-9.9 99-9.9 57-99.9  38 30.4-9.9-9.9
5052520081003-99.9  0.4  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9 47-99.9  34 27.2-9.9-9.9
5052520081004-99.9  1.0  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9 34-99.9  29 23.2-9.9-9.9
