5029320170530-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 70-99.9   6  4.8-9.9-9.9
5029320170531-99.9 -3.1  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 89-99.9   8  6.4-9.9-9.9
5029320170601-99.9 -2.4  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 62-99.9  14 11.2-9.9-9.9
5029320170605-99.9  3.3  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 55-99.9  17 13.6-9.9-9.9
5029320170606-99.9  5.8  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 65-99.9  31 24.8-9.9-9.9
5029320170607-99.9 -1.1  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 92-99.9   8  6.4-9.9-9.9
5029320170608-99.9 -1.6  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 73-99.9  22 17.6-9.9-9.9
5029320170612-99.9 -1.5  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 75-99.9  26 20.8-9.9-9.9
5029320170613-99.9 -3.1  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 65-99.9  16 12.8-9.9-9.9
5029320170614-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 75-99.9  14 11.2-9.9-9.9
5029320170615-99.9-10.2  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 88-99.9   5  4.0-9.9-9.9
5029320170621-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 87-99.9   7  5.6-9.9-9.9
5029320170628-99.9  3.7  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 63-99.9  42 33.6-9.9-9.9
5029320170629-99.9 -1.2  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 64-99.9  17 13.6-9.9-9.9
5029320170703-99.9 -0.1  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 81-99.9   9  7.2-9.9-9.9
5029320170704-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 50-99.9  18 14.4-9.9-9.9
5029320170705-99.9  1.2  1.019999-99.9-99.9-99.9-99.9-9.9 99-9.9 42-99.9  18 14.4-9.9-9.9
5029320170706-99.9  0.4  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 80-99.9  31 24.8-9.9-9.9
5029320170710-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 88-99.9  11  8.8-9.9-9.9
5029320170711-99.9 -5.4  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 62-99.9  13 10.4-9.9-9.9
5029320170712-99.9  1.2  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 43-99.9  29 23.2-9.9-9.9
5029320170713-99.9 -4.4  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 79-99.9  15 12.0-9.9-9.9
5029320170717-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 51-99.9  35 28.0-9.9-9.9
5029320170718-99.9  3.3  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 66-99.9   7  5.6-9.9-9.9
5029320170719-99.9 -0.2  0.519999-99.9-99.9-99.9-99.9-9.9 99-9.9 96-99.9   5  4.0-9.9-9.9
5029320170724-99.9  0.1  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 65-99.9  27 21.6-9.9-9.9
5029320170725-99.9  4.6  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 45-99.9  29 23.2-9.9-9.9
