5026619590201 28.5 14.0  0.009900-99.9-99.9-99.9-99.912.7 88 9.4 42  6.1  17 13.627.0 6.9
5026619590202 35.8 18.4  0.009900-99.9-99.9-99.9-99.910.5 73 9.2 31  5.8  47 37.623.513.7
5026619590203 25.8 15.0  0.009900-99.9-99.9-99.9-99.9 6.4 44 6.0 34 -0.2  42 33.617.110.6
5026619590204 22.8 15.0  0.009900-99.9-99.9-99.9-99.9 8.7 61 5.8 39 -0.7  33 26.420.6 8.8
5026619590205 18.0  9.6  0.009900-99.9-99.9-99.9-99.911.9 83 7.1 57  2.1  53 42.425.4 9.0
5026619590206 20.0  8.0  0.009900-99.9-99.9-99.9-99.910.5 73 8.3 63  4.3  14 11.223.2 4.6
5026619590207 28.7 12.0  1.619900-99.9-99.9-99.9-99.9 7.7 5410.1 56  7.1  20 16.018.8 6.1
5026619590208 19.2 12.0  0.009900-99.9-99.9-99.9-99.911.2 79 8.6 67  4.8  30 24.024.0 6.6
5026619590209 19.4 10.2  0.009900-99.9-99.9-99.9-99.911.4 81 7.7 54  3.2  18 14.424.3 5.3
5026619590210 22.2 13.0  0.009900-99.9-99.9-99.9-99.910.4 74 8.5 57  4.6  32 25.622.6 7.4
5026619590211 18.8  8.8  0.009900-99.9-99.9-99.9-99.911.6 83 6.9 55  1.7  33 26.424.4 6.8
5026619590212 25.8 13.4  0.009900-99.9-99.9-99.9-99.910.0 71 8.6 45  4.8  23 18.421.9 6.8
5026619590213 24.0 12.8  0.009900-99.9-99.9-99.9-99.911.2 80 8.3 60  4.3  26 20.823.5 7.0
5026619590214 26.5 10.2  0.009900-99.9-99.9-99.9-99.910.7 77 9.2 47  5.8  28 22.422.7 6.9
5026619590215 30.5 16.4  0.009900-99.9-99.9-99.9-99.911.2 8110.1 47  7.1  12  9.623.3 5.9
5026619590216 25.8 13.6  0.009900-99.9-99.9-99.9-99.911.2 81 8.9 46  5.3  10  8.023.2 5.0
5026619590217 21.5 16.0  0.009900-99.9-99.9-99.9-99.9 2.5 18 9.9 65  6.8  32 25.610.3 6.2
5026619590218 16.8  9.5  0.009900-99.9-99.9-99.9-99.9 7.4 54 6.4 63  0.6  19 15.217.4 4.7
5026619590219 18.0  7.0  0.009900-99.9-99.9-99.9-99.910.6 78 9.1 72  5.6  30 24.022.0 4.8
5026619590220 24.8 11.0  0.009900-99.9-99.9-99.9-99.9 8.0 59 8.5 53  4.6  30 24.018.1 6.7
5026619590221 29.0 15.0  0.009900-99.9-99.9-99.9-99.9 9.2 68 8.0 39  3.8  27 21.619.8 7.8
5026619590222 34.5 17.0  0.009900-99.9-99.9-99.9-99.9 4.6 34 9.2 36  5.8  27 21.613.0 8.2
5026619590223 29.5 17.0  0.009900-99.9-99.9-99.9-99.9 0.7  5 9.3 44  5.9  39 31.2 7.3 9.0
5026619590224 26.0 15.8  0.009900-99.9-99.9-99.9-99.9 8.3 62 6.9 36  1.7  50 40.018.111.4
5026619590225 28.8 15.8  0.009900-99.9-99.9-99.9-99.911.6 87 6.7 32  1.3  30 24.022.7 8.7
5026619590226 29.0 17.0  0.009900-99.9-99.9-99.9-99.9 1.3 10 6.6 36  1.1  27 21.6 8.0 7.7
5026619590227 34.6 17.0  0.319900-99.9-99.9-99.9-99.9 7.5 57 5.6 22 -1.2  40 32.016.711.7
5026619590228 31.4 17.0  0.819900-99.9-99.9-99.9-99.9 5.6 42 7.7 46  3.2  20 16.013.9 6.7
5026619590301 28.8 11.5  0.009900-99.9-99.9-99.9-99.911.7 89 4.4 23 -4.4  33 26.422.4 9.0
5026619590302-99.9-99.9  0.009900-99.9-99.9-99.9-99.9 9.2 70 3.8 27 -6.4  40 32.018.7-9.9
5026619590303 25.0 10.8  0.009900-99.9-99.9-99.9-99.910.0 77 2.9 19 -9.8  44 35.219.710.7
5026619590304 21.9  9.2  0.009900-99.9-99.9-99.9-99.9 9.2 71 4.5 37 -4.1  36 28.818.5 7.9
5026619590305 27.8  8.4  0.009900-99.9-99.9-99.9-99.9 1.6 12 2.6 16-11.2  36 28.8 8.0 9.2
5026619590306 28.5 16.4  0.009900-99.9-99.9-99.9-99.9 0.0  0 7.8 45  3.4  30 24.0 5.7 7.5
5026619590307 18.8 11.0  6.319900-99.9-99.9-99.9-99.9 5.0 39 4.8 37 -3.3  27 21.612.4 6.0
5026619590308 14.5  8.0  4.519900-99.9-99.9-99.9-99.9 1.7 13 7.9 79  3.6  21 16.8 7.9 3.0
5026619590309 15.5  4.4  0.009900-99.9-99.9-99.9-99.910.2 80 7.3 72  2.5  33 26.419.2 4.3
5026619590310 14.9  5.5  0.009900-99.9-99.9-99.9-99.910.9 86 7.5 72  2.9  22 17.620.0 3.5
5026619590311 19.5 11.0  0.009900-99.9-99.9-99.9-99.9 2.3 18 9.0 66  5.4  35 28.0 8.5 5.1
5026619590312 19.5 11.5  0.009900-99.9-99.9-99.9-99.9 5.2 41 8.5 65  4.6   5  4.012.2 2.5
5026619590313 26.5 12.8  0.009900-99.9-99.9-99.9-99.910.8 86 6.4 42  0.6  23 18.419.5 6.2
5026619590314 22.8 13.5  0.619900-99.9-99.9-99.9-99.9 0.0  0 6.5 42  0.9  25 20.0 5.3 5.7
5026619590315 21.6 10.8  2.119900-99.9-99.9-99.9-99.9 1.1  9 7.1 53  2.1  17 13.6 6.7 4.0
