5044119681101 18.5 10.9  2.019900-99.9-99.9-99.9-99.9 0.0  016.1 96 14.1  15 12.0 7.2 1.4
5044119681102 20.5 10.2  0.009900-99.9-99.9-99.9-99.9 7.0 5115.8 94 13.8  12  9.618.4 3.0
5044119681103 21.3  4.9  0.009900-99.9-99.9-99.9-99.9 6.8 4912.5 80 10.3  19 15.218.1 3.2
5044119681104 24.4  7.9  0.009900-99.9-99.9-99.9-99.9 7.5 5413.2 63 11.1  18 14.419.3 4.1
5044119681105 24.8  9.4  0.719900-99.9-99.9-99.9-99.9 4.4 3217.8 74 15.7  13 10.414.4 2.6
5044119681106 21.1 12.6  0.009900-99.9-99.9-99.9-99.9 6.4 4616.9 87 14.9  15 12.017.7 3.2
5044119681107 25.6 10.9  0.009900-99.9-99.9-99.9-99.9 4.0 2918.7 83 16.4   6  4.813.8 2.6
5044119681108 26.3 14.9  0.009900-99.9-99.9-99.9-99.9 3.0 2117.0 75 15.0  22 17.612.3 4.1
5044119681109 24.4 16.7  7.119900-99.9-99.9-99.9-99.9 2.0 1417.7 74 15.6  34 27.210.7 4.5
5044119681110 17.5  8.7  0.009900-99.9-99.9-99.9-99.9 6.0 43 9.9 66  6.8  48 38.417.2 5.8
5044119681111 25.8  3.9  0.009900-99.9-99.9-99.9-99.9 7.3 5212.6 54 10.4  56 44.819.4 5.8
5044119681112 27.4 11.4  0.009900-99.9-99.9-99.9-99.9 5.4 3817.6 72 15.5  17 13.616.4 3.9
5044119681113 31.4 13.9  0.009900-99.9-99.9-99.9-99.9 6.5 4619.6 64 17.2  19 15.218.2 5.0
5044119681114 23.1 12.2  0.009900-99.9-99.9-99.9-99.9 7.5 5314.7 73 12.7  29 23.219.9 5.0
5044119681115 28.1  6.1  0.009900-99.9-99.9-99.9-99.9 7.6 5312.9 56 10.7  27 21.620.1 5.3
5044119681116 31.1 11.5  0.009900-99.9-99.9-99.9-99.9 7.3 5116.2 64 14.2  28 22.419.7 6.1
5044119681117 29.1 12.1  0.009900-99.9-99.9-99.9-99.9 6.6 4618.0 72 15.8  40 32.018.5 5.9
5044119681118 21.6 12.1  0.009900-99.9-99.9-99.9-99.9 7.3 5113.5 68 11.4  28 22.419.7 5.0
5044119681119 24.6  9.6  0.009900-99.9-99.9-99.9-99.9 0.0  015.1 69 13.1  40 32.0 7.7 3.7
5044119681120 23.1 14.2 11.819900-99.9-99.9-99.9-99.9 1.0  718.0 91 15.8  27 21.6 9.4 3.0
5044119681121 27.7 11.0  0.009900-99.9-99.9-99.9-99.9 6.8 4712.9 60 10.7  35 28.019.0 6.9
5044119681122 32.5 11.0  0.009900-99.9-99.9-99.9-99.9 5.5 3817.4 57 15.3  37 29.616.9 6.3
5044119681123 30.1 10.9  0.009900-99.9-99.9-99.9-99.9 7.5 5214.5 56 12.5  20 16.020.3 5.6
5044119681124 21.3  9.3  0.009900-99.9-99.9-99.9-99.9 7.0 4813.2 67 11.1  15 12.019.5 3.8
5044119681125 27.1  4.4  0.009900-99.9-99.9-99.9-99.9 6.2 4315.2 64 13.2  17 13.618.2 3.5
5044119681126 31.4 13.0  0.009900-99.9-99.9-99.9-99.9 8.5 5916.7 53 14.7  16 12.822.0 5.7
5044119681127 34.5 14.9  0.009900-99.9-99.9-99.9-99.9 7.6 5219.8 52 17.3  21 16.820.6 6.3
5044119681128 30.4 16.6  0.009900-99.9-99.9-99.9-99.9 4.6 3219.9 79 17.4  26 20.815.6 5.4
5044119681129 24.1  6.7  0.009900-99.9-99.9-99.9-99.9 8.0 5512.2 58  9.9  19 15.221.3 4.6
