5046519610501-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.3 57  5.9  25 20.0-9.9-9.9
5046519610502-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.9 57  5.3  26 20.8-9.9-9.9
5046519610503-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.1 54  5.6  19 15.2-9.9-9.9
5046519610504-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.2 54  5.8  18 14.4-9.9-9.9
5046519610505-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.8 63  3.4   6  4.8-9.9-9.9
5046519610506-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.5 61  6.2  10  8.0-9.9-9.9
5046519610507-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.9 51  6.8   6  4.8-9.9-9.9
5046519610508-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9910.4 59  7.5  19 15.2-9.9-9.9
5046519610509-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.0 77  5.4  14 11.2-9.9-9.9
5046519610510-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.0 55  1.9  19 15.2-9.9-9.9
5046519610511-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.6 33 -1.2  20 16.0-9.9-9.9
5046519610512-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9   8  6.4-9.9-9.9
5046519610513-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.1 58  0.0  12  9.6-9.9-9.9
5046519610514-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.1 48  2.1  19 15.2-9.9-9.9
5046519610515-99.9-99.9  1.619900-99.9-99.9-99.9-99.9-9.9 99 5.6 51 -1.2   6  4.8-9.9-9.9
5046519610516-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.9 70  3.6   7  5.6-9.9-9.9
5046519610517-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 3.4 22 -7.8  13 10.4-9.9-9.9
5046519610518-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.1 58  0.0   6  4.8-9.9-9.9
5046519610519-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.9 46 -3.0   8  6.4-9.9-9.9
5046519610520-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 3.5 15 -7.4  16 12.8-9.9-9.9
5046519610521-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.6 23 -3.8  17 13.6-9.9-9.9
5046519610522-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.4 37 -1.7  14 11.2-9.9-9.9
5046519610523-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.7 38  1.3  11  8.8-9.9-9.9
5046519610524-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.8 34  3.4  11  8.8-9.9-9.9
5046519610525 24.0-99.9  6.019900-99.9-99.9-99.9-99.9-9.9 9910.2 52  7.3  31 24.8-9.9-9.9
5046519610526 23.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.5 50  2.9  13 10.4-9.9-9.9
5046519610527-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.2 48  0.2  16 12.8-9.9-9.9
5046519610528-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.0 29 -0.2  33 26.4-9.9-9.9
5046519610529-99.9-99.9  5.419900-99.9-99.9-99.9-99.9-9.9 99 7.4 57  2.7  24 19.2-9.9-9.9
5046519610530-99.9-99.9  9.019900-99.9-99.9-99.9-99.9-9.9 99 7.1 57  2.1  24 19.2-9.9-9.9
5046519610531-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.0 56 -2.7  23 18.4-9.9-9.9
5046519610601 13.0-99.9  1.819900-99.9-99.9-99.9-99.9-9.9 99 3.2 29 -8.6  14 11.2-9.9-9.9
5046519610602  8.5-99.9  6.219900-99.9-99.9-99.9-99.9-9.9 99 6.1 74  0.0  21 16.8-9.9-9.9
5046519610603  3.6-99.9  1.319901-99.9-99.9-99.9-99.9-9.9 99 4.8 73 -3.3  11  8.8-9.9-9.9
5046519610604  7.6-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.3 67 -1.9   3  2.4-9.9-9.9
5046519610605 11.2-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.7 56 -3.6   5  4.0-9.9-9.9
5046519610606 11.0-99.9 22.519900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9  27 21.6-9.9-9.9
5046519610607 16.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.3 34 -4.7  53 42.4-9.9-9.9
5046519610608 10.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.1 56 -2.5   6  4.8-9.9-9.9
5046519610609  5.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.6 67 -3.8   8  6.4-9.9-9.9
5046519610610  2.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.5 83 -4.1  13 10.4-9.9-9.9
5046519610611 -3.5-99.9  2.019901-99.9-99.9-99.9-99.9-9.9 99 3.4 83 -7.8   6  4.8-9.9-9.9
5046519610612 -3.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 2.7 72-10.7   5  4.0-9.9-9.9
5046519610613  0.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 1.8 39-15.7  24 19.2-9.9-9.9
5046519610614  2.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 2.2 39-13.3  30 24.0-9.9-9.9
5046519610615  5.2-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 2.3 34-12.7  38 30.4-9.9-9.9
5046519610616 14.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.3 38 -4.7   8  6.4-9.9-9.9
5046519610617 14.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.3 35 -4.7   6  4.8-9.9-9.9
5046519610618 14.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.7 47 -3.6   4  3.2-9.9-9.9
