5031119680101-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5031119680102 18.8  8.6  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.0 54  5.4  23 18.4-9.9-9.9
5031119680103 25.0  3.4  0.009900-99.9-99.9-99.9-99.9-9.9 9910.0 53  7.0  14 11.2-9.9-9.9
5031119680104 28.6  8.2  0.009900-99.9-99.9-99.9-99.9-9.9 9911.7 49  9.3  19 15.2-9.9-9.9
5031119680105 32.0 10.2  0.009900-99.9-99.9-99.9-99.9-9.9 9913.3 46 11.2  11  8.8-9.9-9.9
5031119680106 32.4 15.2  0.009900-99.9-99.9-99.9-99.9-9.9 9912.6 34 10.4  38 30.4-9.9-9.9
5031119680107 34.0 16.6  3.019900-99.9-99.9-99.9-99.9-9.9 9915.2 41 13.2  30 24.0-9.9-9.9
5031119680108 26.0 16.1  5.419900-99.9-99.9-99.9-99.9-9.9 9917.5 79 15.4   7  5.6-9.9-9.9
5031119680109 30.0 13.0  0.009900-99.9-99.9-99.9-99.9-9.9 9916.2 53 14.2  16 12.8-9.9-9.9
5031119680110 27.6  8.9 14.219900-99.9-99.9-99.9-99.9-9.9 9910.4 55  7.5   0  0.0-9.9-9.9
5031119680111 28.0  4.5  0.009900-99.9-99.9-99.9-99.9-9.9 9913.1 57 11.0  26 20.8-9.9-9.9
5031119680112 27.6 10.4  0.009900-99.9-99.9-99.9-99.9-9.9 9911.4 41  8.9   6  4.8-9.9-9.9
5031119680113 26.6 10.0  0.009900-99.9-99.9-99.9-99.9-9.9 9910.1 36  7.1   0  0.0-9.9-9.9
5031119680114 29.8 11.2  0.009900-99.9-99.9-99.9-99.9-9.9 9910.7 37  8.0  24 19.2-9.9-9.9
5031119680115 27.6 12.7  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.9 31  5.3   6  4.8-9.9-9.9
5031119680116 34.0 10.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.7 32  6.5  48 38.4-9.9-9.9
5031119680117 30.2 11.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.2 26  4.1  15 12.0-9.9-9.9
5031119680118 30.6 11.5  0.009900-99.9-99.9-99.9-99.9-9.9 9915.2 51 13.2  16 12.8-9.9-9.9
5031119680119 32.0 12.4 33.219900-99.9-99.9-99.9-99.9-9.9 9918.9 68 16.6  28 22.4-9.9-9.9
5031119680120 28.0 17.0  0.009900-99.9-99.9-99.9-99.9-9.9 9918.9 69 16.6  13 10.4-9.9-9.9
5031119680121 27.0 12.3  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.2 36  5.8  21 16.8-9.9-9.9
5031119680122 24.4  9.2  0.009900-99.9-99.9-99.9-99.9-9.9 9913.5 55 11.4  31 24.8-9.9-9.9
5031119680123 28.8 12.2  0.009900-99.9-99.9-99.9-99.9-9.9 9915.7 53 13.7  13 10.4-9.9-9.9
5031119680124 33.6 15.0  0.009900-99.9-99.9-99.9-99.9-9.9 9913.7 45 11.6  27 21.6-9.9-9.9
5031119680125 30.0 13.0  0.009900-99.9-99.9-99.9-99.9-9.9 9920.3 71 17.7  18 14.4-9.9-9.9
5031119680126 32.0 13.0  0.009900-99.9-99.9-99.9-99.9-9.9 9916.7 53 14.7   8  6.4-9.9-9.9
5031119680127 33.6 15.0  0.009900-99.9-99.9-99.9-99.9-9.9 9919.9 53 17.4  13 10.4-9.9-9.9
5031119680128 29.4 17.0  0.009900-99.9-99.9-99.9-99.9-9.9 9916.8 55 14.8  38 30.4-9.9-9.9
5031119680129 23.8 10.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.5 39  4.6  39 31.2-9.9-9.9
5031119680130 24.0  7.8  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.3 42  5.9  19 15.2-9.9-9.9
5031119680131 27.0  8.5  0.009900-99.9-99.9-99.9-99.9-9.9 9911.3 42  8.8  21 16.8-9.9-9.9
5031119680201 27.8 13.8  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9  44 35.2-9.9-9.9
5031119680202 31.1 15.4  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9  25 20.0-9.9-9.9
5031119680203 34.6 10.9  0.419900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9  13 10.4-9.9-9.9
5031119680204 34.4 13.8  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9  11  8.8-9.9-9.9
5031119680205 31.5 15.7 17.019900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9  16 12.8-9.9-9.9
5031119680206 28.5 14.0  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9  17 13.6-9.9-9.9
5031119680207 27.4  9.6 34.619900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9  27 21.6-9.9-9.9
5031119680208 28.5 17.2 13.619900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9  13 10.4-9.9-9.9
5031119680209 27.6 17.0  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9   6  4.8-9.9-9.9
5031119680210 27.0 11.6  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9  14 11.2-9.9-9.9
5031119680211 25.0 10.7  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9   6  4.8-9.9-9.9
5031119680212 23.6 10.4  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9   8  6.4-9.9-9.9
5031119680213 27.0 12.0  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9  37 29.6-9.9-9.9
5031119680214 22.5  9.5  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9  16 12.8-9.9-9.9
5031119680215 27.6 10.0  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9   6  4.8-9.9-9.9
5031119680216 33.6 11.2  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9  14 11.2-9.9-9.9
5031119680217 33.6 14.7  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9  12  9.6-9.9-9.9
5031119680218 30.4 14.6  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9  16 12.8-9.9-9.9
5031119680219 32.0 15.0  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9  34 27.2-9.9-9.9
5031119680220 25.2 18.7  1.619900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9   6  4.8-9.9-9.9
5031119680221 28.0 16.3  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9   8  6.4-9.9-9.9
5031119680222 23.0  7.6  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9  27 21.6-9.9-9.9
5031119680223 22.0  6.5  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9   6  4.8-9.9-9.9
5031119680224 24.6  5.6  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9  14 11.2-9.9-9.9
5031119680225 27.4 10.6  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9  24 19.2-9.9-9.9
5031119680226 31.0 11.7  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9  14 11.2-9.9-9.9
5031119680227 22.4 11.0  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9  34 27.2-9.9-9.9
5031119680228 22.8  7.1  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9  18 14.4-9.9-9.9
5031119680229 29.2 11.7 13.519900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9  20 16.0-9.9-9.9
5031119680301 28.0 15.0  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9   8  6.4-9.9-9.9
5031119680302 27.0 13.0  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9   3  2.4-9.9-9.9
5031119680303 26.8 17.0  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9   3  2.4-9.9-9.9
