5016520160130 30.6 19.9  0.009999-99.9-99.9-99.9-99.9-9.9 9922.2 69 19.1  11  8.8-9.9-9.9
5016520160131 27.2 17.2  0.009999-99.9-99.9-99.9-99.9-9.9 9914.4 54 12.4  16 12.8-9.9-9.9
5016520160201 28.0 13.1  0.009999-99.9-99.9-99.9-99.9-9.9 9911.8 49  9.5  20 16.0-9.9-9.9
5016520160202 30.2 17.6  0.009999-99.9-99.9-99.9-99.9-9.9 9914.2 48 12.2  14 11.2-9.9-9.9
5016520160204 33.5-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 43-99.9   9  7.2-9.9-9.9
5016520160205 35.4 20.7  0.009999-99.9-99.9-99.9-99.9-9.9 9917.8 47 15.7   9  7.2-9.9-9.9
5016520160206 35.0 23.4  0.009999-99.9-99.9-99.9-99.9-9.9 9922.7 56 19.5  20 16.0-9.9-9.9
5016520160207 33.1 21.0 25.019999-99.9-99.9-99.9-99.9-9.9 9924.3 68 20.6  14 11.2-9.9-9.9
5016520160208 29.6 21.2 12.019999-99.9-99.9-99.9-99.9-9.9 9925.3 78 21.3   6  4.8-9.9-9.9
5016520160209 34.4 18.9  0.009999-99.9-99.9-99.9-99.9-9.9 9920.9 60 18.2   8  6.4-9.9-9.9
5016520160210 32.0 21.0  0.009999-99.9-99.9-99.9-99.9-9.9 9916.6 48 14.6  11  8.8-9.9-9.9
5016520160211 34.0 21.0  0.009999-99.9-99.9-99.9-99.9-9.9 9916.9 46 14.8  12  9.6-9.9-9.9
5016520160212 36.0 24.5 32.019999-99.9-99.9-99.9-99.9-9.9 9921.9 51 19.0  12  9.6-9.9-9.9
5016520160213 31.5 21.1  0.009999-99.9-99.9-99.9-99.9-9.9 9925.3 74 21.3   8  6.4-9.9-9.9
5016520160214 32.5 17.0  0.009999-99.9-99.9-99.9-99.9-9.9 9917.2 55 15.1   8  6.4-9.9-9.9
5016520160215 33.5 21.3  0.009999-99.9-99.9-99.9-99.9-9.9 9920.4 56 17.8   9  7.2-9.9-9.9
5016520160216 34.5 23.2 46.019999-99.9-99.9-99.9-99.9-9.9 9924.2 61 20.6  14 11.2-9.9-9.9
5016520160217 31.6 19.1  0.009999-99.9-99.9-99.9-99.9-9.9 9922.6 70 19.5  10  8.0-9.9-9.9
5016520160219 24.0-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 86-99.9  14 11.2-9.9-9.9
5016520160220 29.3 16.4  0.009999-99.9-99.9-99.9-99.9-9.9 9916.1 58 14.2   8  6.4-9.9-9.9
5016520160221 32.0 20.4  0.009999-99.9-99.9-99.9-99.9-9.9 9920.4 60 17.8  14 11.2-9.9-9.9
5016520160222 32.0 22.2  0.009999-99.9-99.9-99.9-99.9-9.9 9922.2 62 19.2  17 13.6-9.9-9.9
5016520160223 33.1 21.4  0.009999-99.9-99.9-99.9-99.9-9.9 9921.3 59 18.5   6  4.8-9.9-9.9
5016520160224 34.0 21.5  0.009999-99.9-99.9-99.9-99.9-9.9 9921.2 57 18.4   7  5.6-9.9-9.9
5016520160225 29.0 16.2  6.019999-99.9-99.9-99.9-99.9-9.9 9915.3 56 13.4  10  8.0-9.9-9.9
5016520160226 24.5 17.1 13.019999-99.9-99.9-99.9-99.9-9.9 9920.4 83 17.8  15 12.0-9.9-9.9
5016520160227 27.0 12.0  0.009999-99.9-99.9-99.9-99.9-9.9 9910.9 48  8.2   7  5.6-9.9-9.9
5016520160228 30.0 14.8  0.009999-99.9-99.9-99.9-99.9-9.9 9914.1 52 12.1   6  4.8-9.9-9.9
5016520160229 30.6 16.1  5.019999-99.9-99.9-99.9-99.9-9.9 9916.4 57 14.3   7  5.6-9.9-9.9
5016520160301 23.4 18.6  0.009999-99.9-99.9-99.9-99.9-9.9 9917.6 71 15.5  24 19.2-9.9-9.9
5016520160302 24.4 14.8  0.009999-99.9-99.9-99.9-99.9-9.9 9914.6 64 12.6  24 19.2-9.9-9.9
5016520160303 26.9 15.4  0.009999-99.9-99.9-99.9-99.9-9.9 9916.6 66 14.6  13 10.4-9.9-9.9
5016520160304 26.4 17.0  3.019999-99.9-99.9-99.9-99.9-9.9 9920.0 77 17.5   7  5.6-9.9-9.9
5016520160305 24.0 16.2  0.009999-99.9-99.9-99.9-99.9-9.9 9914.6 62 12.6  17 13.6-9.9-9.9
5016520160306 22.9  9.9  0.009999-99.9-99.9-99.9-99.9-9.9 9910.1 54  7.1  11  8.8-9.9-9.9
5016520160307 25.5 11.0  0.009999-99.9-99.9-99.9-99.9-9.9 9911.9 57  9.6   4  3.2-9.9-9.9
5016520160308 28.4 12.4  0.009999-99.9-99.9-99.9-99.9-9.9 9913.4 56 11.3   6  4.8-9.9-9.9
5016520160309 23.4 17.2  0.009999-99.9-99.9-99.9-99.9-9.9 9917.9 75 15.7  15 12.0-9.9-9.9
5016520160310 21.0 12.5  0.009999-99.9-99.9-99.9-99.9-9.9 9913.5 71 11.5  14 11.2-9.9-9.9
5016520160311 24.5 11.6  0.009999-99.9-99.9-99.9-99.9-9.9 9913.9 67 11.8  12  9.6-9.9-9.9
