5012919610221-99.9  6.0  0.009900-99.9-99.9-99.9-99.910.4 80 2.2 12-13.3  28 22.423.9-9.9
5012919610222-99.9  3.5  0.009900-99.9-99.9-99.9-99.911.3 87 3.1 24 -9.0  14 11.225.3-9.9
5012919610223-99.9  2.1  0.009900-99.9-99.9-99.9-99.911.8 91 2.4 17-12.2  22 17.626.0-9.9
5012919610224-99.9  7.0  0.009900-99.9-99.9-99.9-99.9 7.7 60-9.9-99-99.9  40 32.019.3-9.9
5012919610225-99.9 11.0  0.009900-99.9-99.9-99.9-99.910.8 84 1.3  8-19.5  24 19.224.2-9.9
5012919610226-99.9 10.0  0.009900-99.9-99.9-99.9-99.910.8 84 1.7 11-16.4  22 17.624.1-9.9
5012919610227-99.9  1.3  0.009900-99.9-99.9-99.9-99.911.2 87 2.0-99-14.4  19 15.224.6-9.9
5012919610228-99.9  5.0  0.009900-99.9-99.9-99.9-99.911.3 88-9.9-99-99.9  16 12.824.7-9.9
5012919610301-99.9  4.5  0.009900-99.9-99.9-99.9-99.911.8 93-9.9-99-99.9  15 12.025.4-9.9
5012919610302-99.9  5.9  0.009900-99.9-99.9-99.9-99.9 7.1 56-9.9-99-99.9  22 17.617.9-9.9
5012919610303-99.9  3.9  0.009900-99.9-99.9-99.9-99.911.7 92-9.9-99-99.9  19 15.225.0-9.9
5012919610304-99.9  2.1  0.009900-99.9-99.9-99.9-99.911.1 88-9.9-99-99.9  21 16.824.0-9.9
5012919610305-99.9  5.0  0.009900-99.9-99.9-99.9-99.9 8.5 67 6.5 52  0.9  16 12.819.8-9.9
5012919610306-99.9  3.9  0.009900-99.9-99.9-99.9-99.911.7 93-9.9-99-99.9  19 15.224.7-9.9
5012919610307-99.9  4.5  0.009900-99.9-99.9-99.9-99.910.8 86 1.9 14-15.0  19 15.223.2-9.9
5012919610308-99.9  4.9  0.009900-99.9-99.9-99.9-99.910.8 86-9.9-99-99.9  17 13.623.1-9.9
5012919610309-99.9  7.5  0.009900-99.9-99.9-99.9-99.9 6.3 50 1.9 10-15.0  24 19.216.0-9.9
5012919610310-99.9  4.5  0.009900-99.9-99.9-99.9-99.9 5.3 43 4.6 34 -3.8  23 18.414.4-9.9
5012919610311-99.9  2.0  5.019900-99.9-99.9-99.9-99.9 3.8 31 6.1 63  0.0  17 13.612.1-9.9
5012919610312-99.9 -1.5  0.009901-99.9-99.9-99.9-99.9 8.3 67 3.8 48 -6.4  37 29.618.9-9.9
5012919610313-99.9  3.8 21.619900-99.9-99.9-99.9-99.9 1.3 11 3.7 40 -6.7  23 18.4 8.1-9.9
5012919610314-99.9  1.5 13.019900-99.9-99.9-99.9-99.9 0.0  0 6.4 63  0.6  21 16.8 6.1-9.9
5012919610315-99.9  7.2  0.009900-99.9-99.9-99.9-99.9 8.8 72 2.7 19-10.7  21 16.819.3-9.9
5012919610316-99.9  4.1  0.009900-99.9-99.9-99.9-99.9 9.0 74 4.9 50 -3.0  16 12.819.5-9.9
5012919610317-99.9  0.0  0.009900-99.9-99.9-99.9-99.910.2 84 2.9 26 -9.8  11  8.821.2-9.9
5012919610318-99.9  2.5  0.009900-99.9-99.9-99.9-99.9 8.0 66 2.9 22 -9.8  13 10.417.8-9.9
5012919610319-99.9  4.0  0.009900-99.9-99.9-99.9-99.9 6.3 52 3.0 39 -9.4  21 16.815.2-9.9
5012919610320-99.9  6.0  0.009900-99.9-99.9-99.9-99.9 4.7 39 2.9 18 -9.8  26 20.812.8-9.9
5012919610321-99.9 10.0  0.009900-99.9-99.9-99.9-99.9 7.3 60 2.8 17-10.3  27 21.616.5-9.9
5012919610322-99.9 10.4  0.009900-99.9-99.9-99.9-99.9 6.5 54 2.1 11-13.8  24 19.215.2-9.9
