5050119670619 12.5  0.5  0.009900 -1.8-99.9-99.9-99.9-9.9 99 7.6 70  3.0   7  5.6-9.9-9.9
5050119670620 13.6  0.0  0.009900 -2.9-99.9-99.9-99.9-9.9 99 6.8 77  1.5   4  3.2-9.9-9.9
5050119670621 12.1 -0.1  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.5 80  4.6  14 11.2-9.9-9.9
5050119670622 12.1 -0.1  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.2 87  4.1   3  2.4-9.9-9.9
5050119670623 12.3 -2.5  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.2 82  2.3   9  7.2-9.9-9.9
5050119670624 11.8 -2.4  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.5 85  2.9   2  1.6-9.9-9.9
5050119670625 11.7 -4.9  0.009900 -7.2-99.9-99.9-99.9-9.9 99 7.1 89  2.1   4  3.2-9.9-9.9
5050119670626 12.6 -4.1  0.009900 -6.7-99.9-99.9-99.9-9.9 99 6.9 81  1.7   3  2.4-9.9-9.9
5050119670627 13.9 -4.8  0.009900 -7.0-99.9-99.9-99.9-9.9 99 7.4 78  2.7   7  5.6-9.9-9.9
5050119670628 12.4 -1.3  0.009900 -3.8-99.9-99.9-99.9-9.9 99 6.7 83  1.3   4  3.2-9.9-9.9
5050119670629 13.7 -4.8  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.5 64 -1.4  15 12.0-9.9-9.9
5050119670630 14.0  0.8  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.8 62  1.5  17 13.6-9.9-9.9
5050119670701 14.1  2.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.6 47 -3.8  17 13.6-9.9-9.9
5050119670702 14.9 -3.4  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.4 49  0.6  23 18.4-9.9-9.9
5050119670703 13.9  2.3  0.009900 -0.2-99.9-99.9-99.9-9.9 99 5.1 54 -2.5  15 12.0-9.9-9.9
5050119670704 12.8  1.6  0.009900 -1.7-99.9-99.9-99.9-9.9 99 7.4 76  2.7  10  8.0-9.9-9.9
5050119670705 13.1 -1.5  0.009900 -3.6-99.9-99.9-99.9-9.9 99 5.6 58 -1.2  17 13.6-9.9-9.9
5050119670706 12.0  3.2  0.009900 -0.2-99.9-99.9-99.9-9.9 99 6.4 67  0.6   0  0.0-9.9-9.9
5050119670707 13.4 -1.0  0.009900 -4.1-99.9-99.9-99.9-9.9 99 5.4 63 -1.7  12  9.6-9.9-9.9
5050119670708 15.8 -0.7  0.009900 -3.9-99.9-99.9-99.9-9.9 99 5.0 53 -2.7   8  6.4-9.9-9.9
5050119670709 12.8  0.1  0.009900 -5.1-99.9-99.9-99.9-9.9 99 5.7 63 -1.0  11  8.8-9.9-9.9
5050119670710 11.1 -2.7  0.009900 -5.6-99.9-99.9-99.9-9.9 99 4.8 67 -3.3  11  8.8-9.9-9.9
5050119670711 14.1 -2.0  0.009900 -2.7-99.9-99.9-99.9-9.9 99 3.2 41 -8.6  14 11.2-9.9-9.9
5050119670712 16.8 -2.7  0.009900 -5.2-99.9-99.9-99.9-9.9 99 4.9 43 -3.0  23 18.4-9.9-9.9
