5052420150228-99.9 11.4  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 50-99.9   7  5.6-9.9-9.9
5052420150301-99.9 19.0  2.019999-99.9-99.9-99.9-99.9-9.9 99-9.9 84-99.9  18 14.4-9.9-9.9
5052420150302-99.9 16.5  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 77-99.9   8  6.4-9.9-9.9
5052420150303-99.9 18.5  9.019999-99.9-99.9-99.9-99.9-9.9 99-9.9 86-99.9  10  8.0-9.9-9.9
5052420150304-99.9 21.0  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 80-99.9  10  8.0-9.9-9.9
5052420150305-99.9 15.0  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 63-99.9  12  9.6-9.9-9.9
5052420150306-99.9 16.3  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 57-99.9  10  8.0-9.9-9.9
5052420150307-99.9 15.5  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 59-99.9  10  8.0-9.9-9.9
5052420150308-99.9 16.7  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 56-99.9  10  8.0-9.9-9.9
5052420150309-99.9 17.0  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 62-99.9  14 11.2-9.9-9.9
5052420150310-99.9 22.0  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 65-99.9  10  8.0-9.9-9.9
5052420150311-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 59-99.9  10  8.0-9.9-9.9
5052420150312-99.9 18.1  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 53-99.9   9  7.2-9.9-9.9
5052420150313-99.9 19.5  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 52-99.9  15 12.0-9.9-9.9
5052420150314-99.9 19.0  0.119999-99.9-99.9-99.9-99.9-9.9 99-9.9 74-99.9  14 11.2-9.9-9.9
5052420150315-99.9 15.2  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 68-99.9  13 10.4-9.9-9.9
5052420150316-99.9 16.0  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 64-99.9   8  6.4-9.9-9.9
5052420150317-99.9 21.5  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 54-99.9  13 10.4-9.9-9.9
5052420150318-99.9 20.7  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 51-99.9  10  8.0-9.9-9.9
5052420150319-99.9 19.5  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 59-99.9  10  8.0-9.9-9.9
5052420150320-99.9 16.7  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 62-99.9  19 15.2-9.9-9.9
5052420150321-99.9  8.5  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 50-99.9  27 21.6-9.9-9.9
5052420150322-99.9  9.5  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 52-99.9  14 11.2-9.9-9.9
5052420150323-99.9  9.5  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 57-99.9   5  4.0-9.9-9.9
