5015819780501-99.9-99.9  7.219900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5015819780527  5.0 -3.3  1.519900-99.9-99.9-99.9-99.9-9.9 99 6.5 89  0.9   0  0.0-9.9-9.9
5015819780528  9.0  0.2  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.3 89  2.5   5  4.0-9.9-9.9
5015819780529  8.5 -1.8  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.3 83  0.4   3  2.4-9.9-9.9
5015819780530 10.0 -1.3  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.2 84  2.3   0  0.0-9.9-9.9
5015819780531 17.5  3.2 47.719900-99.9-99.9-99.9-99.9-9.9 9910.7 87  8.0  32 25.6-9.9-9.9
5015819780601 11.0  4.7  2.419900-99.9-99.9-99.9-99.9-9.9 99 9.1 88  5.6   6  4.8-9.9-9.9
5015819780602  9.2 -0.1  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.3 84  0.4   0  0.0-9.9-9.9
5015819780603 11.0 -1.8  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.9 79 -0.5   0  0.0-9.9-9.9
5015819780604  6.8 -5.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.6 84 -3.8   0  0.0-9.9-9.9
5015819780605  5.0 -8.1  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.3 76 -4.7   0  0.0-9.9-9.9
5015819780606  8.0 -4.8  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.0 79 -0.2   0  0.0-9.9-9.9
5015819780607  7.5 -7.3  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.7 81 -3.6   0  0.0-9.9-9.9
5015819780608 10.2 -6.5  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.3 78 -1.9   0  0.0-9.9-9.9
5015819780609  7.5 -7.3  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.3 76 -4.7   0  0.0-9.9-9.9
