5026319590101 19.0 14.0  0.009900-99.9-99.9-99.9-99.9-9.9 9911.2 83  8.6  15 12.0-9.9-9.9
5026319590102 22.5 14.0  3.019900-99.9-99.9-99.9-99.9-9.9 99 9.2 59  5.8  14 11.2-9.9-9.9
5026319590103 15.0 10.4  5.019900-99.9-99.9-99.9-99.9-9.9 99 9.8 91  6.7  27 21.6-9.9-9.9
5026319590104 15.0 10.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.1 61  2.1  24 19.2-9.9-9.9
5026319590105 15.0  8.5  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.8 75  5.1  30 24.0-9.9-9.9
5026319590106 21.0 13.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.9 68  6.8  31 24.8-9.9-9.9
5026319590107 24.5  9.0  1.719900-99.9-99.9-99.9-99.9-9.9 99 8.6 57  4.8  26 20.8-9.9-9.9
5026319590108 14.5  8.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.1 75  3.9  28 22.4-9.9-9.9
5026319590109 21.0  9.6  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.0 64  5.4  27 21.6-9.9-9.9
5026319590110 23.0 14.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.8 46  1.5  25 20.0-9.9-9.9
5026319590111 32.0 14.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.5 40  0.9  34 27.2-9.9-9.9
5026319590112 19.0 13.9  0.009900-99.9-99.9-99.9-99.9-9.9 9910.2 72  7.3  22 17.6-9.9-9.9
5026319590113 25.0 10.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.0 55  5.4  19 15.2-9.9-9.9
5026319590114 24.0 13.9  0.819900-99.9-99.9-99.9-99.9-9.9 99 9.2 64  5.8  22 17.6-9.9-9.9
5026319590115 16.0 12.0  0.009900-99.9-99.9-99.9-99.9-9.9 9911.2 91  8.6  11  8.8-9.9-9.9
5026319590116 19.0 11.0  0.009900-99.9-99.9-99.9-99.9-9.9  0 9.7 74  6.5  30 24.0 7.9 4.6
5026319590117 22.0 12.0  0.009900-99.9-99.9-99.9-99.9-9.9 9910.9 77  8.2  21 16.8-9.9-9.9
5026319590118 25.0  9.0  1.019900-99.9-99.9-99.9-99.9-9.9 99 9.5 74  6.2  30 24.0-9.9-9.9
5026319590119 26.0  9.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 2.8 16-10.3  27 21.6-9.9-9.9
5026319590120 23.0 13.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.0 44 -0.2  34 27.2-9.9-9.9
5026319590121 28.0 13.5  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.5 26 -1.4  41 32.8-9.9-9.9
5026319590122 24.9 21.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.2 23 -2.2  38 30.4-9.9-9.9
5026319590123 26.0 13.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.8 64  6.7  23 18.4-9.9-9.9
5026319590124 33.0 13.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.5 40  2.9  44 35.2-9.9-9.9
5026319590125 23.4 13.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.1 54  2.1  40 32.0-9.9-9.9
5026319590126 27.0 13.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.8 38 -0.7  19 15.2-9.9-9.9
5026319590127 23.5 13.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.0 39 -0.2  27 21.6-9.9-9.9
5026319590128 24.0 13.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.6 51  3.0  19 15.2-9.9-9.9
5026319590129 17.2 10.0  1.019900-99.9-99.9-99.9-99.9-9.9 99 7.3 62  2.5  21 16.8-9.9-9.9
5026319590130 26.0 11.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.9 61  6.8  19 15.2-9.9-9.9
5026319590131 19.0 14.9  0.009900-99.9-99.9-99.9-99.9-9.9 9910.2 77  7.3  22 17.6-9.9-9.9
5026319590201 28.5 14.0  0.009900 15.0-99.9-99.9-99.9-9.9 99 8.6 55  4.8  27 21.6-9.9-9.9
5026319590202 36.0 15.0  0.009900 14.5-99.9-99.9-99.9-9.9 99 9.8 49  6.7  34 27.2-9.9-9.9
5026319590203 28.5 15.0  0.009900 14.5-99.9-99.9-99.9-9.9 99 4.3 24 -4.7  48 38.4-9.9-9.9
5026319590204 22.5-99.9  0.009900 14.0-99.9-99.9-99.9-9.9 99 4.8 35 -3.3  36 28.8-9.9-9.9
5026319590205 18.5 10.0  0.009900  6.0-99.9-99.9-99.9-9.9 99 3.0 26 -9.4  45 36.0-9.9-9.9
5026319590206 21.0  7.0  0.009900  6.0-99.9-99.9-99.9-9.9 99 8.3 69  4.3  22 17.6-9.9-9.9
5026319590207 29.4 10.0  1.019900  9.5-99.9-99.9-99.9-9.9 99 8.4 51  4.5  24 19.2-9.9-9.9
5026319590208 19.0 11.9  0.519900 13.0-99.9-99.9-99.9-9.9 99 7.4 62  2.7  41 32.8-9.9-9.9
5026319590209 19.0  8.0  0.009900  7.4-99.9-99.9-99.9-9.9 99 7.7 61  3.2  27 21.6-9.9-9.9
5026319590210 23.0 11.0  0.009900 10.0-99.9-99.9-99.9-9.9 99 6.2 42  0.2  20 16.0-9.9-9.9
5026319590211 18.0  6.5  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.2 55  0.2  30 24.0-9.9-9.9
5026319590212 27.0 10.5  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.3 48  2.5  12  9.6-9.9-9.9
5026319590213 26.0-99.9  0.009900 12.0-99.9-99.9-99.9-9.9 99 5.4 40 -1.7  23 18.4-9.9-9.9
5026319590214 26.5 10.0  0.009900  9.0-99.9-99.9-99.9-9.9 99 7.0 40  1.9  25 20.0-9.9-9.9
5026319590215 28.3 13.9  0.009900 12.0-99.9-99.9-99.9-9.9 99 8.9 51  5.3   2  1.6-9.9-9.9
5026319590216 28.0 14.5  0.009900 13.5-99.9-99.9-99.9-9.9 99 9.3 53  5.9   4  3.2-9.9-9.9
5026319590217 26.0 15.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.7 36 -1.0  28 22.4-9.9-9.9
5026319590218 16.0  7.6  0.009900 10.0-99.9-99.9-99.9-9.9 99 4.7 46 -3.6  14 11.2-9.9-9.9
5026319590219 16.0  8.0  0.009900  8.0-99.9-99.9-99.9-9.9 99 8.6 74  4.8  26 20.8-9.9-9.9
5026319590220 17.5 13.0  0.009900 12.3-99.9-99.9-99.9-9.9 9911.1 82  8.5  44 35.2-9.9-9.9
5026319590221 31.0 12.5  0.009900 11.5-99.9-99.9-99.9 0.0  0 9.0 57  5.4  13 10.4 6.5 4.4
5026319590222 33.5 15.5  0.009900-99.9-99.9-99.9-99.9-9.9 9911.3 55  8.8  14 11.2-9.9-9.9
5026319590223 30.0 17.0  0.009900 17.0-99.9-99.9-99.9-9.9 99 9.6 47  6.4  20 16.0-9.9-9.9
5026319590224 30.0 12.8  0.009900 13.0-99.9-99.9-99.9-9.9 99 7.1 41  2.1  41 32.8-9.9-9.9
5026319590225 30.0 12.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.7 29 -1.0  30 24.0-9.9-9.9
5026319590226 29.0 12.5  0.009900 15.0-99.9-99.9-99.9-9.9 99 8.6 43  4.8  27 21.6-9.9-9.9
5026319590227 35.5 15.0  0.009900 13.8-99.9-99.9-99.9-9.9 99 8.3 38  4.3  27 21.6-9.9-9.9
5026319590228 31.2 14.9  0.009900 18.0-99.9-99.9-99.9-9.9 9910.3 65  7.4  17 13.6-9.9-9.9
5026319590301 17.4  9.0  0.009900  7.5-99.9-99.9-99.9-9.9 9910.2 79  7.3  13 10.4-9.9-9.9
5026319590302 18.0  9.0  0.009900  8.5-99.9-99.9-99.9-9.9 99 7.6 60  3.0  24 19.2-9.9-9.9
