5017219610101 37.0 17.0  1.619900 11.0-99.9-99.9-99.9-9.9 9911.7 61  9.3  19 15.2-9.9-9.9
5017219610102 29.3 13.7  0.009900  9.9-99.9-99.9-99.9-9.9 99 8.8 56  5.1  10  8.0-9.9-9.9
5017219610103 30.9 12.4  0.009900  7.6-99.9-99.9-99.9-9.9 99 9.8 59  6.7   8  6.4-9.9-9.9
5017219610104 32.8 13.4 10.119900 11.0-99.9-99.9-99.9-9.9 9911.8 65  9.4  12  9.6-9.9-9.9
5017219610105 30.1 15.0  0.009900 13.1-99.9-99.9-99.9-9.9 9913.8 74 11.8  10  8.0-9.9-9.9
5017219610106 29.5 13.6  0.009900 10.1-99.9-99.9-99.9-9.9 9912.4 72 10.1   1  0.8-9.9-9.9
5017219610107 32.1 13.5  2.319900-99.9-99.9-99.9-99.9-9.9 9915.1 75 13.1   2  1.6-9.9-9.9
5017219610108 33.8 11.4  0.009900  8.2-99.9-99.9-99.9-9.9 9917.5 79 15.4   5  4.0-9.9-9.9
5017219610109 28.0 14.0  1.019900 17.0-99.9-99.9-99.9-9.9 9911.3 70  8.8  14 11.2-9.9-9.9
5017219610110 29.8  6.5  0.009900  1.0-99.9-99.9-99.9-9.9 99 7.9 54  3.6  16 12.8-9.9-9.9
5017219610111 36.8 14.7  0.009900 10.1-99.9-99.9-99.9-9.9 9911.7 60  9.3   8  6.4-9.9-9.9
5017219610112 35.3 17.5  1.619900 13.8-99.9-99.9-99.9-9.9 9911.7 59  9.3  16 12.8-9.9-9.9
5017219610113 32.0 16.1  0.009900 12.7-99.9-99.9-99.9-9.9 9910.7 60  8.0  20 16.0-9.9-9.9
5017219610114 35.5 15.5  0.009900 12.7-99.9-99.9-99.9-9.9 9915.2 73 13.2   8  6.4-9.9-9.9
5017219610115 32.8 16.5  0.009900 13.3-99.9-99.9-99.9-9.9 9910.1 58  7.1  10  8.0-9.9-9.9
5017219610116 40.3 14.5  0.009900 11.1-99.9-99.9-99.9-9.9 99 9.0 47  5.4  23 18.4-9.9-9.9
5017219610117 32.0 11.0  0.009900  7.0-99.9-99.9-99.9-9.9 99 7.6 53  3.0   8  6.4-9.9-9.9
5017219610118 36.3 10.7  0.009900  7.0-99.9-99.9-99.9-9.9 9914.3 70 12.3   5  4.0-9.9-9.9
