5026819590111 25.5 16.1  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.7 32 -1.0  44 35.2-9.9-9.9
5026819590112 25.9 14.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.5 35  0.9  18 14.4-9.9-9.9
5026819590113 29.9 12.5  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.1 29 -2.5  24 19.2-9.9-9.9
5026819590114 24.5 14.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.5 48  2.9  16 12.8-9.9-9.9
5026819590115 27.4  9.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.5 43  2.9   7  5.6-9.9-9.9
5026819590116 30.5 11.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.0 33  1.9  11  8.8-9.9-9.9
5026819590117 30.0 13.4  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.4 33  2.7  19 15.2-9.9-9.9
5026819590118 24.2  8.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.5 36 -4.1  44 35.2-9.9-9.9
5026819590119 21.2  9.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.1 47  0.0  53 42.4-9.9-9.9
5026819590120 21.0 11.3  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.5 33 -4.1  48 38.4-9.9-9.9
5026819590121 22.0 12.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.9 38 -0.5  35 28.0-9.9-9.9
5026819590122 22.1 15.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.1 35 -2.5  56 44.8-9.9-9.9
5026819590123 19.9 11.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.4 44  0.6  38 30.4-9.9-9.9
5026819590124 20.6 13.8  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.6 33 -3.8  32 25.6-9.9-9.9
5026819590125 18.4  6.8  0.009900-99.9-99.9-99.9-99.9-9.9 99 3.6 34 -7.1  38 30.4-9.9-9.9
5026819590126 20.9  9.5  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.5 48 -1.4  31 24.8-9.9-9.9
5026819590127 19.9  9.4  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.7 39 -3.6  48 38.4-9.9-9.9
5026819590128 18.8  9.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.7 52 -1.0  28 22.4-9.9-9.9
5026819590129 22.3  7.6  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.8 36 -3.3  24 19.2-9.9-9.9
5026819590130 28.5 12.5  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.0 28 -2.7  27 21.6-9.9-9.9
5026819590131 32.0  7.3  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.7 29 -1.0   9  7.2-9.9-9.9
5026819590201 36.2 18.5  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.7 30  5.0  13 10.4-9.9-9.9
5026819590202 28.3 17.3  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.3 37  2.5  44 35.2-9.9-9.9
5026819590203 21.2 12.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.1 31 -5.4  60 48.0-9.9-9.9
5026819590204 18.0  9.6  0.009900-99.9-99.9-99.9-99.9-9.9 99 3.4 29 -7.8  56 44.8-9.9-9.9
5026819590205 17.2  7.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 3.1 29 -9.0  31 24.8-9.9-9.9
5026819590206 22.6  6.8  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.3 37 -1.9  34 27.2-9.9-9.9
5026819590207 22.2 14.5  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.3 51  2.5  31 24.8-9.9-9.9
5026819590208 18.2  9.6  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.6 45 -1.2  29 23.2-9.9-9.9
5026819590209 23.0 10.4  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.8 40 -0.7  13 10.4-9.9-9.9
5026819590210 25.4 11.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.3 33 -1.9  16 12.8-9.9-9.9
5026819590211 26.9  5.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 3.7 25 -6.7  11  8.8-9.9-9.9
5026819590212 27.0 14.5  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.2 36  0.2  34 27.2-9.9-9.9
5026819590213 27.5 15.1  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.2 36  2.3  34 27.2-9.9-9.9
5026819590214 31.9 13.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.6 34  1.1  22 17.6-9.9-9.9
5026819590215 31.5 14.7  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.5 32  0.9  11  8.8-9.9-9.9
5026819590216 29.0 15.5  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.2 34  0.2  26 20.8-9.9-9.9
5026819590217 25.5 15.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.4 34 -1.7  30 24.0-9.9-9.9
5026819590218 20.0 10.2  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.9 43 -3.0  19 15.2-9.9-9.9
5026819590219 21.5  4.5  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.8 53 -0.7  16 12.8-9.9-9.9
5026819590220 27.0 10.4  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.5 39  0.9  16 12.8-9.9-9.9
5026819590221 25.0 14.7  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.7 40  1.3  46 36.8-9.9-9.9
5026819590222 28.8 17.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.2 42  4.1  30 24.0-9.9-9.9
5026819590223 22.5 14.3  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.9 33 -3.0  31 24.8-9.9-9.9
5026819590224 21.3 11.5  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.0 37 -2.7  56 44.8-9.9-9.9
5026819590225 22.9 13.4  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.2 35 -2.2  48 38.4-9.9-9.9
5026819590226 24.5 14.1  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.1 38  0.0  44 35.2-9.9-9.9
5026819590227 28.9 15.5  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.3 40  4.3  44 35.2-9.9-9.9
5026819590228 24.5 12.4  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.0 39 -2.7  22 17.6-9.9-9.9
5026819590301 23.1  7.8  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.1 35 -2.5  36 28.8-9.9-9.9
5026819590302 17.0  7.5  0.009900-99.9-99.9-99.9-99.9-9.9 99 3.3 32 -8.2  61 48.8-9.9-9.9
5026819590303 21.1  9.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.5 36 -4.1  52 41.6-9.9-9.9
5026819590304 16.0  5.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 3.2 35 -8.6  48 38.4-9.9-9.9
5026819590305 24.2  8.2  0.719900-99.9-99.9-99.9-99.9-9.9 99 5.5 39 -1.4  48 38.4-9.9-9.9
5026819590306 21.5 13.1  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.9 36 -3.0  31 24.8-9.9-9.9
5026819590307 17.5  7.5  0.009900-99.9-99.9-99.9-99.9-9.9 99 3.4 33 -7.8  31 24.8-9.9-9.9
5026819590308 14.4  5.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.3 50 -4.7  11  8.8-9.9-9.9
5026819590309 18.3  2.8  0.009900-99.9-99.9-99.9-99.9-9.9 99 3.8 39 -6.4   7  5.6-9.9-9.9
5026819590310 21.9  1.8  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.3 42 -4.7  13 10.4-9.9-9.9
5026819590311 24.6  6.8  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.3 50  2.5   7  5.6-9.9-9.9
5026819590312 22.2 10.8  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.8 40 -0.7  42 33.6-9.9-9.9
