5004419730501 27.6 14.9  4.219900 14.1-99.9-99.9-99.9-9.9 9915.1 65 13.1   3  2.4-9.9-9.9
5004419730502 21.0 11.1  3.019900-99.9-99.9-99.9-99.9-9.9 9911.6 74  9.2  23 18.4-9.9-9.9
5004419730503 18.2  9.6  0.009900  9.5-99.9-99.9-99.9-9.9 99 7.8 51  3.4  41 32.8-9.9-9.9
5004419730504 20.7  5.6  0.009900  3.6-99.9-99.9-99.9-9.9 99 9.5 62  6.2   0  0.0-9.9-9.9
5004419730505 20.4  5.9  0.009900  4.7-99.9-99.9-99.9-9.9 9911.0 68  8.4   6  4.8-9.9-9.9
5004419730506 18.8 13.1  0.009900 12.3-99.9-99.9-99.9-9.9 9911.2 63  8.6   0  0.0-9.9-9.9
5004419730507 20.0 12.0  0.009900 11.5-99.9-99.9-99.9-9.9 9912.0 60  9.7  37 29.6-9.9-9.9
5004419730508 21.4 14.7  0.009900 14.2-99.9-99.9-99.9-9.9 9913.9 73 11.9   1  0.8-9.9-9.9
5004419730509 22.7 11.8  0.009900 10.3-99.9-99.9-99.9-9.9 9912.0 64  9.7   0  0.0-9.9-9.9
5004419730510 16.6 11.7  0.009900  9.5-99.9-99.9-99.9-9.9 9910.4 66  7.5   6  4.8-9.9-9.9
5004419730511 16.4 12.2  0.009900 11.9-99.9-99.9-99.9-9.9 99 9.5 61  6.2  16 12.8-9.9-9.9
5004419730512 16.8 10.1  0.009900  9.7-99.9-99.9-99.9-9.9 99 8.4 55  4.5  38 30.4-9.9-9.9
5004419730513 19.6  6.9  0.009900  6.1-99.9-99.9-99.9-9.9 99 9.0 59  5.4  26 20.8-9.9-9.9
5004419730514 21.4 12.9  0.009900 12.2-99.9-99.9-99.9-9.9 99 9.3 50  5.9  41 32.8-9.9-9.9
5004419730515 23.5  8.1  0.009900  7.9-99.9-99.9-99.9-9.9 9910.5 63  7.7   1  0.8-9.9-9.9
5004419730516 22.5  7.9  0.009900  7.7-99.9-99.9-99.9-9.9 9911.0 64  8.4   2  1.6-9.9-9.9
5004419730517 22.0 10.2  0.009900  9.4-99.9-99.9-99.9 3.6 3412.2 61  9.9   3  2.4 8.1 1.4
5004419730518 24.6 16.7  0.009900 16.2-99.9-99.9-99.9 8.6 8113.8 59 11.8  44 35.213.8 5.9
5004419730519 23.8 10.2  0.009900  9.1-99.9-99.9-99.9 4.6 4313.5 72 11.4   7  5.6 9.2 1.7
5004419730520 24.7 10.0  0.009900  8.6-99.9-99.9-99.9 7.0 6612.9 65 10.7   1  0.811.8 1.4
5004419730521 22.5 14.6  0.009900 13.8-99.9-99.9-99.9 3.3 3111.7 58  9.3  20 16.0 7.6 3.3
5004419730522 22.4 15.2  0.009900 13.7-99.9-99.9-99.9 8.0 7611.7 53  9.3  51 40.812.9 6.4
5004419730523 21.4  9.4  0.009900  8.7-99.9-99.9-99.9 6.0 5711.8 71  9.4   2  1.610.6 1.3
5004419730524 24.4  8.5  0.009900  8.0-99.9-99.9-99.9 8.0 7612.1 62  9.8  23 18.412.7 2.9
5004419730525 25.1 11.1  0.009900 10.3-99.9-99.9-99.9 4.2 4013.5 73 11.4   5  4.0 8.5 1.6
5004419730526 29.4  7.1  0.009900  7.0-99.9-99.9-99.9 8.9 8512.0 68  9.7   8  6.413.6 2.1
5004419730527 27.4 10.0  0.319900  9.3-99.9-99.9-99.9 9.0 8614.8 60 12.8  28 22.413.7 3.2
5004419730528 22.8 16.0  0.009900 15.5-99.9-99.9-99.9 0.0  012.1 57  9.8   1  0.8 3.8 1.5
5004419730529 24.1 12.4  0.009900 11.7-99.9-99.9-99.9 3.5 3410.9 53  8.2   0  0.0 7.6 1.3
5004419730530 25.0  7.6  0.009900  6.9-99.9-99.9-99.9 8.3 80 9.9 59  6.8   2  1.612.8 1.3
5004419730531 23.9 10.4  0.009900  9.9-99.9-99.9-99.9 0.7  712.8 63 10.6  19 15.2 4.5 2.5
5004419730601 21.9 11.6  0.009900 10.8-99.9-99.9-99.9 2.4 2313.7 75 11.6   4  3.2 6.3 1.3
