5021519680101 21.3 10.7  0.009900 11.0-99.9-99.9-99.9-9.9 9910.5 56  7.7   9  7.2-9.9-9.9
5021519680102 19.8  9.8  0.009900  8.6-99.9-99.9-99.9-9.9 99 9.3 56  5.9   6  4.8-9.9-9.9
5021519680103 25.6  6.6  0.009900  7.8-99.9-99.9-99.9-9.9 99 9.7 45  6.5   1  0.8-9.9-9.9
5021519680104 30.2  8.5  0.009900  9.8-99.9-99.9-99.9-9.9 9915.3 51 13.3   0  0.0-9.9-9.9
5021519680105 32.2 13.6  0.009900 12.0-99.9-99.9-99.9-9.9 9916.6 57 14.6   6  4.8-9.9-9.9
5021519680106 33.1 16.6  0.009900 16.0-99.9-99.9-99.9-9.9 9915.6 51 13.6  33 26.4-9.9-9.9
5021519680107 24.7 17.0 15.119900 19.5-99.9-99.9-99.9-9.9 9918.5 74 16.3   1  0.8-9.9-9.9
5021519680108 29.1 14.1  8.619900 14.8-99.9-99.9-99.9-9.9 9917.1 75 15.0   0  0.0-9.9-9.9
5021519680109 25.6 12.8  0.009900 13.8-99.9-99.9-99.9-9.9 9918.6 72 16.4   0  0.0-9.9-9.9
5021519680110 25.5 12.6  8.519900 11.2-99.9-99.9-99.9-9.9 9916.3 75 14.3   1  0.8-9.9-9.9
5021519680111 29.7 11.2  0.009900 10.2-99.9-99.9-99.9-9.9 9912.8 55 10.6   1  0.8-9.9-9.9
5021519680112 26.4  9.0  0.009900  8.4-99.9-99.9-99.9-9.9 9914.5 57 12.5   4  3.2-9.9-9.9
5021519680113 26.2  9.2  0.009900  8.0-99.9-99.9-99.9-9.9 9912.9 51 10.7   1  0.8-9.9-9.9
5021519680114 27.6 11.0  0.009900  9.5-99.9-99.9-99.9-9.9 9910.5 40  7.7   1  0.8-9.9-9.9
5021519680115 28.6  8.6  0.009900  7.2-99.9-99.9-99.9-9.9 9914.6 53 12.6   0  0.0-9.9-9.9
5021519680116 31.6 12.5  0.009900 17.9-99.9-99.9-99.9-9.9 9914.2 50 12.2   8  6.4-9.9-9.9
5021519680117 29.9 10.4  0.009900  9.2-99.9-99.9-99.9-9.9 9915.5 53 13.5   0  0.0-9.9-9.9
5021519680118 33.6 12.0  0.009900 11.2-99.9-99.9-99.9-9.9 9911.6 35  9.2   8  6.4-9.9-9.9
5021519680119 27.5 19.0  0.009900 17.8-99.9-99.9-99.9-9.9 9919.6 74 17.2   1  0.8-9.9-9.9
5021519680120 31.3 16.0  0.009900 14.0-99.9-99.9-99.9-9.9 9918.3 62 16.1   5  4.0-9.9-9.9
5021519680121 29.2  9.8  0.009900  9.7-99.9-99.9-99.9-9.9 9911.8 42  9.4   0  0.0-9.9-9.9
5021519680122 30.0 12.7  0.819900 12.0-99.9-99.9-99.9-9.9 9917.4 70 15.3   3  2.4-9.9-9.9
5021519680123 32.6 11.4  0.009900 10.0-99.9-99.9-99.9-9.9 9916.3 53 14.3   8  6.4-9.9-9.9
5021519680124 32.6 16.2  0.009900 15.1-99.9-99.9-99.9-9.9 9915.2 43 13.2  23 18.4-9.9-9.9
5021519680125 30.5 18.7  0.009900 19.0-99.9-99.9-99.9-9.9 9916.3 62 14.3   0  0.0-9.9-9.9
5021519680126 35.3 13.7  0.009900 12.9-99.9-99.9-99.9-9.9 9919.2 48 16.9   1  0.8-9.9-9.9
5021519680127 36.4 17.0  0.009900 15.9-99.9-99.9-99.9-9.9 9916.1 41 14.1   8  6.4-9.9-9.9
5021519680128 27.1 15.4  0.009900 19.0-99.9-99.9-99.9-9.9 9912.3 56 10.0   8  6.4-9.9-9.9
5021519680129 26.0  5.1  0.009900  3.5-99.9-99.9-99.9-9.9 9913.2 54 11.1   6  4.8-9.9-9.9
5021519680130 27.3 10.8  0.009900 10.5-99.9-99.9-99.9-9.9 9912.4 47 10.1   9  7.2-9.9-9.9
5021519680131 30.3 12.6  0.009900 12.2-99.9-99.9-99.9-9.9 9912.5 53 10.3  13 10.4-9.9-9.9
5021519680201 31.1 15.6  0.009900 20.8-99.9-99.9-99.9-9.9 9912.8 41 10.6   8  6.4-9.9-9.9
5021519680202 35.1 16.6  0.009900 19.5-99.9-99.9-99.9-9.9 9916.2 57 14.2   2  1.6-9.9-9.9
5021519680203 36.6 20.6  0.009900 25.2-99.9-99.9-99.9-9.9 9913.7 37 11.6   4  3.2-9.9-9.9
5021519680204 34.7 14.6  0.009900 14.5-99.9-99.9-99.9-9.9 9911.7 42  9.3   0  0.0-9.9-9.9
5021519680205 35.7 17.5  0.009900 16.9-99.9-99.9-99.9-9.9 9916.2 45 14.2   4  3.2-9.9-9.9
5021519680206 27.6 14.1  0.009900 16.3-99.9-99.9-99.9-9.9 9911.9 50  9.5   4  3.2-9.9-9.9
5021519680207 25.3 12.1 43.519900 10.4-99.9-99.9-99.9-9.9 9917.7 81 15.6   4  3.2-9.9-9.9
5021519680208 30.7 17.0  9.819900 17.5-99.9-99.9-99.9-9.9 9918.8 65 16.5   1  0.8-9.9-9.9
5021519680209 27.1 15.0  0.009900 17.0-99.9-99.9-99.9-9.9 9915.3 61 13.3   0  0.0-9.9-9.9
