5001719811001 27.7  8.7  0.009900-99.9-99.9-99.9-99.9-9.9 9910.8 47  8.1   6  4.8-9.9-9.9
5001719811002 36.0 11.0  0.009900-99.9-99.9-99.9-99.9-9.9 9912.7 41 10.5   9  7.2-9.9-9.9
5001719811003 25.4 14.8  0.009900-99.9-99.9-99.9-99.9-9.9 9910.1 43  7.1   9  7.2-9.9-9.9
5001719811004 20.7  7.4  0.009900-99.9-99.9-99.9-99.9-9.9 9911.1 60  8.5   6  4.8-9.9-9.9
5001719811005 16.4 10.6  0.009900-99.9-99.9-99.9-99.9-9.9 9911.7 77  9.3   1  0.8-9.9-9.9
5001719811006 18.0 10.3  0.009900-99.9-99.9-99.9-99.9-9.9 9911.7 71  9.3   2  1.6-9.9-9.9
5001719811007 16.1 11.8  0.009900-99.9-99.9-99.9-99.9-9.9 9912.9 85 10.7   7  5.6-9.9-9.9
5001719811008 17.1 11.8  0.009900-99.9-99.9-99.9-99.9-9.9 9912.7 76 10.5   4  3.2-9.9-9.9
5001719811009 19.8 13.6  0.009900-99.9-99.9-99.9-99.9-9.9 9913.5 72 11.4   3  2.4-9.9-9.9
5001719811010 26.6  8.8  0.009900-99.9-99.9-99.9-99.9-9.9 9913.1 59 11.0   5  4.0-9.9-9.9
5001719811011 28.5 12.2  0.009900-99.9-99.9-99.9-99.9-9.9 9913.1 52 11.0   3  2.4-9.9-9.9
5001719811012 28.0 10.9  0.009900-99.9-99.9-99.9-99.9-9.9 9911.8 46  9.4   6  4.8-9.9-9.9
5001719811013 25.8 15.0  0.009900-99.9-99.9-99.9-99.9-9.9 9912.8 57 10.6   8  6.4-9.9-9.9
5001719811014 29.0 10.2  0.009900-99.9-99.9-99.9-99.9-9.9 9913.7 55 11.6   7  5.6-9.9-9.9
5001719811015 29.3 13.6  0.009900-99.9-99.9-99.9-99.9-9.9 9913.3 49 11.2  14 11.2-9.9-9.9
5001719811016 22.5 17.4  0.009900-99.9-99.9-99.9-99.9-9.9 9914.8 67 12.8   0  0.0-9.9-9.9
5001719811017 20.4 15.0  1.119900-99.9-99.9-99.9-99.9-9.9 9912.7 70 10.5   7  5.6-9.9-9.9
5001719811018 22.6 13.0  0.119900-99.9-99.9-99.9-99.9-9.9 9914.7 77 12.7   4  3.2-9.9-9.9
5001719811019 29.1 10.7  0.009900-99.9-99.9-99.9-99.9-9.9 9912.1 48  9.8  12  9.6-9.9-9.9
5001719811020 32.6 12.3  0.009900-99.9-99.9-99.9-99.9-9.9 9912.6 40 10.4  11  8.8-9.9-9.9
5001719811021 33.0 13.3  0.009900-99.9-99.9-99.9-99.9-9.9 9914.3 46 12.3   9  7.2-9.9-9.9
5001719811022 32.6 20.4  0.009900-99.9-99.9-99.9-99.9-9.9 9915.1 44 13.1  14 11.2-9.9-9.9
5001719811023 35.5 20.7  0.009900-99.9-99.9-99.9-99.9-9.9 9918.0 45 15.8  17 13.6-9.9-9.9
5001719811024 35.7 22.0 19.019900-99.9-99.9-99.9-99.9-9.9 9921.2 60 18.4   7  5.6-9.9-9.9
5001719811025 23.0 19.2  3.219900-99.9-99.9-99.9-99.9-9.9 9923.9 97 20.4   9  7.2-9.9-9.9
5001719811026 29.2 19.1  0.009900-99.9-99.9-99.9-99.9-9.9 9923.7 77 20.2   2  1.6-9.9-9.9
5001719811027 29.9 20.6 30.619900-99.9-99.9-99.9-99.9-9.9 9923.8 74 20.3   4  3.2-9.9-9.9
5001719811028 29.0 20.0  0.009900-99.9-99.9-99.9-99.9-9.9 9926.8 83 22.2   5  4.0-9.9-9.9
5001719811029 34.8 19.6  0.009900-99.9-99.9-99.9-99.9-9.9 9926.9 68 22.3   0  0.0-9.9-9.9
5001719811030 38.4 22.2  2.419900-99.9-99.9-99.9-99.9-9.9 9924.3 60 20.6  22 17.6-9.9-9.9
5001719811031-99.9 20.4 16.819900-99.9-99.9-99.9-99.9-9.9 9923.7 94 20.2  12  9.6-9.9-9.9
5001719811101 23.0 19.9  9.219900-99.9-99.9-99.9-99.9-9.9 9923.9 97 20.4  10  8.0-9.9-9.9
5001719811102 30.0 18.4  0.009900-99.9-99.9-99.9-99.9-9.9 9925.0 77 21.1   6  4.8-9.9-9.9
5001719811103 28.0 19.1  2.619900-99.9-99.9-99.9-99.9-9.9 9924.4 85 20.7  12  9.6-9.9-9.9
