5003019710101 33.4 19.4  0.009900-99.9-99.9-99.9-99.9-9.9 9923.7 72 20.2   6  4.8-9.9-9.9
5003019710102 35.4 19.1  0.009900-99.9-99.9-99.9-99.9-9.9 9922.1 56 19.1   6  4.8-9.9-9.9
5003019710103 38.7 20.9  0.009900-99.9-99.9-99.9-99.9-9.9 9922.0 47 19.0  11  8.8-9.9-9.9
5003019710104 29.4 18.6 19.519900-99.9-99.9-99.9-99.9-9.9 9923.2 78 19.9  11  8.8-9.9-9.9
5003019710105 34.1 17.3-99.999900-99.9-99.9-99.9-99.9-9.9 9921.1 60 18.4   7  5.6-9.9-9.9
5003019710106 37.2 18.5  0.009900-99.9-99.9-99.9-99.9-9.9 9920.5 49 17.9  11  8.8-9.9-9.9
5003019710107 30.2 19.1  4.019900-99.9-99.9-99.9-99.9-9.9 9923.7 73 20.2   8  6.4-9.9-9.9
5003019710108 33.9 17.1  0.519900-99.9-99.9-99.9-99.9-9.9 9922.2 63 19.2  21 16.8-9.9-9.9
5003019710109 33.5 17.3  3.019900-99.9-99.9-99.9-99.9-9.9 9922.3 64 19.2  11  8.8-9.9-9.9
5003019710110 27.3 11.3  4.319900-99.9-99.9-99.9-99.9-9.9 9915.1 96 13.1  21 16.8-9.9-9.9
5003019710111 27.4 11.7  0.519900-99.9-99.9-99.9-99.9-9.9 9916.3 96 14.3  11  8.8-9.9-9.9
5003019710112 29.8 18.5  0.009900-99.9-99.9-99.9-99.9-9.9 9917.0 76 15.0   7  5.6-9.9-9.9
5003019710113 34.4 13.0  0.009900-99.9-99.9-99.9-99.9-9.9 9916.0 47 14.0   7  5.6-9.9-9.9
5003019710114 37.4 15.9  0.009900-99.9-99.9-99.9-99.9-9.9 9916.9 42 14.9  11  8.8-9.9-9.9
5003019710115 39.4 18.6  0.009900-99.9-99.9-99.9-99.9-9.9 9920.1 44 17.6  11  8.8-9.9-9.9
5003019710116 39.4 22.7  0.009900-99.9-99.9-99.9-99.9-9.9 9924.3 58 20.6  14 11.2-9.9-9.9
5003019710117 40.1 20.1  0.009900-99.9-99.9-99.9-99.9-9.9 9924.3 48 20.6  13 10.4-9.9-9.9
5003019710118 40.3 22.4 43.019900-99.9-99.9-99.9-99.9-9.9 9925.3 58 21.3  11  8.8-9.9-9.9
5003019710119 36.0 22.5  0.009900-99.9-99.9-99.9-99.9-9.9 9927.1 68 22.4  11  8.8-9.9-9.9
5003019710120 39.8 23.6  0.009900-99.9-99.9-99.9-99.9-9.9 9925.9 51 21.7  13 10.4-9.9-9.9
5003019710121 39.4 16.4  0.009900-99.9-99.9-99.9-99.9-9.9 9926.8 55 22.2   9  7.2-9.9-9.9
5003019710122 37.4 23.4  0.009900-99.9-99.9-99.9-99.9-9.9 9926.3 58 21.9   9  7.2-9.9-9.9
