5283220211030-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 49-99.9 -99-99.9-9.9-9.9
5283220211031 35.4 17.9  0.009999-99.9-99.9-99.9-99.9-9.9 9919.0 57 16.7 -99-99.9-9.9-9.9
5283220211101 29.9 18.5  0.009999-99.9-99.9-99.9-99.9-9.9 9922.3 83 19.2 -99-99.9-9.9-9.9
5283220211102 24.5 18.5  0.009999-99.9-99.9-99.9-99.9-9.9 9920.7 83 18.0 -99-99.9-9.9-9.9
5283220211103 30.5 13.4  0.009999-99.9-99.9-99.9-99.9-9.9 9918.7 76 16.4 -99-99.9-9.9-9.9
5283220211104 33.7 14.8  1.219999-99.9-99.9-99.9-99.9-9.9 9918.7 48 16.4 -99-99.9-9.9-9.9
5283220211105 25.4 15.6  0.519999-99.9-99.9-99.9-99.9-9.9 9916.3 82 13.9 -99-99.9-9.9-9.9
5283220211106 26.3 12.8  0.009999-99.9-99.9-99.9-99.9-9.9 9911.9 53  9.6 -99-99.9-9.9-9.9
5283220211107 29.0 12.1  0.009999-99.9-99.9-99.9-99.9-9.9 9914.4 54 12.4 -99-99.9-9.9-9.9
5283220211108 31.8 10.7  0.009999-99.9-99.9-99.9-99.9-9.9 9913.4 43 11.3 -99-99.9-9.9-9.9
5283220211109 33.7 11.4  0.009999-99.9-99.9-99.9-99.9-9.9 9913.4 38 11.2 -99-99.9-9.9-9.9
5283220211110 31.5 18.6  0.009999-99.9-99.9-99.9-99.9-9.9 9915.3 53 13.3 -99-99.9-9.9-9.9
5283220211111 30.6 14.7  0.009999-99.9-99.9-99.9-99.9-9.9 9912.9 42 10.6 -99-99.9-9.9-9.9
5283220211112 31.5 13.9  0.009999-99.9-99.9-99.9-99.9-9.9 9912.8 41 10.6 -99-99.9-9.9-9.9
5283220211113 35.7 15.4 40.819999-99.9-99.9-99.9-99.9-9.9 9917.6 46 15.4 -99-99.9-9.9-9.9
5283220211114 29.1 18.3  0.009999-99.9-99.9-99.9-99.9-9.9 9919.1 75 16.5 -99-99.9-9.9-9.9
5283220211115 33.4 15.3  1.219999-99.9-99.9-99.9-99.9-9.9 9921.7 64 18.7 -99-99.9-9.9-9.9
