5294220060507-99.9-99.9  0.219999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5294220060508 32.8 20.5  0.009999-99.9-99.9-99.9-99.9-9.9 9925.1 71 21.1 -99-99.9-9.9-9.9
5294220060509 33.5 19.8  2.819999-99.9-99.9-99.9-99.9-9.9 9925.9 78 21.6 -99-99.9-9.9-9.9
5294220060510 33.1 20.5  0.009999-99.9-99.9-99.9-99.9-9.9 9922.8 61 19.5 -99-99.9-9.9-9.9
5294220060511 34.1 15.4  0.009999-99.9-99.9-99.9-99.9-9.9 9915.6 49 13.5 -99-99.9-9.9-9.9
5294220060512 33.6 16.2  0.009999-99.9-99.9-99.9-99.9-9.9 9917.2 49 15.1 -99-99.9-9.9-9.9
5294220060513 33.0 19.0  0.009999-99.9-99.9-99.9-99.9-9.9 9916.4 45 14.3 -99-99.9-9.9-9.9
5294220060514 35.1 14.0  0.009999-99.9-99.9-99.9-99.9-9.9 9915.1 45 12.9 -99-99.9-9.9-9.9
5294220060515 36.4 17.0  0.009999-99.9-99.9-99.9-99.9-9.9 9917.8 45 15.5 -99-99.9-9.9-9.9
5294220060516 38.1 21.1  0.009999-99.9-99.9-99.9-99.9-9.9 9920.9 46 18.1 -99-99.9-9.9-9.9
5294220060517 39.3 22.5  4.819999-99.9-99.9-99.9-99.9-9.9 9922.1 47 19.1 -99-99.9-9.9-9.9
5294220060518 30.4 16.2  5.819999-99.9-99.9-99.9-99.9-9.9 9920.7 78 18.0 -99-99.9-9.9-9.9
5294220060519 29.5 14.3  2.019999-99.9-99.9-99.9-99.9-9.9 9915.6 69 13.6 -99-99.9-9.9-9.9
5294220060520 23.7 13.0  0.009999-99.9-99.9-99.9-99.9-9.9 9912.0 54  9.6 -99-99.9-9.9-9.9
5294220060521 28.0 10.1  0.009999-99.9-99.9-99.9-99.9-9.9 9912.7 50 10.5 -99-99.9-9.9-9.9
5294220060522 29.9 14.7  0.009999-99.9-99.9-99.9-99.9-9.9 9914.5 47 12.5 -99-99.9-9.9-9.9
5294220060523 31.4 16.5  4.019999-99.9-99.9-99.9-99.9-9.9 9919.0 68 16.6 -99-99.9-9.9-9.9
5294220060524 28.6 17.3  0.009999-99.9-99.9-99.9-99.9-9.9 9919.6 65 16.8 -99-99.9-9.9-9.9
5294220060525 26.2 11.8  0.009999-99.9-99.9-99.9-99.9-9.9 9913.1 57 10.8 -99-99.9-9.9-9.9
5294220060526 29.0 15.0  0.009999-99.9-99.9-99.9-99.9-9.9 9917.5 67 15.3 -99-99.9-9.9-9.9
5294220060527 30.6 14.0  0.219999-99.9-99.9-99.9-99.9-9.9 9918.0 63 15.8 -99-99.9-9.9-9.9
5294220060528 37.3 17.8  0.009999-99.9-99.9-99.9-99.9-9.9 9918.6 50 16.3 -99-99.9-9.9-9.9
5294220060529 37.2 20.3  0.009999-99.9-99.9-99.9-99.9-9.9 9918.9 47 16.5 -99-99.9-9.9-9.9
5294220060530 31.3 19.9  0.009999-99.9-99.9-99.9-99.9-9.9 9919.6 63 17.1 -99-99.9-9.9-9.9
5294220060531 35.8 18.5  2.519999-99.9-99.9-99.9-99.9-9.9 9923.4 70 20.0 -99-99.9-9.9-9.9
5294220060601 31.3 20.5  2.819999-99.9-99.9-99.9-99.9-9.9 9922.9 67 19.5 -99-99.9-9.9-9.9
5294220060602 30.6 16.6  0.009999-99.9-99.9-99.9-99.9-9.9 9920.9 69 18.0 -99-99.9-9.9-9.9
5294220060603 34.9 18.4  4.219999-99.9-99.9-99.9-99.9-9.9 9921.4 67 18.5 -99-99.9-9.9-9.9
5294220060604 27.0 13.7  0.219999-99.9-99.9-99.9-99.9-9.9 9912.7 53 10.2 -99-99.9-9.9-9.9
5294220060605 25.5  9.6  0.219999-99.9-99.9-99.9-99.9-9.9 9912.5 58 10.2 -99-99.9-9.9-9.9
5294220060606 29.2 15.2  0.009999-99.9-99.9-99.9-99.9-9.9 9916.1 60 14.1 -99-99.9-9.9-9.9
5294220060607 31.3 15.2  0.009999-99.9-99.9-99.9-99.9-9.9 9917.1 54 15.0 -99-99.9-9.9-9.9
5294220060608 31.9 17.1  0.009999-99.9-99.9-99.9-99.9-9.9 9917.8 53 15.6 -99-99.9-9.9-9.9
5294220060609-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5294220060610 30.7 19.2  0.519999-99.9-99.9-99.9-99.9-9.9 9925.1 84 21.1 -99-99.9-9.9-9.9
5294220060611 34.2 21.7  0.009999-99.9-99.9-99.9-99.9-9.9 9924.1 65 20.5 -99-99.9-9.9-9.9
5294220060612-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5294220060613-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5294220060614-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5294220060616-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5294220060617-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5294220060618-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5294220060622-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5294220060623-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5294220060624-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5294220060628-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5294220060629-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5294220060630-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5294220060705-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5294220060706-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5294220060713-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5294220060716-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5294220060719-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5294220060720-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5294220060725-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5294220060728-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5294220060729-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5294220060801-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5294220060802-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5294220060804-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5294220060808-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5294220060815-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
