5294020150722-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5294020150805-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5294020150806 14.5  7.9 11.219999-99.9-99.9-99.9-99.9-9.9 99 9.3 81  5.7 -99-99.9-9.9-9.9
5294020150807 11.8  2.5  5.819999-99.9-99.9-99.9-99.9-9.9 99 8.3 91  4.2 -99-99.9-9.9-9.9
5294020150808  8.2  4.5  0.219999-99.9-99.9-99.9-99.9-9.9 99 7.6 81  3.0 -99-99.9-9.9-9.9
5294020150809 16.9 -0.9  6.519999-99.9-99.9-99.9-99.9-9.9 99 7.9 80  3.4 -99-99.9-9.9-9.9
5294020150810 10.1  4.6  5.219999-99.9-99.9-99.9-99.9-9.9 99 8.4 91  4.5 -99-99.9-9.9-9.9
5294020150811  8.5  0.5  1.219999-99.9-99.9-99.9-99.9-9.9 99 7.1 77  2.0 -99-99.9-9.9-9.9
5294020150812  7.4  2.8  2.519999-99.9-99.9-99.9-99.9-9.9 99 7.5 88  2.8 -99-99.9-9.9-9.9
5294020150813  6.3  2.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.6 82  1.0 -99-99.9-9.9-9.9
5294020150814 11.8  1.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.9 84  1.6 -99-99.9-9.9-9.9
5294020150815 14.9 -2.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.8 70  1.3 -99-99.9-9.9-9.9
5294020150816 14.9  3.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.7 73  1.2 -99-99.9-9.9-9.9
5294020150817 22.5 -1.3-99.999999-99.9-99.9-99.9-99.9-9.9 99 7.8 80  2.3 -99-99.9-9.9-9.9
5294020150818-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 46-99.9 -99-99.9-9.9-9.9
5294020150819 22.2  0.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.5 53  0.8 -99-99.9-9.9-9.9
5294020150820 21.4  3.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.4 59  2.6 -99-99.9-9.9-9.9
