5285020131128 22.9  3.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.5 51  4.6 -99-99.9-9.9-9.9
5285020131129 28.2  3.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.0 49  5.4 -99-99.9-9.9-9.9
5285020131130 28.2  7.0  0.009999-99.9-99.9-99.9-99.9-9.9 9910.3 50  7.4 -99-99.9-9.9-9.9
5285020131201 27.4  5.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.0 47  5.3 -99-99.9-9.9-9.9
5285020131202 19.0  9.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.7 38  1.0 -99-99.9-9.9-9.9
5285020131203 21.7  1.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.1 52  2.0 -99-99.9-9.9-9.9
5285020131204 23.7  4.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.4 57  4.5 -99-99.9-9.9-9.9
5285020131205 27.1  3.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.5 49  4.6 -99-99.9-9.9-9.9
5285020131206 26.2  4.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.6 54  6.3 -99-99.9-9.9-9.9
5285020131207 28.4  4.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.4 51  6.0 -99-99.9-9.9-9.9
5285020131208 30.4  5.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.9 42  5.2 -99-99.9-9.9-9.9
5285020131209 28.9  6.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.6 48  6.3 -99-99.9-9.9-9.9
5285020131210 31.8  6.7  0.009999-99.9-99.9-99.9-99.9-9.9 9910.9 51  8.2 -99-99.9-9.9-9.9
5285020131211 31.2  8.4  0.009999-99.9-99.9-99.9-99.9-9.9 9911.3 49  8.8 -99-99.9-9.9-9.9
5285020131212 28.4  7.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.9 47  6.9 -99-99.9-9.9-9.9
5285020131213 29.2  7.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.5 41  4.5 -99-99.9-9.9-9.9
5285020131214 32.2  5.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.8 37  5.1 -99-99.9-9.9-9.9
5285020131215 31.7  9.1  0.009999-99.9-99.9-99.9-99.9-9.9 9912.0 47  9.6 -99-99.9-9.9-9.9
5285020131216 36.1 10.8  0.009999-99.9-99.9-99.9-99.9-9.9 9912.4 42 10.1 -99-99.9-9.9-9.9
5285020131217 30.7  9.9  0.009999-99.9-99.9-99.9-99.9-9.9 9910.7 44  8.0 -99-99.9-9.9-9.9
5285020131218 33.6  8.4  0.009999-99.9-99.9-99.9-99.9-9.9 9910.4 43  7.4 -99-99.9-9.9-9.9
5285020131219 33.0 11.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.1 37  5.6 -99-99.9-9.9-9.9
5285020131220 30.4 11.2  0.009999-99.9-99.9-99.9-99.9-9.9 9910.4 41  7.5 -99-99.9-9.9-9.9
5285020131221 32.1  6.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.9 38  3.3 -99-99.9-9.9-9.9
5285020131222 32.5  6.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.6 27  0.9 -99-99.9-9.9-9.9
5285020131223 33.4  7.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.9 37  5.3 -99-99.9-9.9-9.9
5285020131224 33.0  8.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.0 40  5.1 -99-99.9-9.9-9.9
5285020131225 27.3  7.5  7.819999-99.9-99.9-99.9-99.9-9.9 99 9.1 51  5.3 -99-99.9-9.9-9.9
5285020131226 25.9  9.3  0.009999-99.9-99.9-99.9-99.9-9.9 9910.3 56  7.0 -99-99.9-9.9-9.9
5285020131227 28.0  4.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.7 44  5.0 -99-99.9-9.9-9.9
5285020131228 27.9  5.4  0.009999-99.9-99.9-99.9-99.9-9.9 9910.2 50  7.1 -99-99.9-9.9-9.9
5285020131229 25.7 11.7  5.519999-99.9-99.9-99.9-99.9-9.9 9912.0 67  9.4 -99-99.9-9.9-9.9
5285020131230 19.2  8.3  0.819999-99.9-99.9-99.9-99.9-9.9 9911.2 76  8.6 -99-99.9-9.9-9.9
5285020131231 17.9  8.9  4.519999-99.9-99.9-99.9-99.9-9.9 9911.2 73  8.5 -99-99.9-9.9-9.9
5285020140101 18.8  7.4  1.019999-99.9-99.9-99.9-99.9-9.9 99 9.5 70  6.1 -99-99.9-9.9-9.9
5285020140102 18.3  1.6  0.519999-99.9-99.9-99.9-99.9-9.9 99 7.2 65  2.2 -99-99.9-9.9-9.9
5285020140103 22.4  0.1  0.219999-99.9-99.9-99.9-99.9-9.9 99 7.6 51  2.9 -99-99.9-9.9-9.9
5285020140104 26.4  7.2  0.219999-99.9-99.9-99.9-99.9-9.9 9910.0 53  6.9 -99-99.9-9.9-9.9
5285020140105 30.4  4.7  0.519999-99.9-99.9-99.9-99.9-9.9 99 9.1 46  5.5 -99-99.9-9.9-9.9
5285020140106 26.3  9.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.1 45  5.5 -99-99.9-9.9-9.9
5285020140107-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020140109-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020140110 25.0  3.4  0.219999-99.9-99.9-99.9-99.9-9.9 99 8.3 51  4.3 -99-99.9-9.9-9.9
5285020140111 34.2  5.6  0.009999-99.9-99.9-99.9-99.9-9.9 9910.4 49  7.4 -99-99.9-9.9-9.9
5285020140112 36.2 10.9  0.219999-99.9-99.9-99.9-99.9-9.9 9911.7 43  9.2 -99-99.9-9.9-9.9
5285020140113-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020140126-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020140127-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020140128-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020140202-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020140203-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020140204 17.6  7.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020140814-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020140815 14.1 -1.6-99.999999-99.9-99.9-99.9-99.9-9.9 99 7.0 79  1.8 -99-99.9-9.9-9.9
5285020140816-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020140822-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020140823-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020140824-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020140825-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020140826-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020140827-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020140828-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020140829-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020140830-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020140831-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020140901-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020140902-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 9910.6 94  7.8 -99-99.9-9.9-9.9
5285020140903 12.8  6.4  1.519999-99.9-99.9-99.9-99.9-9.9 9910.5100  7.6 -99-99.9-9.9-9.9
5285020140904-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99 9.6 93  6.3 -99-99.9-9.9-9.9
5285020140905-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020140906-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020140907-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020140908-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020140909-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020140910 11.8  0.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.0 90  3.7 -99-99.9-9.9-9.9
5285020140911 15.0 -1.2-99.999999-99.9-99.9-99.9-99.9-9.9 99 7.3 87  2.3 -99-99.9-9.9-9.9
5285020140912-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.4 78  2.7 -99-99.9-9.9-9.9
5285020140913 17.6 -1.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.4 78  2.5 -99-99.9-9.9-9.9
5285020140914 17.5  0.1  0.219999-99.9-99.9-99.9-99.9-9.9 99 7.1 73  2.0 -99-99.9-9.9-9.9
5285020140915 17.9 -1.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.4 79  2.5 -99-99.9-9.9-9.9
5285020140916 18.0  0.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.5 74  2.7 -99-99.9-9.9-9.9
5285020140917 17.5 -0.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.1 74  3.7 -99-99.9-9.9-9.9
5285020140918 14.5  4.2  6.219999-99.9-99.9-99.9-99.9-9.9 9910.1 90  7.0 -99-99.9-9.9-9.9
5285020140919 16.6  6.6  0.519999-99.9-99.9-99.9-99.9-9.9 9910.2 83  7.0 -99-99.9-9.9-9.9
5285020140920 14.8  5.8  4.519999-99.9-99.9-99.9-99.9-9.9 99 9.8 79  6.4 -99-99.9-9.9-9.9
5285020140921 16.2  5.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.5 74  4.4 -99-99.9-9.9-9.9
5285020140922 15.2  2.8  6.219999-99.9-99.9-99.9-99.9-9.9 99 7.5 75  2.6 -99-99.9-9.9-9.9
5285020140923  8.7  4.1  6.819999-99.9-99.9-99.9-99.9-9.9 99 7.3 76  2.4 -99-99.9-9.9-9.9
5285020140924 11.2  2.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.8 85  3.3 -99-99.9-9.9-9.9
5285020140925 12.5 -1.1  1.519999-99.9-99.9-99.9-99.9-9.9 99 5.9 67 -0.7 -99-99.9-9.9-9.9
5285020140926 14.1  1.7  0.219999-99.9-99.9-99.9-99.9-9.9 99 7.4 78  2.3 -99-99.9-9.9-9.9
5285020140927  7.4  2.9 13.219999-99.9-99.9-99.9-99.9-9.9 99 5.9 61 -0.5 -99-99.9-9.9-9.9
5285020140928 15.2  4.7  1.019999-99.9-99.9-99.9-99.9-9.9 99 7.9 73  3.1 -99-99.9-9.9-9.9
5285020140929 14.4  0.4  3.219999-99.9-99.9-99.9-99.9-9.9 99 6.6 66  0.5 -99-99.9-9.9-9.9
5285020140930 17.3  1.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.3 66  1.8 -99-99.9-9.9-9.9
5285020141001 20.4 -0.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.4 63  1.9 -99-99.9-9.9-9.9
5285020141002 23.8  3.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.6 56  3.8 -99-99.9-9.9-9.9
5285020141003 19.2  7.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.8 57  4.6 -99-99.9-9.9-9.9
5285020141004 20.4  2.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.6 63  3.2 -99-99.9-9.9-9.9
5285020141005 21.5  2.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.7 55  1.9 -99-99.9-9.9-9.9
5285020141006 21.8  2.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.1 55  2.7 -99-99.9-9.9-9.9
5285020141007 19.5  8.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.7 41  0.7 -99-99.9-9.9-9.9
5285020141008 16.1 -1.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.0 66 -0.8 -99-99.9-9.9-9.9
5285020141009 16.2  2.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.8 48 -1.2 -99-99.9-9.9-9.9
5285020141010 18.8  0.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.9 62  1.2 -99-99.9-9.9-9.9
5285020141011 17.4  2.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.9 67  1.4 -99-99.9-9.9-9.9
5285020141012 17.2  2.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.9 59  1.3 -99-99.9-9.9-9.9
5285020141013 19.6  2.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.7 58  2.8 -99-99.9-9.9-9.9
5285020141014 23.2  0.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.3 63  1.3 -99-99.9-9.9-9.9
5285020141015 19.7  3.4  7.019999-99.9-99.9-99.9-99.9-9.9 99 6.1 43 -2.2 -99-99.9-9.9-9.9
5285020141016 13.9  7.3  1.219999-99.9-99.9-99.9-99.9-9.9 99 6.4 48 -2.1 -99-99.9-9.9-9.9
5285020141017 16.5  2.1  4.819999-99.9-99.9-99.9-99.9-9.9 99 7.1 53 -0.3 -99-99.9-9.9-9.9
5285020141018 11.8  5.1  2.519999-99.9-99.9-99.9-99.9-9.9 99 5.4 53 -4.0 -99-99.9-9.9-9.9
5285020141019  8.6  0.7  7.019999-99.9-99.9-99.9-99.9-9.9 99 4.2 39 -5.9 -99-99.9-9.9-9.9
5285020141020 21.3  6.3  0.519999-99.9-99.9-99.9-99.9-9.9 99 7.4 50  1.1 -99-99.9-9.9-9.9
5285020141021 22.1  6.8  0.219999-99.9-99.9-99.9-99.9-9.9 99 9.6 74  4.7 -99-99.9-9.9-9.9
5285020141022 21.4  9.6  0.219999-99.9-99.9-99.9-99.9-9.9 99 8.9 61  4.4 -99-99.9-9.9-9.9
5285020141023 26.4  3.9  0.219999-99.9-99.9-99.9-99.9-9.9 99 8.8 70  4.6 -99-99.9-9.9-9.9
5285020141024 27.2  3.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.0 59  5.2 -99-99.9-9.9-9.9
5285020141025 26.8  3.8  0.219999-99.9-99.9-99.9-99.9-9.9 99 8.3 58  3.9 -99-99.9-9.9-9.9
5285020141026 24.5  5.3  0.219999-99.9-99.9-99.9-99.9-9.9 99 9.2 54  5.6 -99-99.9-9.9-9.9
5285020141027 17.6  3.7  0.009999-99.9-99.9-99.9-99.9-9.9 9910.1 86  6.2 -99-99.9-9.9-9.9
5285020141028 19.6  7.8  7.819999-99.9-99.9-99.9-99.9-9.9 99 7.3 54  1.2 -99-99.9-9.9-9.9
5285020141029 13.3  4.2 11.819999-99.9-99.9-99.9-99.9-9.9 99 6.5 64  0.2 -99-99.9-9.9-9.9
5285020141030 11.7  1.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.4 95  2.5 -99-99.9-9.9-9.9
5285020141031 13.0  0.1  0.219999-99.9-99.9-99.9-99.9-9.9 99 7.2 83  2.0 -99-99.9-9.9-9.9
5285020141101 13.7  2.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.6 70  0.9 -99-99.9-9.9-9.9
5285020141102 12.0  2.6  0.219999-99.9-99.9-99.9-99.9-9.9 99 8.8 91  5.0 -99-99.9-9.9-9.9
5285020141103 17.9  3.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.3 70  4.2 -99-99.9-9.9-9.9
5285020141104 18.7  0.2  0.219999-99.9-99.9-99.9-99.9-9.9 99 7.6 61  2.9 -99-99.9-9.9-9.9
5285020141105 18.9  4.3  2.519999-99.9-99.9-99.9-99.9-9.9 99 8.8 63  5.1 -99-99.9-9.9-9.9
5285020141106 11.1  7.3  0.519999-99.9-99.9-99.9-99.9-9.9 99 9.8 83  6.3 -99-99.9-9.9-9.9
5285020141107 18.7  3.3  0.219999-99.9-99.9-99.9-99.9-9.9 99 8.8 67  5.1 -99-99.9-9.9-9.9
5285020141108 18.5  7.7  0.219999-99.9-99.9-99.9-99.9-9.9 9911.7 84  9.2 -99-99.9-9.9-9.9
5285020141109 27.1  5.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.6 62  6.2 -99-99.9-9.9-9.9
5285020141110 22.3  5.3  0.219999-99.9-99.9-99.9-99.9-9.9 99 9.8 69  6.5 -99-99.9-9.9-9.9
5285020141111 19.4  4.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.6 69  4.7 -99-99.9-9.9-9.9
5285020141112 21.6  3.0  0.219999-99.9-99.9-99.9-99.9-9.9 99 8.0 53  3.6 -99-99.9-9.9-9.9
5285020141113 22.1  5.1  0.009999-99.9-99.9-99.9-99.9-9.9 9910.2 71  7.2 -99-99.9-9.9-9.9
5285020141114 25.5  5.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.8 59  6.6 -99-99.9-9.9-9.9
5285020141115 27.4  7.6  0.219999-99.9-99.9-99.9-99.9-9.9 9912.0 57  9.6 -99-99.9-9.9-9.9
5285020141116 31.5  6.7  0.009999-99.9-99.9-99.9-99.9-9.9 9911.3 52  8.6 -99-99.9-9.9-9.9
5285020141117 29.9  7.6  0.819999-99.9-99.9-99.9-99.9-9.9 99 9.2 39  5.1 -99-99.9-9.9-9.9
5285020141118 19.1  8.0  0.519999-99.9-99.9-99.9-99.9-9.9 99 9.6 70  6.2 -99-99.9-9.9-9.9
5285020141119 17.8  3.5  3.519999-99.9-99.9-99.9-99.9-9.9 99 8.9 70  5.3 -99-99.9-9.9-9.9
5285020141120 23.0  3.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.3 61  5.8 -99-99.9-9.9-9.9
5285020141121 25.7  4.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.9 57  6.7 -99-99.9-9.9-9.9
5285020141122 22.1  5.7  0.819999-99.9-99.9-99.9-99.9-9.9 9910.7 67  7.9 -99-99.9-9.9-9.9
5285020141123 18.3  7.3  3.519999-99.9-99.9-99.9-99.9-9.9 9911.3 83  8.6 -99-99.9-9.9-9.9
5285020141124 19.7  2.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.2 57  4.0 -99-99.9-9.9-9.9
5285020141125 23.2  2.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.9 62  5.3 -99-99.9-9.9-9.9
5285020141126 25.0  3.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.8 53  5.1 -99-99.9-9.9-9.9
5285020141127 23.6  7.8  0.819999-99.9-99.9-99.9-99.9-9.9 9910.8 63  7.9 -99-99.9-9.9-9.9
5285020141128 15.8  9.5  1.519999-99.9-99.9-99.9-99.9-9.9 9912.5 88 10.0 -99-99.9-9.9-9.9
5285020141129 19.1  1.0  0.219999-99.9-99.9-99.9-99.9-9.9 99 6.9 49  1.5 -99-99.9-9.9-9.9
5285020141130 22.7  1.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.6 56  4.7 -99-99.9-9.9-9.9
5285020141201 29.0  4.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.3 52  5.8 -99-99.9-9.9-9.9
5285020141202 31.1  4.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.4 42  4.1 -99-99.9-9.9-9.9
5285020141203 27.8  5.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.0 45  5.3 -99-99.9-9.9-9.9
5285020141204 30.5  8.0  0.009999-99.9-99.9-99.9-99.9-9.9 9910.2 47  7.1 -99-99.9-9.9-9.9
5285020141205 25.5  8.9  0.009999-99.9-99.9-99.9-99.9-9.9 9910.9 54  8.2 -99-99.9-9.9-9.9
5285020141206 23.0  8.1  0.009999-99.9-99.9-99.9-99.9-9.9 9910.2 50  7.1 -99-99.9-9.9-9.9
5285020141207 26.1 11.0  0.009999-99.9-99.9-99.9-99.9-9.9 9911.7 53  9.2 -99-99.9-9.9-9.9
5285020141208 29.2  5.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.1 48  5.4 -99-99.9-9.9-9.9
5285020141209 22.0  7.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.1 46  3.7 -99-99.9-9.9-9.9
5285020141210 25.7  1.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.8 46  1.3 -99-99.9-9.9-9.9
5285020141211 24.5  2.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.6 46  2.9 -99-99.9-9.9-9.9
5285020141212 26.0  2.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.9 52  5.3 -99-99.9-9.9-9.9
5285020141213 29.8  4.5  0.009999-99.9-99.9-99.9-99.9-9.9 9910.2 55  7.2 -99-99.9-9.9-9.9
5285020141214 29.8  9.4  1.219999-99.9-99.9-99.9-99.9-9.9 9913.1 66 10.9 -99-99.9-9.9-9.9
5285020141215 24.7  9.8  0.009999-99.9-99.9-99.9-99.9-9.9 9910.7 63  7.8 -99-99.9-9.9-9.9
5285020141216 25.3  6.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.9 51  6.8 -99-99.9-9.9-9.9
5285020141217 28.0  5.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.8 51  6.7 -99-99.9-9.9-9.9
5285020141218 22.7  6.7  2.519999-99.9-99.9-99.9-99.9-9.9 9910.5 63  7.7 -99-99.9-9.9-9.9
5285020141219 20.5  7.6  1.019999-99.9-99.9-99.9-99.9-9.9 99 9.6 73  6.0 -99-99.9-9.9-9.9
5285020141220 17.7  1.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.3 62  2.3 -99-99.9-9.9-9.9
5285020141221 19.6  3.4  0.219999-99.9-99.9-99.9-99.9-9.9 99 7.2 55  2.2 -99-99.9-9.9-9.9
5285020141222 21.4  1.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.7 55  3.3 -99-99.9-9.9-9.9
5285020141223 23.9  4.8  0.009999-99.9-99.9-99.9-99.9-9.9 9910.9 62  8.1 -99-99.9-9.9-9.9
5285020141224 24.7  8.3  0.009999-99.9-99.9-99.9-99.9-9.9 9910.0 53  6.7 -99-99.9-9.9-9.9
5285020141225 25.6  3.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.5 52  4.5 -99-99.9-9.9-9.9
5285020141226 25.5  9.2  0.009999-99.9-99.9-99.9-99.9-9.9 9912.2 59  9.8 -99-99.9-9.9-9.9
5285020141227 30.4  9.9  0.009999-99.9-99.9-99.9-99.9-9.9 9912.7 60 10.4 -99-99.9-9.9-9.9
5285020141228 22.3 13.9  0.009999-99.9-99.9-99.9-99.9-9.9 9915.6 71 13.6 -99-99.9-9.9-9.9
5285020141229 22.5 12.1  0.009999-99.9-99.9-99.9-99.9-9.9 9912.8 64 10.5 -99-99.9-9.9-9.9
5285020141230 16.8  7.6  1.519999-99.9-99.9-99.9-99.9-9.9 9912.6 89 10.3 -99-99.9-9.9-9.9
5285020141231 17.2  6.9  0.519999-99.9-99.9-99.9-99.9-9.9 99 9.5 55  6.0 -99-99.9-9.9-9.9
5285020150101 24.6  4.5  0.519999-99.9-99.9-99.9-99.9-9.9 99 9.6 58  6.3 -99-99.9-9.9-9.9
5285020150102 29.0  4.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.6 57  6.3 -99-99.9-9.9-9.9
5285020150103 30.3  7.1  0.009999-99.9-99.9-99.9-99.9-9.9 9910.3 49  7.3 -99-99.9-9.9-9.9
5285020150104 32.3  8.6  0.009999-99.9-99.9-99.9-99.9-9.9 9911.5 46  9.0 -99-99.9-9.9-9.9
5285020150105 26.0 12.8  0.009999-99.9-99.9-99.9-99.9-9.9 9910.6 47  7.4 -99-99.9-9.9-9.9
5285020150106 24.6  4.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.0 46  3.7 -99-99.9-9.9-9.9
5285020150107 29.4  3.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.5 44  2.7 -99-99.9-9.9-9.9
5285020150108 28.5  6.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.6 45  6.3 -99-99.9-9.9-9.9
5285020150109 27.8  8.0  0.009999-99.9-99.9-99.9-99.9-9.9 9910.3 52  7.2 -99-99.9-9.9-9.9
5285020150110 25.3  6.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.6 47  4.7 -99-99.9-9.9-9.9
5285020150111 24.2  6.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.3 48  4.3 -99-99.9-9.9-9.9
5285020150112 24.9  9.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.0 47  5.4 -99-99.9-9.9-9.9
5285020150113 27.7 10.4  0.009999-99.9-99.9-99.9-99.9-9.9 9911.4 56  8.9 -99-99.9-9.9-9.9
5285020150114 31.2  6.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.9 50  6.6 -99-99.9-9.9-9.9
5285020150115 34.3  7.6  0.009999-99.9-99.9-99.9-99.9-9.9 9910.2 44  7.1 -99-99.9-9.9-9.9
5285020150116 30.9 12.8  0.009999-99.9-99.9-99.9-99.9-9.9 9913.1 51 10.9 -99-99.9-9.9-9.9
5285020150117 31.6 13.6  0.009999-99.9-99.9-99.9-99.9-9.9 9914.8 56 12.7 -99-99.9-9.9-9.9
5285020150118 29.2 11.1  0.009999-99.9-99.9-99.9-99.9-9.9 9912.7 61 10.5 -99-99.9-9.9-9.9
5285020150119 30.8 10.0  0.009999-99.9-99.9-99.9-99.9-9.9 9911.8 51  9.2 -99-99.9-9.9-9.9
5285020150120 36.5  9.1  0.009999-99.9-99.9-99.9-99.9-9.9 9910.9 46  8.1 -99-99.9-9.9-9.9
5285020150121 36.9 11.1  0.009999-99.9-99.9-99.9-99.9-9.9 9911.8 41  9.3 -99-99.9-9.9-9.9
5285020150122 31.2 12.5  0.009999-99.9-99.9-99.9-99.9-9.9 9912.4 51  9.9 -99-99.9-9.9-9.9
5285020150123 31.5  8.2  0.009999-99.9-99.9-99.9-99.9-9.9 9911.4 48  8.8 -99-99.9-9.9-9.9
5285020150124 28.6 13.4  0.009999-99.9-99.9-99.9-99.9-9.9 9913.9 62 11.8 -99-99.9-9.9-9.9
5285020150125 29.0  8.9  0.009999-99.9-99.9-99.9-99.9-9.9 9912.2 56  9.8 -99-99.9-9.9-9.9
