5271420120316-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5271420120317 33.5 16.6  0.009999-99.9-99.9-99.9-99.9-9.9 9920.1 59 17.4 -99-99.9-9.9-9.9
5271420120318 35.6 17.6  0.009999-99.9-99.9-99.9-99.9-9.9 9921.8 65 18.8 -99-99.9-9.9-9.9
5271420120319 37.4 18.1  0.009999-99.9-99.9-99.9-99.9-9.9 9923.2 64 19.8 -99-99.9-9.9-9.9
5271420120320 34.0 19.4  2.519999-99.9-99.9-99.9-99.9-9.9 9922.8 69 19.6 -99-99.9-9.9-9.9
5271420120321 30.6 20.4  4.319999-99.9-99.9-99.9-99.9-9.9 9924.6 92 20.8 -99-99.9-9.9-9.9
5271420120322 25.0 20.1  8.719999-99.9-99.9-99.9-99.9-9.9 9924.1 91 20.5 -99-99.9-9.9-9.9
5271420120323 27.1 19.1  1.419999-99.9-99.9-99.9-99.9-9.9 9922.8 87 19.6 -99-99.9-9.9-9.9
5271420120324 27.6 18.9  0.009999-99.9-99.9-99.9-99.9-9.9 9921.8 74 18.8 -99-99.9-9.9-9.9
5271420120325 32.3 15.9  0.009999-99.9-99.9-99.9-99.9-9.9 9921.6 72 18.7 -99-99.9-9.9-9.9
5271420120326 29.1 17.1 34.119999-99.9-99.9-99.9-99.9-9.9 9920.4 75 17.7 -99-99.9-9.9-9.9
5271420120327 26.0 11.7  1.819999-99.9-99.9-99.9-99.9-9.9 9916.2 88 14.1 -99-99.9-9.9-9.9
5271420120328 26.2  8.0  0.009999-99.9-99.9-99.9-99.9-9.9 9914.7 72 12.5 -99-99.9-9.9-9.9
5271420120329 30.2 11.0  0.009999-99.9-99.9-99.9-99.9-9.9 9916.9 68 14.8 -99-99.9-9.9-9.9
5271420120330 30.4 14.6  0.009999-99.9-99.9-99.9-99.9-9.9 9919.2 68 16.8 -99-99.9-9.9-9.9
5271420120331 32.2 16.1  0.009999-99.9-99.9-99.9-99.9-9.9 9921.0 74 18.2 -99-99.9-9.9-9.9
5271420120401 33.7 17.0  0.009999-99.9-99.9-99.9-99.9-9.9 9922.0 67 18.9 -99-99.9-9.9-9.9
