5293720170817-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5293720170818-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5293720170819-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5293720170820-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5293720170821-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5293720170822-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5293720170823-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5293720170824-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5293720170825-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5293720170826-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5293720170827-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5293720170828-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5293720170829-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5293720170830-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5293720170831-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5293720170901-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5293720170902-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5293720170903-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5293720201113-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5293720201114 22.8 12.4  0.819999-99.9-99.9-99.9-99.9-9.9 9915.1 79 12.9 -99-99.9-9.9-9.9
5293720201115 32.0  6.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.6 35  6.2 -99-99.9-9.9-9.9
5293720201116 35.8  9.3  2.519999-99.9-99.9-99.9-99.9-9.9 9910.4 28  7.2 -99-99.9-9.9-9.9
5293720201117 24.2 14.8  0.219999-99.9-99.9-99.9-99.9-9.9 9913.9 68 11.8 -99-99.9-9.9-9.9
5293720201118 34.0  6.0  0.009999-99.9-99.9-99.9-99.9-9.9 9910.0 35  6.7 -99-99.9-9.9-9.9
5293720201119 35.0 10.7  2.019999-99.9-99.9-99.9-99.9-9.9 9911.2 35  8.5 -99-99.9-9.9-9.9
5293720201120 34.4 10.8  0.219999-99.9-99.9-99.9-99.9-9.9 9912.4 35 10.0 -99-99.9-9.9-9.9
5293720201121 33.8 11.3  0.009999-99.9-99.9-99.9-99.9-9.9 9912.8 38 10.5 -99-99.9-9.9-9.9
5293720201122 38.9 15.0  0.009999-99.9-99.9-99.9-99.9-9.9 9913.3 29 11.1 -99-99.9-9.9-9.9
5293720201123 40.2 24.2  0.009999-99.9-99.9-99.9-99.9-9.9 9912.9 25 10.7 -99-99.9-9.9-9.9
5293720201124 31.9 19.0  0.009999-99.9-99.9-99.9-99.9-9.9 9915.3 41 13.2 -99-99.9-9.9-9.9
5293720201125 34.3 16.2  0.009999-99.9-99.9-99.9-99.9-9.9 9913.6 35 11.3 -99-99.9-9.9-9.9
5293720201126 31.3 15.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.1 17 -2.8 -99-99.9-9.9-9.9
5293720201127 36.4 15.7  0.009999-99.9-99.9-99.9-99.9-9.9 9914.0 34 11.8 -99-99.9-9.9-9.9
5293720201128 38.9 18.0  0.009999-99.9-99.9-99.9-99.9-9.9 9912.9 28 10.5 -99-99.9-9.9-9.9
5293720201129 30.6 20.1  0.009999-99.9-99.9-99.9-99.9-9.9 9913.1 46 11.0 -99-99.9-9.9-9.9
5293720201130 34.6 13.5  0.009999-99.9-99.9-99.9-99.9-9.9 9912.4 34 10.2 -99-99.9-9.9-9.9
5293720201201 37.1 18.2 12.819999-99.9-99.9-99.9-99.9-9.9 9914.4 34 12.3 -99-99.9-9.9-9.9
5293720201202 32.3 14.8  0.009999-99.9-99.9-99.9-99.9-9.9 9912.5 42  9.4 -99-99.9-9.9-9.9
5293720201203 31.5 11.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.6 20  2.2 -99-99.9-9.9-9.9
5293720201204 31.7 10.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.2 24  1.7 -99-99.9-9.9-9.9
5293720201205 32.2 13.4  0.009999-99.9-99.9-99.9-99.9-9.9 9910.5 29  7.5 -99-99.9-9.9-9.9
5293720201206 35.5 10.0  0.009999-99.9-99.9-99.9-99.9-9.9 9910.0 27  7.0 -99-99.9-9.9-9.9
5293720201207 37.3 15.5  0.009999-99.9-99.9-99.9-99.9-9.9 9911.1 27  8.5 -99-99.9-9.9-9.9
5293720201208 39.9 15.9  0.009999-99.9-99.9-99.9-99.9-9.9 9911.4 24  8.8 -99-99.9-9.9-9.9
5293720201209 40.1 21.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.9 19  4.9 -99-99.9-9.9-9.9
5293720201210 45.8 18.2  0.009999-99.9-99.9-99.9-99.9-9.9 9911.2 21  8.4 -99-99.9-9.9-9.9
5293720201211 33.5 17.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.1 18 -0.2 -99-99.9-9.9-9.9
5293720201212 41.9 12.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.9 15  1.4 -99-99.9-9.9-9.9
5293720201213 33.7 14.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.3 24  2.1 -99-99.9-9.9-9.9
5293720201214 37.8 12.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.0 26  3.1 -99-99.9-9.9-9.9
5293720201215 32.7 17.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.5 17 -1.6 -99-99.9-9.9-9.9
5293720201216 39.0 10.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.8 17  2.7 -99-99.9-9.9-9.9
5293720201217 40.8 22.2  0.009999-99.9-99.9-99.9-99.9-9.9 9912.2 26  9.9 -99-99.9-9.9-9.9
5293720201218 39.8 16.1  1.519999-99.9-99.9-99.9-99.9-9.9 9913.7 39 11.5 -99-99.9-9.9-9.9
5293720201219 31.1  6.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.7 24  4.6 -99-99.9-9.9-9.9
5293720201220 32.9 12.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.4 27  4.3 -99-99.9-9.9-9.9
