5270820140702-99.9-99.9 12.219999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5270820140703-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9 -99-99.9-9.9-9.9
5270820140704-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9 -99-99.9-9.9-9.9
5270820140705-99.9-99.9  0.819999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9 -99-99.9-9.9-9.9
5270820140706-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9 -99-99.9-9.9-9.9
5270820140707-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5270820141120-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5270820141126-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5270820141127-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5270820150206-99.9-99.9 14.519999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5270820150207-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5270820150602-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5270820150603 21.6  8.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.9 41  1.4 -99-99.9-9.9-9.9
5270820150604 15.4 -0.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.1 69  3.7 -99-99.9-9.9-9.9
5270820150605 21.7 12.8  0.219999-99.9-99.9-99.9-99.9-9.9 9910.0 52  6.7 -99-99.9-9.9-9.9
5270820150606 18.5 10.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.8 51  3.4 -99-99.9-9.9-9.9
5270820150607 17.4  3.7  1.519999-99.9-99.9-99.9-99.9-9.9 99 7.0 63  1.8 -99-99.9-9.9-9.9
5270820150608  9.7  0.5  3.019999-99.9-99.9-99.9-99.9-9.9 9910.2 99  7.2 -99-99.9-9.9-9.9
5270820150609 14.7  3.1  0.219999-99.9-99.9-99.9-99.9-9.9 99 8.0 66  3.4 -99-99.9-9.9-9.9
5270820150610 14.4 -3.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.7 60 -0.9 -99-99.9-9.9-9.9
5270820150611 14.8 -1.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.5 63 -1.6 -99-99.9-9.9-9.9
5270820150612 16.6 -5.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.3 71 -2.0 -99-99.9-9.9-9.9
5270820150613 15.0 -6.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.5 66 -1.6 -99-99.9-9.9-9.9
5270820150614 13.2  1.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.3 55 -2.0 -99-99.9-9.9-9.9
5270820150615 19.1  2.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.7 47  1.2 -99-99.9-9.9-9.9
5270820150616 19.1  7.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.5 58  2.7 -99-99.9-9.9-9.9
5270820150617 11.2 -1.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.0 53 -5.9 -99-99.9-9.9-9.9
5270820150618 13.9 -9.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 3.7 59 -6.7 -99-99.9-9.9-9.9
5270820150619 12.6 -1.1  1.819999-99.9-99.9-99.9-99.9-9.9 99 5.6 51 -1.5 -99-99.9-9.9-9.9
5270820150620 16.8  2.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.1 74  3.8 -99-99.9-9.9-9.9
5270820150621 15.4 -1.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.7 58 -1.3 -99-99.9-9.9-9.9
5270820150622 11.4 -5.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 3.5 59 -7.3 -99-99.9-9.9-9.9
5270820150623 12.3-11.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 3.5 55 -7.7 -99-99.9-9.9-9.9
5270820150624 14.3  3.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.7 55 -1.0 -99-99.9-9.9-9.9
5270820150625 15.5 -1.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.7 77  3.0 -99-99.9-9.9-9.9
5270820150626 22.1  0.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.8 68  3.4 -99-99.9-9.9-9.9
5270820150627 16.7  1.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.1 77  3.8 -99-99.9-9.9-9.9
5270820150628 16.0 -3.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.9 63 -0.6 -99-99.9-9.9-9.9
5270820150629 22.7 -0.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.8 62  1.4 -99-99.9-9.9-9.9
