5280220061029-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5280220061103-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5280220061104-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5280220180208-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 79-99.9 -99-99.9-9.9-9.9
5280220180209 28.6 20.4 11.819999-99.9-99.9-99.9-99.9-9.9 9919.3 73 16.5   2  1.3-9.9-9.9
5280220180210 31.7 19.4 10.519999-99.9-99.9-99.9-99.9-9.9 9923.3 77 18.6   2  1.6-9.9-9.9
5280220180211 24.2 15.1  0.009999-99.9-99.9-99.9-99.9-9.9 9914.7 67 12.1   4  3.2-9.9-9.9
5280220180212 24.6  9.5  0.219999-99.9-99.9-99.9-99.9-9.9 9913.1 69  9.6   1  1.0-9.9-9.9
5280220180213 28.8 10.2  0.009999-99.9-99.9-99.9-99.9-9.9 9916.4 73 12.1   1  0.7-9.9-9.9
5280220180214 32.0 12.1  0.009999-99.9-99.9-99.9-99.9-9.9 9920.5 77 15.2   1  0.7-9.9-9.9
5280220180215 32.7 14.8  0.009999-99.9-99.9-99.9-99.9-9.9 9922.5 78 17.2   2  1.4-9.9-9.9
5280220180216 34.4 17.9  0.009999-99.9-99.9-99.9-99.9-9.9 9925.0 77 19.0   1  1.1-9.9-9.9
5280220180217 35.5 17.4  0.009999-99.9-99.9-99.9-99.9-9.9 9925.9 68 19.3   1  0.6-9.9-9.9
5280220180218 36.2 18.4  0.519999-99.9-99.9-99.9-99.9-9.9 9927.4 77 20.2   1  0.5-9.9-9.9
5280220180219 30.5 19.6  0.219999-99.9-99.9-99.9-99.9-9.9 9920.5 66 17.1   1  0.9-9.9-9.9
5280220180220 29.1 18.6  0.009999-99.9-99.9-99.9-99.9-9.9 9920.1 68 16.9   2  1.5-9.9-9.9
5280220180221 28.8 17.1  0.009999-99.9-99.9-99.9-99.9-9.9 9918.3 76 15.1   2  1.9-9.9-9.9
5280220180222 29.2 14.8  0.009999-99.9-99.9-99.9-99.9-9.9 9917.4 72 14.0   1  0.8-9.9-9.9
5280220180223 29.8 12.6  0.009999-99.9-99.9-99.9-99.9-9.9 9918.1 68 14.5   1  1.1-9.9-9.9
5280220180224 27.1 17.5  0.009999-99.9-99.9-99.9-99.9-9.9 9918.6 68 15.9   3  2.5-9.9-9.9
