5289120121211-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289120121212 39.6 24.9 40.519999-99.9-99.9-99.9-99.9-9.9 9926.8 53 22.2 -99-99.9-9.9-9.9
5289120121213 31.1 21.8  0.009999-99.9-99.9-99.9-99.9-9.9 9926.5 85 22.0 -99-99.9-9.9-9.9
5289120121214 34.1 18.8  0.009999-99.9-99.9-99.9-99.9-9.9 9923.4 61 20.0 -99-99.9-9.9-9.9
5289120121215 36.2 20.8  0.009999-99.9-99.9-99.9-99.9-9.9 9925.6 65 21.5 -99-99.9-9.9-9.9
5289120121216 37.4 22.4  0.819999-99.9-99.9-99.9-99.9-9.9 9927.3 65 22.5 -99-99.9-9.9-9.9
5289120121217 38.5 22.8  0.009999-99.9-99.9-99.9-99.9-9.9 9926.1 53 21.7 -99-99.9-9.9-9.9
5289120121218 36.5 26.5  0.009999-99.9-99.9-99.9-99.9-9.9 9928.6 59 23.3 -99-99.9-9.9-9.9
5289120121219 36.6 28.1  0.009999-99.9-99.9-99.9-99.9-9.9 9927.7 55 22.8 -99-99.9-9.9-9.9
5289120121220 34.7 22.9 49.519999-99.9-99.9-99.9-99.9-9.9 9925.0 68 21.1 -99-99.9-9.9-9.9
5289120121221 24.6 19.6  6.219999-99.9-99.9-99.9-99.9-9.9 9924.9 97 21.0 -99-99.9-9.9-9.9
5289120121222 32.3 19.0  0.009999-99.9-99.9-99.9-99.9-9.9 9924.0 69 20.4 -99-99.9-9.9-9.9
5289120121223 37.0 23.1  0.009999-99.9-99.9-99.9-99.9-9.9 9928.8 59 23.4 -99-99.9-9.9-9.9
5289120121224 38.3 27.7  0.009999-99.9-99.9-99.9-99.9-9.9 9928.1 51 23.0 -99-99.9-9.9-9.9
5289120121225 39.3 27.3  0.009999-99.9-99.9-99.9-99.9-9.9 9926.0 48 21.7 -99-99.9-9.9-9.9
5289120121226 34.1 18.0 23.819999-99.9-99.9-99.9-99.9-9.9 9920.6 82 17.7 -99-99.9-9.9-9.9
5289120121227 20.4 15.0  4.019999-99.9-99.9-99.9-99.9-9.9 9919.5 97 17.0 -99-99.9-9.9-9.9
5289120121228 26.0 16.3  0.009999-99.9-99.9-99.9-99.9-9.9 9920.2 84 17.6 -99-99.9-9.9-9.9
5289120121229 30.9 20.2  0.009999-99.9-99.9-99.9-99.9-9.9 9923.9 74 20.3 -99-99.9-9.9-9.9
5289120121230 33.3 20.7  0.009999-99.9-99.9-99.9-99.9-9.9 9927.9 74 22.9 -99-99.9-9.9-9.9
5289120121231 36.0 23.6 33.219999-99.9-99.9-99.9-99.9-9.9 9928.9 67 23.4 -99-99.9-9.9-9.9
5289120130101 30.0 18.8  0.009999-99.9-99.9-99.9-99.9-9.9 9920.2 73 17.2 -99-99.9-9.9-9.9
5289120130102 28.4 12.4  0.009999-99.9-99.9-99.9-99.9-9.9 9915.7 57 13.7 -99-99.9-9.9-9.9
5289120130103 31.9 13.5  0.009999-99.9-99.9-99.9-99.9-9.9 9920.2 66 17.5 -99-99.9-9.9-9.9
5289120130104 36.2 21.1  0.009999-99.9-99.9-99.9-99.9-9.9 9928.3 62 23.1 -99-99.9-9.9-9.9
5289120130105 38.9 20.3 11.519999-99.9-99.9-99.9-99.9-9.9 9926.9 68 22.2 -99-99.9-9.9-9.9
5289120130106 31.7 21.5 62.519999-99.9-99.9-99.9-99.9-9.9 9926.4 75 21.9 -99-99.9-9.9-9.9
5289120130107 32.4 21.8  7.819999-99.9-99.9-99.9-99.9-9.9 9929.7 89 23.9 -99-99.9-9.9-9.9
5289120130108 33.9 22.2  0.009999-99.9-99.9-99.9-99.9-9.9 9928.4 68 23.2 -99-99.9-9.9-9.9
5289120130109 34.2 23.8  0.009999-99.9-99.9-99.9-99.9-9.9 9927.2 65 22.4 -99-99.9-9.9-9.9
