5285220210507-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285220210508 15.6 -1.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.7 79  3.1   0  0.0-9.9-9.9
5285220210509 13.0  1.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.4 62  0.5   0  0.0-9.9-9.9
5285220210510 12.0 -6.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.6 84 -1.6   0  0.0-9.9-9.9
5285220210511  9.1 -7.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.7 91 -1.2   0  0.0-9.9-9.9
5285220210512 19.7 -2.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.9 72  5.0   0  0.0-9.9-9.9
5285220210513 17.4  0.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.7 87  4.7   0  0.0-9.9-9.9
5285220210514 14.7 -0.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.4 77  4.2   0  0.0-9.9-9.9
5285220210515 14.7 -2.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.4 86  2.3   0  0.0-9.9-9.9
5285220210516  9.6 -4.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.2 96 -0.1   0  0.0-9.9-9.9
5285220210517 12.7 -3.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.1 88  1.9   0  0.0-9.9-9.9
5285220210518 12.5 -1.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.6 89  2.8   0  0.0-9.9-9.9
5285220210519 12.7 -0.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.0 95  3.5   0  0.0-9.9-9.9
5285220210520 12.8  0.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.5 93  4.3   0  0.0-9.9-9.9
5285220210521 10.8 -2.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.5 94  2.5   0  0.0-9.9-9.9
5285220210522 15.6 -2.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.7 76  2.9   0  0.0-9.9-9.9
5285220210523 15.1  4.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.6 90  6.3   0  0.0-9.9-9.9
5285220210524 14.9  7.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.8 74  3.2   0  0.0-9.9-9.9
5285220210525 13.0  4.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.2 68  2.1   0  0.0-9.9-9.9
5285220210526 16.8  2.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.1 68  5.4   0  0.0-9.9-9.9
5285220210527 14.0  3.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.4 91  5.9   0  0.0-9.9-9.9
5285220210528 11.5  2.2 14.819999-99.9-99.9-99.9-99.9-9.9 99 6.5 61  0.4   5  3.6-9.9-9.9
5285220210529  9.7  3.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.2 56  0.2  10  7.8-9.9-9.9
5285220210530 14.7  5.0-99.999999-99.9-99.9-99.9-99.9-9.9 99 9.4 78  6.0   8  6.5-9.9-9.9
5285220210531-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285220210601 17.2  8.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.9 43  1.4  11  8.8-9.9-9.9
5285220210602  9.1  0.7 18.819999-99.9-99.9-99.9-99.9-9.9 99 7.4 99  2.7   1  1.0-9.9-9.9
5285220210603  6.8  2.6-99.999999-99.9-99.9-99.9-99.9-9.9 99 8.4100  4.3   2  1.3-9.9-9.9
5285220210604-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285220210605-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285220210606  9.0 -2.0  0.219999-99.9-99.9-99.9-99.9-9.9 99 7.4 91  2.5   1  0.8-9.9-9.9
5285220210607 14.5  4.1 22.819999-99.9-99.9-99.9-99.9-9.9 9910.0 87  6.9   2  1.7-9.9-9.9
5285220210608 12.3  4.6 15.219999-99.9-99.9-99.9-99.9-9.9 9910.2 95  7.2   4  3.2-9.9-9.9
5285220210609-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99 8.2100  4.1 -99-99.9-9.9-9.9
5285220210610-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285220210611-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285220210613-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285220210614  6.6 -4.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.6 95 -1.4   1  0.5-9.9-9.9
5285220210615  5.1 -7.8  0.219999-99.9-99.9-99.9-99.9-9.9 99 4.9 93 -3.3   0  0.3-9.9-9.9
5285220210616  6.8 -6.9  0.219999-99.9-99.9-99.9-99.9-9.9 99 4.9 89 -3.0   1  0.5-9.9-9.9
5285220210617  5.7 -8.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.1 92 -2.8   1  0.5-9.9-9.9
5285220210618  5.9 -6.9  0.219999-99.9-99.9-99.9-99.9-9.9 99 5.3 96 -2.2   0  0.3-9.9-9.9
5285220210619  5.1 -7.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.2 95 -2.7   1  0.5-9.9-9.9
5285220210620  7.1 -7.2  0.219999-99.9-99.9-99.9-99.9-9.9 99 5.4 91 -2.0   0  0.3-9.9-9.9
5285220210621 11.6 -1.6  0.519999-99.9-99.9-99.9-99.9-9.9 99 6.7 80  1.0   3  2.1-9.9-9.9
5285220210622  6.7 -0.3  6.019999-99.9-99.9-99.9-99.9-9.9 99 6.9100  1.7   0  0.1-9.9-9.9
5285220210623  8.1  1.8  2.019999-99.9-99.9-99.9-99.9-9.9 99 7.9 96  3.5   1  1.0-9.9-9.9
5285220210624 11.2  2.6  2.219999-99.9-99.9-99.9-99.9-9.9 99 7.1 61  2.0  12  9.8-9.9-9.9
5285220210625  9.3  0.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.0 63 -0.2   6  5.1-9.9-9.9
5285220210626  8.0 -5.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.5 90 -1.6   1  0.8-9.9-9.9
5285220210627 -0.1 -6.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.2 99 -2.4   2  1.3-9.9-9.9
5285220210628 -1.7 -3.5-99.999999-99.9-99.9-99.9-99.9-9.9 99 4.9100 -3.1   3  2.4-9.9-9.9
5285220210629-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285220210701-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285220210702 13.9  5.2  0.519999-99.9-99.9-99.9-99.9-9.9 99 7.8 60  3.3  19 15.5-9.9-9.9
5285220210703 15.1 10.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.0 51  3.7  13 10.4-9.9-9.9
5285220210704 16.0 -0.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.6 82  2.9   1  1.2-9.9-9.9
5285220210705  8.9 -4.2  0.219999-99.9-99.9-99.9-99.9-9.9 99 6.2 93 -0.1   1  0.6-9.9-9.9
5285220210706 12.1 -1.7  2.019999-99.9-99.9-99.9-99.9-9.9 99 8.4 97  4.1   3  2.2-9.9-9.9
5285220210707 11.9  4.7  0.819999-99.9-99.9-99.9-99.9-9.9 99 8.6 84  4.6   6  4.7-9.9-9.9
5285220210708  9.2 -1.6 26.219999-99.9-99.9-99.9-99.9-9.9 99 6.4100  0.7   1  0.6-9.9-9.9
5285220210709  7.5 -0.1-99.999999-99.9-99.9-99.9-99.9-9.9 99 7.6100  3.0 -99-99.9-9.9-9.9
5285220210710-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285220210711 12.7  7.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.0 53  1.7   9  7.6-9.9-9.9
5285220210712 11.8 -0.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.7 67 -1.0   5  4.2-9.9-9.9
5285220210713  7.0 -2.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.4 92  0.5   1  0.9-9.9-9.9
5285220210714 12.2 -1.9  0.219999-99.9-99.9-99.9-99.9-9.9 99 6.2 69  0.3   7  5.9-9.9-9.9
5285220210715 12.1 -0.4  1.819999-99.9-99.9-99.9-99.9-9.9 99 6.5 67  0.8   8  6.6-9.9-9.9
5285220210716  9.4  0.0  0.219999-99.9-99.9-99.9-99.9-9.9 99 6.4 71  0.6   6  5.1-9.9-9.9
5285220210717 10.7 -2.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.9 78 -0.5   3  2.6-9.9-9.9
