5291020130824-99.9-99.9 28.819999-99.9-99.9-99.9-99.9-9.9 9910.7100  7.9 -99-99.9-9.9-9.9
5291020131012 20.3 16.9 13.519999-99.9-99.9-99.9-99.9-9.9 9920.6 99 17.9 -99-99.9-9.9-9.9
5291020131013 27.1 16.8  1.519999-99.9-99.9-99.9-99.9-9.9 9922.2 81 19.1 -99-99.9-9.9-9.9
5291020131014 28.4 19.2  0.009999-99.9-99.9-99.9-99.9-9.9 9922.3 72 19.2 -99-99.9-9.9-9.9
5291020131015 27.1 17.5  1.019999-99.9-99.9-99.9-99.9-9.9 9918.6 72 16.3 -99-99.9-9.9-9.9
5291020131016 26.4 16.3  0.219999-99.9-99.9-99.9-99.9-9.9 9918.2 77 16.0 -99-99.9-9.9-9.9
5291020131017 28.0 15.8  0.009999-99.9-99.9-99.9-99.9-9.9 9918.7 72 16.4 -99-99.9-9.9-9.9
5291020131018 28.0 14.8  0.009999-99.9-99.9-99.9-99.9-9.9 9916.4 62 14.4 -99-99.9-9.9-9.9
5291020131019 29.9 17.1  0.009999-99.9-99.9-99.9-99.9-9.9 9914.9 49 12.9 -99-99.9-9.9-9.9
5291020131020 32.2 18.6  0.009999-99.9-99.9-99.9-99.9-9.9 9914.1 38 12.0 -99-99.9-9.9-9.9
5291020131021 26.9 16.6 11.019999-99.9-99.9-99.9-99.9-9.9 9919.5 95 17.1 -99-99.9-9.9-9.9
5291020131022 28.4 15.7  0.519999-99.9-99.9-99.9-99.9-9.9 9921.6 79 18.7 -99-99.9-9.9-9.9
5291020131023 32.3 22.7 13.019999-99.9-99.9-99.9-99.9-9.9 9926.1 77 21.7 -99-99.9-9.9-9.9
5291020131024 26.5 18.3  0.219999-99.9-99.9-99.9-99.9-9.9 9922.5100 19.4 -99-99.9-9.9-9.9
5291020131025 26.6 16.6  0.519999-99.9-99.9-99.9-99.9-9.9 9923.1 88 19.8 -99-99.9-9.9-9.9
5291020131026 28.0 19.3  1.019999-99.9-99.9-99.9-99.9-9.9 9923.2 84 19.8 -99-99.9-9.9-9.9
5291020131027 23.8 15.5  0.009999-99.9-99.9-99.9-99.9-9.9 9916.0 65 13.8 -99-99.9-9.9-9.9
5291020131028 26.0 12.0  0.009999-99.9-99.9-99.9-99.9-9.9 9912.2 52  9.8 -99-99.9-9.9-9.9
5291020131029 29.2 13.7  0.009999-99.9-99.9-99.9-99.9-9.9 9916.9 63 14.5 -99-99.9-9.9-9.9
