5293320061107-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5293320061109-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5293320140319-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5293320140320 34.0  7.5  0.009999-99.9-99.9-99.9-99.9-9.9 9910.0 41  6.6 -99-99.9-9.9-9.9
5293320140321 27.6  7.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.2 50  1.8 -99-99.9-9.9-9.9
5293320140322 27.7  3.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.8 50  5.0 -99-99.9-9.9-9.9
5293320140323 30.8  6.5  0.009999-99.9-99.9-99.9-99.9-9.9 9911.1 58  8.3 -99-99.9-9.9-9.9
5293320140324 25.9  8.6  0.009999-99.9-99.9-99.9-99.9-9.9 9910.6 44  7.7 -99-99.9-9.9-9.9
5293320140325 22.3  7.0  0.009999-99.9-99.9-99.9-99.9-9.9 9912.5 69 10.2 -99-99.9-9.9-9.9
5293320140326 24.9 12.9  0.009999-99.9-99.9-99.9-99.9-9.9 9915.9 77 13.9 -99-99.9-9.9-9.9
5293320140327 29.0 10.8  0.219999-99.9-99.9-99.9-99.9-9.9 9914.9 68 12.9 -99-99.9-9.9-9.9
5293320140328 31.1 10.2  0.009999-99.9-99.9-99.9-99.9-9.9 9914.1 58 12.0 -99-99.9-9.9-9.9
5293320140329 30.2 13.0  0.009999-99.9-99.9-99.9-99.9-9.9 9916.5 58 14.4 -99-99.9-9.9-9.9
5293320140330 24.2  6.2  0.009999-99.9-99.9-99.9-99.9-9.9 9910.7 77  7.9 -99-99.9-9.9-9.9
5293320140331 24.7  2.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.1 55  5.3 -99-99.9-9.9-9.9
5293320140401 18.1 11.7  3.219999-99.9-99.9-99.9-99.9-9.9 9912.6 84 10.3 -99-99.9-9.9-9.9
5293320140402 18.7 11.3  0.009999-99.9-99.9-99.9-99.9-9.9 9915.4 97 13.3 -99-99.9-9.9-9.9
5293320140403 23.1 13.5  0.009999-99.9-99.9-99.9-99.9-9.9 9917.6 88 15.5 -99-99.9-9.9-9.9
5293320140404 24.4 12.0  0.009999-99.9-99.9-99.9-99.9-9.9 9917.4 84 15.3 -99-99.9-9.9-9.9
5293320140405 24.6 15.7  0.009999-99.9-99.9-99.9-99.9-9.9 9920.4 88 17.9 -99-99.9-9.9-9.9
5293320140406 20.5 16.1  0.009999-99.9-99.9-99.9-99.9-9.9 9919.7 98 17.3 -99-99.9-9.9-9.9
5293320140407 22.8 12.3  0.009999-99.9-99.9-99.9-99.9-9.9 9913.8 79 11.3 -99-99.9-9.9-9.9
5293320140408 28.2  4.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.0 48  5.3 -99-99.9-9.9-9.9
5293320140409 23.8  5.9  0.009999-99.9-99.9-99.9-99.9-9.9 9910.9 67  8.1 -99-99.9-9.9-9.9
5293320140410 19.0  8.5  0.009999-99.9-99.9-99.9-99.9-9.9 9910.8 77  8.0 -99-99.9-9.9-9.9
5293320140411 24.1  3.1  0.009999-99.9-99.9-99.9-99.9-9.9 9911.1 77  8.1 -99-99.9-9.9-9.9
5293320140412 16.8  3.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.3 58  2.3 -99-99.9-9.9-9.9
5293320140413 18.6 -0.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.5 57  0.7 -99-99.9-9.9-9.9
5293320140414 25.0  2.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.3 65  4.2 -99-99.9-9.9-9.9
5293320140415 27.4  3.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.7 58  6.5 -99-99.9-9.9-9.9
5293320140416 20.0  6.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.2 65  5.7 -99-99.9-9.9-9.9
5293320140417 18.6  3.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.5 70  2.6 -99-99.9-9.9-9.9
5293320140418 24.3  1.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.7 72  4.8 -99-99.9-9.9-9.9
5293320140419 19.3  2.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.8 66  3.3 -99-99.9-9.9-9.9
5293320140420 24.2  2.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.8 64  6.4 -99-99.9-9.9-9.9
5293320140421 21.8  6.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.8 71  6.6 -99-99.9-9.9-9.9
5293320140422 25.2  4.2  0.009999-99.9-99.9-99.9-99.9-9.9 9911.2 75  8.4 -99-99.9-9.9-9.9
5293320140423 24.6  9.7  0.009999-99.9-99.9-99.9-99.9-9.9 9915.3 74 13.2 -99-99.9-9.9-9.9
5293320140424 25.5 11.1  0.009999-99.9-99.9-99.9-99.9-9.9 9915.2 79 13.2 -99-99.9-9.9-9.9
5293320140425 25.8 12.9  0.009999-99.9-99.9-99.9-99.9-9.9 9915.2 75 13.2 -99-99.9-9.9-9.9
5293320140426 24.8 11.3  0.009999-99.9-99.9-99.9-99.9-9.9 9913.5 72 11.5 -99-99.9-9.9-9.9
5293320140427 18.1  8.8  0.009999-99.9-99.9-99.9-99.9-9.9 9910.1 63  7.0 -99-99.9-9.9-9.9
5293320140428 14.7  5.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.4 60  4.3 -99-99.9-9.9-9.9
5293320140429 14.7  6.6  0.009999-99.9-99.9-99.9-99.9-9.9 9911.6 87  9.0 -99-99.9-9.9-9.9
5293320140430 22.0  8.7  0.009999-99.9-99.9-99.9-99.9-9.9 9911.1 70  8.4 -99-99.9-9.9-9.9
