5284920061110-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5284920061111  9.7  0.8-99.999999-99.9-99.9-99.9-99.9-9.9 99 7.3 87  2.4 -99-99.9-9.9-9.9
5284920061112  8.8  3.6-99.999999-99.9-99.9-99.9-99.9-9.9 99 7.4 80  2.7 -99-99.9-9.9-9.9
5284920061113 10.7  0.0-99.999999-99.9-99.9-99.9-99.9-9.9 99 7.2 75  2.2 -99-99.9-9.9-9.9
5284920061114  8.2 -2.6-99.999999-99.9-99.9-99.9-99.9-9.9 99 5.4 71 -2.2 -99-99.9-9.9-9.9
5284920061115  2.6 -9.8-99.999999-99.9-99.9-99.9-99.9-9.9 99 3.1 65 -9.0 -99-99.9-9.9-9.9
5284920061116  4.6 -4.0-99.999999-99.9-99.9-99.9-99.9-9.9 99 4.0 67 -5.9 -99-99.9-9.9-9.9
5284920061117  5.8 -1.1-99.999999-99.9-99.9-99.9-99.9-9.9 99 4.9 74 -2.9 -99-99.9-9.9-9.9
5284920061118  8.9 -3.9-99.999999-99.9-99.9-99.9-99.9-9.9 99 5.5 74 -1.5 -99-99.9-9.9-9.9
5284920061119-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5284920110528-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5284920110529 12.8 -1.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.4 76  0.5 -99-99.9-9.9-9.9
5284920110530  9.2 -2.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.6 90  0.9 -99-99.9-9.9-9.9
5284920110531  9.6  0.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.5 94  2.8 -99-99.9-9.9-9.9
5284920110601  9.6 -1.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.7 97  3.1 -99-99.9-9.9-9.9
5284920110602 13.3  2.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.6 94  4.7 -99-99.9-9.9-9.9
5284920110603 12.6 -1.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.1 86  1.9 -99-99.9-9.9-9.9
5284920110604 10.2  3.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.1 87  4.0 -99-99.9-9.9-9.9
5284920110605  7.1  3.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.6 99  4.7 -99-99.9-9.9-9.9
5284920110606  9.5  3.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.7 88  4.9 -99-99.9-9.9-9.9
5284920110607  9.3  4.7 31.019999-99.9-99.9-99.9-99.9-9.9 99 8.9 98  5.3 -99-99.9-9.9-9.9
5284920110608  8.3  3.6  0.919999-99.9-99.9-99.9-99.9-9.9 99 8.4 91  4.5 -99-99.9-9.9-9.9
5284920110609 10.9  5.7 32.419999-99.9-99.9-99.9-99.9-9.9 9910.2 91  7.1 -99-99.9-9.9-9.9
5284920110610 10.7  6.5 13.119999-99.9-99.9-99.9-99.9-9.9 99 9.8 90  6.5 -99-99.9-9.9-9.9
5284920110611  7.7  4.1  2.119999-99.9-99.9-99.9-99.9-9.9 99 7.3 75  2.3 -99-99.9-9.9-9.9
5284920110612  8.7  3.7  2.419999-99.9-99.9-99.9-99.9-9.9 99 7.4 75  2.6 -99-99.9-9.9-9.9
5284920110613  5.4 -2.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.9 86 -0.5 -99-99.9-9.9-9.9
5284920110614  9.8  0.6  0.319999-99.9-99.9-99.9-99.9-9.9 99 7.5 85  2.7 -99-99.9-9.9-9.9
5284920110615  7.2  5.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.1 85  3.9 -99-99.9-9.9-9.9
5284920110616  8.5  4.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.1 88  3.9 -99-99.9-9.9-9.9
5284920110617 10.2  2.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.0 72  1.9 -99-99.9-9.9-9.9
5284920110618  8.0  5.1  0.919999-99.9-99.9-99.9-99.9-9.9 99 7.4 81  2.6 -99-99.9-9.9-9.9
5284920110619  9.1  1.9  1.819999-99.9-99.9-99.9-99.9-9.9 99 7.5 90  2.9 -99-99.9-9.9-9.9
5284920110620  9.8 -0.2  0.619999-99.9-99.9-99.9-99.9-9.9 99 7.5 88  2.8 -99-99.9-9.9-9.9
5284920110621  9.2  0.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.6 94  2.9 -99-99.9-9.9-9.9
5284920110622  7.5 -0.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.5 90  2.8 -99-99.9-9.9-9.9
5284920110623  9.7  3.6  1.519999-99.9-99.9-99.9-99.9-9.9 99 7.7 84  3.1 -99-99.9-9.9-9.9
5284920110624  6.2 -1.1  0.319999-99.9-99.9-99.9-99.9-9.9 99 4.8 66 -3.4 -99-99.9-9.9-9.9
5284920110625  4.4 -5.9  1.219999-99.9-99.9-99.9-99.9-9.9 99 4.6 84 -4.1 -99-99.9-9.9-9.9
5284920110626  7.7 -3.3  0.319999-99.9-99.9-99.9-99.9-9.9 99 6.3 90  0.3 -99-99.9-9.9-9.9
5284920110627 11.2  0.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.4 85  6.1 -99-99.9-9.9-9.9
5284920110628 11.3  5.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.1 88  5.6 -99-99.9-9.9-9.9
5284920110629  6.0 -0.2  3.319999-99.9-99.9-99.9-99.9-9.9 99 6.6 78  1.0 -99-99.9-9.9-9.9
5284920110630  5.6  0.0  0.319999-99.9-99.9-99.9-99.9-9.9 99 5.8 80 -0.8 -99-99.9-9.9-9.9
5284920110701  7.4  0.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.7 74 -1.1 -99-99.9-9.9-9.9
5284920110702  6.8 -6.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.4 78 -4.5 -99-99.9-9.9-9.9
5284920110703  6.4 -7.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.2 79 -5.1 -99-99.9-9.9-9.9
5284920110704 10.0 -8.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.6 81 -4.0 -99-99.9-9.9-9.9
5284920110705  5.3 -6.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.9 89 -3.2 -99-99.9-9.9-9.9
5284920110706 12.5 -5.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.9 83  0.9 -99-99.9-9.9-9.9
5284920110707 13.6  6.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.8 89  6.6 -99-99.9-9.9-9.9
5284920110708 14.0 -1.0  0.319999-99.9-99.9-99.9-99.9-9.9 99 8.1 87  3.8 -99-99.9-9.9-9.9
5284920110709 11.1  3.7 22.019999-99.9-99.9-99.9-99.9-9.9 99 9.4 95  6.0 -99-99.9-9.9-9.9
