5289320060507-99.9-99.9  3.819999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289320060508 30.5 21.6  2.019999-99.9-99.9-99.9-99.9-9.9 9928.3 91 23.1 -99-99.9-9.9-9.9
5289320060509 35.5 23.0  0.009999-99.9-99.9-99.9-99.9-9.9 9930.0 80 24.1 -99-99.9-9.9-9.9
5289320060510 37.2 23.9  0.219999-99.9-99.9-99.9-99.9-9.9 9931.7 67 25.0 -99-99.9-9.9-9.9
5289320060511 29.3 22.7  3.219999-99.9-99.9-99.9-99.9-9.9 9930.4100 24.2 -99-99.9-9.9-9.9
5289320060512 30.9 21.5  0.219999-99.9-99.9-99.9-99.9-9.9 9928.7 82 23.3 -99-99.9-9.9-9.9
5289320060513 40.0 24.1  8.019999-99.9-99.9-99.9-99.9-9.9 9932.2 76 25.3 -99-99.9-9.9-9.9
5289320060514 33.9 24.6  1.519999-99.9-99.9-99.9-99.9-9.9 9931.7 85 25.0 -99-99.9-9.9-9.9
5289320060515 27.7 23.8  4.519999-99.9-99.9-99.9-99.9-9.9 9931.5 98 24.9 -99-99.9-9.9-9.9
5289320060516 34.9 23.6  0.009999-99.9-99.9-99.9-99.9-9.9 9931.3 79 24.8 -99-99.9-9.9-9.9
5289320060517 37.7 24.9  0.009999-99.9-99.9-99.9-99.9-9.9 9932.3 67 25.3 -99-99.9-9.9-9.9
5289320060518 39.5 26.3  0.009999-99.9-99.9-99.9-99.9-9.9 9931.6 65 24.9 -99-99.9-9.9-9.9
5289320060519 39.3 24.9  0.009999-99.9-99.9-99.9-99.9-9.9 9929.9 65 23.9 -99-99.9-9.9-9.9
5289320060520 32.5 21.8  1.519999-99.9-99.9-99.9-99.9-9.9 9923.5 60 19.7 -99-99.9-9.9-9.9
5289320060521 28.7 15.5  0.009999-99.9-99.9-99.9-99.9-9.9 9915.2 54 13.2 -99-99.9-9.9-9.9
5289320060522 30.9 15.0  0.009999-99.9-99.9-99.9-99.9-9.9 9917.5 50 15.3 -99-99.9-9.9-9.9
5289320060523 36.5 15.6  0.009999-99.9-99.9-99.9-99.9-9.9 9922.4 57 19.2 -99-99.9-9.9-9.9
5289320060524 41.6 24.3  0.009999-99.9-99.9-99.9-99.9-9.9 9926.3 52 21.7 -99-99.9-9.9-9.9
5289320060525 31.7 23.2  5.519999-99.9-99.9-99.9-99.9-9.9 9928.4 75 23.2 -99-99.9-9.9-9.9
5289320060526 27.4 20.9  4.019999-99.9-99.9-99.9-99.9-9.9 9927.1100 22.4 -99-99.9-9.9-9.9
5289320060527 30.6 20.9  0.009999-99.9-99.9-99.9-99.9-9.9 9924.8 76 20.9 -99-99.9-9.9-9.9
5289320060528 33.1 18.2  0.009999-99.9-99.9-99.9-99.9-9.9 9921.9 65 18.9 -99-99.9-9.9-9.9
5289320060529 34.9 19.1  0.009999-99.9-99.9-99.9-99.9-9.9 9923.2 61 19.8 -99-99.9-9.9-9.9
5289320060530 35.7 19.7  0.009999-99.9-99.9-99.9-99.9-9.9 9924.6 59 20.8 -99-99.9-9.9-9.9
5289320060531 36.0 23.2  0.009999-99.9-99.9-99.9-99.9-9.9 9926.8 60 22.2 -99-99.9-9.9-9.9
5289320060601 39.2 25.2  4.819999-99.9-99.9-99.9-99.9-9.9 9929.0 59 23.5 -99-99.9-9.9-9.9
5289320060602 30.0 21.9  2.519999-99.9-99.9-99.9-99.9-9.9 9928.6 96 23.3 -99-99.9-9.9-9.9
5289320060603 36.3 23.4  0.009999-99.9-99.9-99.9-99.9-9.9 9931.0 73 24.6 -99-99.9-9.9-9.9
5289320060604 36.4 25.3  0.009999-99.9-99.9-99.9-99.9-9.9 9929.5 63 23.7 -99-99.9-9.9-9.9
5289320060605 31.5 21.7  0.009999-99.9-99.9-99.9-99.9-9.9 9922.4 70 19.3 -99-99.9-9.9-9.9
5289320060606 31.0 16.6  0.009999-99.9-99.9-99.9-99.9-9.9 9918.2 60 16.0 -99-99.9-9.9-9.9
5289320060607 32.4 17.3  0.009999-99.9-99.9-99.9-99.9-9.9 9918.9 56 16.6 -99-99.9-9.9-9.9
5289320060608-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289320060609 38.7 23.6  0.009999-99.9-99.9-99.9-99.9-9.9 9924.4 52 20.6 -99-99.9-9.9-9.9
5289320060610 39.1 23.1  0.009999-99.9-99.9-99.9-99.9-9.9 9923.4 51 20.0 -99-99.9-9.9-9.9
5289320060611 40.0 21.8  0.009999-99.9-99.9-99.9-99.9-9.9 9923.3 48 19.9 -99-99.9-9.9-9.9
5289320060612-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289320060613-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289320060614-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289320060615-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289320060617-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289320060621-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289320060624-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289320060701-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289320060708-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
