5289220121212-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289220121213 32.9 21.8  0.009999-99.9-99.9-99.9-99.9-9.9 9926.9 87 22.3 -99-99.9-9.9-9.9
5289220121214 32.9 19.1  0.009999-99.9-99.9-99.9-99.9-9.9 9924.8 65 20.9 -99-99.9-9.9-9.9
5289220121215 34.7 24.7  0.009999-99.9-99.9-99.9-99.9-9.9 9928.9 67 23.5 -99-99.9-9.9-9.9
5289220121216 36.5 25.1  0.009999-99.9-99.9-99.9-99.9-9.9 9928.4 59 23.1 -99-99.9-9.9-9.9
5289220121217 38.5 23.4  0.009999-99.9-99.9-99.9-99.9-9.9 9927.7 57 22.7 -99-99.9-9.9-9.9
5289220121218 36.6 26.5  0.009999-99.9-99.9-99.9-99.9-9.9 9929.3 62 23.7 -99-99.9-9.9-9.9
5289220121219 36.8 28.2  0.009999-99.9-99.9-99.9-99.9-9.9 9928.5 55 23.2 -99-99.9-9.9-9.9
5289220121220 34.5 24.5 44.219999-99.9-99.9-99.9-99.9-9.9 9926.5 69 22.0 -99-99.9-9.9-9.9
5289220121221 24.6 20.3  9.519999-99.9-99.9-99.9-99.9-9.9 9925.2 94 21.2 -99-99.9-9.9-9.9
5289220121222 31.7 19.9  0.009999-99.9-99.9-99.9-99.9-9.9 9926.2 74 21.8 -99-99.9-9.9-9.9
5289220121223 36.3 23.6  0.009999-99.9-99.9-99.9-99.9-9.9 9930.2 65 24.2 -99-99.9-9.9-9.9
5289220121224 37.7 27.7  0.009999-99.9-99.9-99.9-99.9-9.9 9929.7 57 23.9 -99-99.9-9.9-9.9
5289220121225 38.7 28.0  1.819999-99.9-99.9-99.9-99.9-9.9 9927.1 51 22.4 -99-99.9-9.9-9.9
5289220121226 32.0 19.4 46.019999-99.9-99.9-99.9-99.9-9.9 9923.4 87 19.9 -99-99.9-9.9-9.9
5289220121227 20.7 16.7 14.019999-99.9-99.9-99.9-99.9-9.9 9921.2 98 18.4 -99-99.9-9.9-9.9
5289220121228 24.3 17.8  0.009999-99.9-99.9-99.9-99.9-9.9 9921.5 84 18.6 -99-99.9-9.9-9.9
5289220121229 30.3 20.0  0.009999-99.9-99.9-99.9-99.9-9.9 9925.2 74 21.2 -99-99.9-9.9-9.9
5289220121230 31.4 23.6  0.009999-99.9-99.9-99.9-99.9-9.9 9928.8 81 23.4 -99-99.9-9.9-9.9
5289220121231 35.4 23.4 41.519999-99.9-99.9-99.9-99.9-9.9 9930.1 70 24.1 -99-99.9-9.9-9.9
5289220130101 30.1 20.7  0.009999-99.9-99.9-99.9-99.9-9.9 9922.6 78 19.3 -99-99.9-9.9-9.9
5289220130102 26.4 17.3  0.009999-99.9-99.9-99.9-99.9-9.9 9917.9 66 15.8 -99-99.9-9.9-9.9
5289220130103 31.4 18.2  0.009999-99.9-99.9-99.9-99.9-9.9 9922.6 67 19.3 -99-99.9-9.9-9.9
5289220130104 35.6 23.2  0.009999-99.9-99.9-99.9-99.9-9.9 9929.7 66 23.9 -99-99.9-9.9-9.9
5289220130105 37.8 22.5  0.009999-99.9-99.9-99.9-99.9-9.9 9928.5 65 23.2 -99-99.9-9.9-9.9
5289220130106 30.2 22.9 92.219999-99.9-99.9-99.9-99.9-9.9 9927.6 78 22.7 -99-99.9-9.9-9.9
5289220130107 31.2 22.1 15.819999-99.9-99.9-99.9-99.9-9.9 9930.7 93 24.4 -99-99.9-9.9-9.9
5289220130108 31.9 23.9  0.009999-99.9-99.9-99.9-99.9-9.9 9929.8 72 24.0 -99-99.9-9.9-9.9
5289220130109 32.5 25.3  0.009999-99.9-99.9-99.9-99.9-9.9 9930.4 73 24.3 -99-99.9-9.9-9.9
5289220130110 32.8 24.4  0.009999-99.9-99.9-99.9-99.9-9.9 9929.6 72 23.9 -99-99.9-9.9-9.9
5289220130111 32.1 22.9  0.009999-99.9-99.9-99.9-99.9-9.9 9923.6 60 20.1 -99-99.9-9.9-9.9
5289220130112 34.8 22.2  0.009999-99.9-99.9-99.9-99.9-9.9 9924.4 56 20.6 -99-99.9-9.9-9.9
5289220130113 34.8 22.2  0.009999-99.9-99.9-99.9-99.9-9.9 9925.3 59 21.2 -99-99.9-9.9-9.9
5289220130114 35.2 23.4  0.009999-99.9-99.9-99.9-99.9-9.9 9927.3 62 22.5 -99-99.9-9.9-9.9
5289220130115 35.2 25.0  0.009999-99.9-99.9-99.9-99.9-9.9 9927.4 59 22.5 -99-99.9-9.9-9.9
5289220130116 35.9 22.3  0.009999-99.9-99.9-99.9-99.9-9.9 9925.1 54 21.1 -99-99.9-9.9-9.9
5289220130117 36.3 21.8  0.009999-99.9-99.9-99.9-99.9-9.9 9926.8 62 22.2 -99-99.9-9.9-9.9
5289220130118 32.5 24.4  0.009999-99.9-99.9-99.9-99.9-9.9 9927.3 68 22.5 -99-99.9-9.9-9.9
5289220130119 32.4 22.6  0.009999-99.9-99.9-99.9-99.9-9.9 9924.4 62 20.6 -99-99.9-9.9-9.9
5289220130120 30.7 20.9  0.009999-99.9-99.9-99.9-99.9-9.9 9923.9 68 20.3 -99-99.9-9.9-9.9
5289220130121 31.4 21.5  0.009999-99.9-99.9-99.9-99.9-9.9 9924.0 66 20.4 -99-99.9-9.9-9.9
5289220130122 35.2 22.3  0.009999-99.9-99.9-99.9-99.9-9.9 9925.4 62 21.3 -99-99.9-9.9-9.9
5289220130123 38.7 22.0  0.009999-99.9-99.9-99.9-99.9-9.9 9924.0 52 20.4 -99-99.9-9.9-9.9
5289220130124 42.3 23.6 38.219999-99.9-99.9-99.9-99.9-9.9 9925.2 59 21.1 -99-99.9-9.9-9.9
5289220130125 28.1 20.7  0.219999-99.9-99.9-99.9-99.9-9.9 9924.3 81 20.6 -99-99.9-9.9-9.9
5289220130126 28.8 17.1  0.009999-99.9-99.9-99.9-99.9-9.9 9918.2 55 16.0 -99-99.9-9.9-9.9
5289220130127 29.6 18.6  0.009999-99.9-99.9-99.9-99.9-9.9 9919.3 61 16.9 -99-99.9-9.9-9.9
5289220130128 33.9 16.4  0.009999-99.9-99.9-99.9-99.9-9.9 9922.7 64 19.4 -99-99.9-9.9-9.9
5289220130129 39.4 20.5  0.009999-99.9-99.9-99.9-99.9-9.9 9925.9 53 21.6 -99-99.9-9.9-9.9
5289220130130 38.4 25.0  0.009999-99.9-99.9-99.9-99.9-9.9 9927.2 55 22.4 -99-99.9-9.9-9.9
5289220130131 39.3 25.6  0.009999-99.9-99.9-99.9-99.9-9.9 9926.1 55 21.7 -99-99.9-9.9-9.9
5289220130201 40.7 24.9  0.009999-99.9-99.9-99.9-99.9-9.9 9927.1 48 22.4 -99-99.9-9.9-9.9
5289220130202 32.9 23.4  1.219999-99.9-99.9-99.9-99.9-9.9 9926.8 81 22.2 -99-99.9-9.9-9.9
5289220130203 33.6 21.0  0.009999-99.9-99.9-99.9-99.9-9.9 9926.6 69 22.1 -99-99.9-9.9-9.9
5289220130204 31.1 18.3  0.009999-99.9-99.9-99.9-99.9-9.9 9922.3 62 19.2 -99-99.9-9.9-9.9
5289220130205 32.1 19.6  0.009999-99.9-99.9-99.9-99.9-9.9 9919.9 54 17.3 -99-99.9-9.9-9.9
5289220130206 31.6 20.2  0.009999-99.9-99.9-99.9-99.9-9.9 9921.2 63 18.4 -99-99.9-9.9-9.9
5289220130207 32.8 18.6  0.009999-99.9-99.9-99.9-99.9-9.9 9924.1 66 20.4 -99-99.9-9.9-9.9
5289220130208 35.5 21.7  0.009999-99.9-99.9-99.9-99.9-9.9 9923.5 51 20.0 -99-99.9-9.9-9.9
5289220130209 35.2 19.8  0.009999-99.9-99.9-99.9-99.9-9.9 9923.0 57 19.7 -99-99.9-9.9-9.9
5289220130210 35.7 21.6 12.219999-99.9-99.9-99.9-99.9-9.9 9925.3 76 21.2 -99-99.9-9.9-9.9
5289220130211 32.7 20.2  1.019999-99.9-99.9-99.9-99.9-9.9 9925.3 75 21.3 -99-99.9-9.9-9.9
5289220130212 35.4 20.2  0.009999-99.9-99.9-99.9-99.9-9.9 9924.9 61 21.0 -99-99.9-9.9-9.9
5289220130213 37.4 23.4  0.009999-99.9-99.9-99.9-99.9-9.9 9926.5 60 22.0 -99-99.9-9.9-9.9
5289220130214 33.2 24.3  0.009999-99.9-99.9-99.9-99.9-9.9 9928.5 76 23.2 -99-99.9-9.9-9.9
5289220130215 35.1 22.4  0.009999-99.9-99.9-99.9-99.9-9.9 9927.6 65 22.7 -99-99.9-9.9-9.9
5289220130216 38.7 23.8  0.009999-99.9-99.9-99.9-99.9-9.9 9927.9 55 22.9 -99-99.9-9.9-9.9
5289220130217 40.4 25.3  2.819999-99.9-99.9-99.9-99.9-9.9 9926.6 60 22.1 -99-99.9-9.9-9.9
5289220130218 29.0 23.1  0.219999-99.9-99.9-99.9-99.9-9.9 9927.6 87 22.7 -99-99.9-9.9-9.9
