5270120130530-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5270120130531 18.6  5.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.7 64  4.8  11  9.0-9.9-9.9
5270120130601 19.4  2.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.3 49  2.4  15 12.0-9.9-9.9
5270120130602 16.1  5.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.6 57  3.0  10  7.6-9.9-9.9
5270120130603 17.8  3.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.3 65  5.8  14 11.1-9.9-9.9
5270120130604 18.2  7.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.1 64  5.6  10  8.0-9.9-9.9
5270120130605 17.9  4.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.2 57  3.8  26 20.5-9.9-9.9
5270120130606 13.5 -0.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.9 77  3.5  12  9.4-9.9-9.9
5270120130607 17.4  1.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.1 58 -0.3  15 11.6-9.9-9.9
5270120130608 13.7 -2.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.0 62 -2.9   8  6.6-9.9-9.9
5270120130609 17.2  0.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.4 67  2.4  10  8.3-9.9-9.9
5270120130610 22.8  0.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.8 44  1.3  10  7.9-9.9-9.9
5270120130611 18.3  3.2  0.009999-99.9-99.9-99.9-99.9-9.9 9911.9 89  9.2  12  9.3-9.9-9.9
5270120130612 23.3  8.3  0.009999-99.9-99.9-99.9-99.9-9.9 9911.4 73  8.5   8  6.6-9.9-9.9
5270120130613 21.7  6.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.2 60  5.6  14 11.0-9.9-9.9
5270120130614 11.5  1.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.0 67  1.8  11  9.0-9.9-9.9
5270120130615 14.0  2.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.6 83  6.1  19 15.0-9.9-9.9
5270120130616 11.2  0.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.9 61  1.1  15 11.7-9.9-9.9
5270120130617 11.0 -6.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.1 69 -2.6  12  9.6-9.9-9.9
5270120130618 11.4 -2.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.1 67 -2.9  14 11.5-9.9-9.9
5270120130619 11.9 -5.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 3.9 53 -6.0   9  7.5-9.9-9.9
5270120130620 12.9 -1.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 3.8 45 -6.3  17 13.8-9.9-9.9
5270120130621 16.6 -3.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.1 45 -2.7  16 12.8-9.9-9.9
5270120130622 14.9 -0.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.0 73 -0.6  11  9.1-9.9-9.9
5270120130623 14.3 -4.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.3 64 -2.0   8  6.2-9.9-9.9
5270120130624 12.8 -2.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.0 69 -0.3   5  4.4-9.9-9.9
5270120130625 14.0 -2.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.1 83  2.0   8  6.6-9.9-9.9
5270120130626 19.9 -0.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.7 70  3.1   6  5.0-9.9-9.9
5270120130627 16.4  3.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.9 75  5.3  14 11.5-9.9-9.9
5270120130628 16.4  3.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.3 83  5.7   7  5.2-9.9-9.9
5270120130629 13.6  3.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.2 46 -2.2  11  8.8-9.9-9.9
5270120130630 11.8  1.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.8 52 -3.5   6  5.0-9.9-9.9
5270120130701 14.4  0.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.7 61  1.0  13 10.8-9.9-9.9
5270120130702 18.1  2.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.2 65  4.1  18 14.4-9.9-9.9
5270120130703 15.9  0.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.3 79  4.2   7  5.5-9.9-9.9
5270120130704 17.5  5.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.7 48  1.1  17 13.9-9.9-9.9
5270120130705  9.4  6.3  0.009999-99.9-99.9-99.9-99.9-9.9 9910.8100  8.1  16 13.2-9.9-9.9
5270120130706  9.4  3.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.6 96  6.3  17 13.4-9.9-9.9
5270120130707  9.9  0.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.2 86  2.3   9  7.5-9.9-9.9
5270120130708 10.4 -2.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.9 87  1.6   9  7.5-9.9-9.9
5270120130709  7.1  1.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.1 99  5.5  12  9.3-9.9-9.9
5270120130710  8.6  6.3  0.009999-99.9-99.9-99.9-99.9-9.9 9910.5100  7.6  10  8.2-9.9-9.9
5270120130711 15.1  5.7  0.009999-99.9-99.9-99.9-99.9-9.9 9910.8 92  8.0   5  3.9-9.9-9.9
5270120130712 18.8  3.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.3 73  5.8   8  6.4-9.9-9.9
5270120130713 14.1  5.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.4 77  5.9  12  9.6-9.9-9.9
5270120130714 12.2  0.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.9 64 -0.6   9  7.4-9.9-9.9
5270120130715 15.5  0.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.6 62  0.9  11  8.8-9.9-9.9
5270120130716 20.1  2.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.5 57  4.4  11  8.5-9.9-9.9
5270120130717 15.7  1.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.8 87  5.1  10  8.0-9.9-9.9
