5291220130611-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5291220130612 27.2  9.4-99.999999-99.9-99.9-99.9-99.9-9.9 9916.6 84 14.4 -99-99.9-9.9-9.9
5291220130613 26.7  7.5-99.999999-99.9-99.9-99.9-99.9-9.9 9913.9 80 11.7 -99-99.9-9.9-9.9
5291220130614 23.8  9.0-99.999999-99.9-99.9-99.9-99.9-9.9 9915.2 84 13.1 -99-99.9-9.9-9.9
5291220130615 20.2 13.5-99.999999-99.9-99.9-99.9-99.9-9.9 9917.7 90 15.5 -99-99.9-9.9-9.9
5291220130616 18.5 15.8-99.999999-99.9-99.9-99.9-99.9-9.9 9918.9 98 16.6 -99-99.9-9.9-9.9
5291220130617 24.0 14.3-99.999999-99.9-99.9-99.9-99.9-9.9 9919.0 91 16.7 -99-99.9-9.9-9.9
5291220130618-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 9920.3 94 17.6 -99-99.9-9.9-9.9
5291220130619 24.3 18.0-99.999999-99.9-99.9-99.9-99.9-9.9 9922.8 96 19.6 -99-99.9-9.9-9.9
5291220130620 20.7 16.7-99.999999-99.9-99.9-99.9-99.9-9.9 9921.4100 18.5 -99-99.9-9.9-9.9
5291220130621 16.7 10.9-99.999999-99.9-99.9-99.9-99.9-9.9 9914.9100 12.8 -99-99.9-9.9-9.9
5291220130622 18.9  8.9-99.999999-99.9-99.9-99.9-99.9-9.9 9912.3 87 10.0 -99-99.9-9.9-9.9
5291220130623 18.0  5.9-99.999999-99.9-99.9-99.9-99.9-9.9 9914.7 98 12.3 -99-99.9-9.9-9.9
5291220130624 18.2 16.0-99.999999-99.9-99.9-99.9-99.9-9.9 9920.1100 17.5 -99-99.9-9.9-9.9
5291220130625 18.1 14.7-99.999999-99.9-99.9-99.9-99.9-9.9 9917.4100 15.3 -99-99.9-9.9-9.9
5291220130626 16.5 14.3-99.999999-99.9-99.9-99.9-99.9-9.9 9916.9 99 14.9 -99-99.9-9.9-9.9
5291220130627 22.1 12.8-99.999999-99.9-99.9-99.9-99.9-9.9 9918.6 95 16.2 -99-99.9-9.9-9.9
5291220130628 24.7 14.5-99.999999-99.9-99.9-99.9-99.9-9.9 9922.1 94 19.0 -99-99.9-9.9-9.9
5291220130629 23.9 18.4-99.999999-99.9-99.9-99.9-99.9-9.9 9923.4 95 19.9 -99-99.9-9.9-9.9
5291220130630 24.0 15.0-99.999999-99.9-99.9-99.9-99.9-9.9 9919.4 95 16.9 -99-99.9-9.9-9.9
5291220130701 24.8  9.9-99.999999-99.9-99.9-99.9-99.9-9.9 9914.8 84 12.7 -99-99.9-9.9-9.9
5291220130702 23.6  7.9-99.999999-99.9-99.9-99.9-99.9-9.9 9913.8 80 11.6 -99-99.9-9.9-9.9
5291220130703 26.9  9.3-99.999999-99.9-99.9-99.9-99.9-9.9 9917.0 79 14.7 -99-99.9-9.9-9.9
5291220130704 29.2 18.3-99.999999-99.9-99.9-99.9-99.9-9.9 9920.3 72 17.8 -99-99.9-9.9-9.9
5291220130705 29.6 15.8-99.999999-99.9-99.9-99.9-99.9-9.9 9919.6 72 17.2 -99-99.9-9.9-9.9
5291220130706 29.2 16.1-99.999999-99.9-99.9-99.9-99.9-9.9 9920.8 81 18.1 -99-99.9-9.9-9.9
5291220130707 29.2 13.9-99.999999-99.9-99.9-99.9-99.9-9.9 9920.9 84 18.1 -99-99.9-9.9-9.9
5291220130708 23.1 18.5-99.999999-99.9-99.9-99.9-99.9-9.9 9922.9100 19.6 -99-99.9-9.9-9.9
5291220130709 26.7 17.2-99.999999-99.9-99.9-99.9-99.9-9.9 9921.6 85 18.7 -99-99.9-9.9-9.9
5291220130710 27.4 15.7-99.999999-99.9-99.9-99.9-99.9-9.9 9919.6 81 17.2 -99-99.9-9.9-9.9
5291220130711 28.4 15.0-99.999999-99.9-99.9-99.9-99.9-9.9 9918.4 81 16.1 -99-99.9-9.9-9.9
5291220130712 28.2 12.2-99.999999-99.9-99.9-99.9-99.9-9.9 9918.1 81 15.9 -99-99.9-9.9-9.9
5291220130713 27.4 13.3-99.999999-99.9-99.9-99.9-99.9-9.9 9918.0 74 15.8 -99-99.9-9.9-9.9
5291220130714 26.5 16.0-99.999999-99.9-99.9-99.9-99.9-9.9 9920.0 91 17.5 -99-99.9-9.9-9.9
5291220130715 25.4 14.1-99.999999-99.9-99.9-99.9-99.9-9.9 9916.7 78 14.5 -99-99.9-9.9-9.9
5291220130716 23.2  4.8-99.999999-99.9-99.9-99.9-99.9-9.9 9911.6 80  9.0 -99-99.9-9.9-9.9
5291220130717 27.0  4.6-99.999999-99.9-99.9-99.9-99.9-9.9 9913.4 81 11.0 -99-99.9-9.9-9.9
5291220130718 27.6 11.5-99.999999-99.9-99.9-99.9-99.9-9.9 9918.4 80 16.0 -99-99.9-9.9-9.9
5291220130719 20.3 13.9-99.999999-99.9-99.9-99.9-99.9-9.9 9918.3 96 16.1 -99-99.9-9.9-9.9
5291220130720 14.5 11.9-99.999999-99.9-99.9-99.9-99.9-9.9 9915.0100 13.0 -99-99.9-9.9-9.9
5291220130721 14.0  7.6-99.999999-99.9-99.9-99.9-99.9-9.9 9912.2 94  9.8 -99-99.9-9.9-9.9
5291220130722  8.0  5.7-99.999999-99.9-99.9-99.9-99.9-9.9 99 8.3 85  4.3 -99-99.9-9.9-9.9
5291220130723 13.1 -0.8-99.999999-99.9-99.9-99.9-99.9-9.9 99 6.6 72  1.0 -99-99.9-9.9-9.9
5291220130724 15.9 -2.2-99.999999-99.9-99.9-99.9-99.9-9.9 99 7.0 78  1.8 -99-99.9-9.9-9.9
5291220130725 18.9 -2.2-99.999999-99.9-99.9-99.9-99.9-9.9 99 7.3 77  2.3 -99-99.9-9.9-9.9
5291220130726 22.1  1.5-99.999999-99.9-99.9-99.9-99.9-9.9 9910.2 81  7.0 -99-99.9-9.9-9.9
5291220130727 24.5  5.3-99.999999-99.9-99.9-99.9-99.9-9.9 9912.1 76  9.8 -99-99.9-9.9-9.9
5291220130728 27.4  6.0-99.999999-99.9-99.9-99.9-99.9-9.9 9912.9 75 10.6 -99-99.9-9.9-9.9
5291220130729 30.0  9.7-99.999999-99.9-99.9-99.9-99.9-9.9 9915.0 72 12.9 -99-99.9-9.9-9.9
5291220130730 30.5 10.4-99.999999-99.9-99.9-99.9-99.9-9.9 9916.3 75 14.2 -99-99.9-9.9-9.9
5291220130731 31.1  9.2-99.999999-99.9-99.9-99.9-99.9-9.9 9915.0 69 12.9 -99-99.9-9.9-9.9
5291220130801 33.3 10.6-99.999999-99.9-99.9-99.9-99.9-9.9 9915.3 63 13.3 -99-99.9-9.9-9.9
5291220130802 31.9 14.4-99.999999-99.9-99.9-99.9-99.9-9.9 9917.9 63 15.7 -99-99.9-9.9-9.9
5291220130803 24.4 14.3-99.999999-99.9-99.9-99.9-99.9-9.9 9920.2 91 17.5 -99-99.9-9.9-9.9
5291220130804 26.5 15.0-99.999999-99.9-99.9-99.9-99.9-9.9 9915.8 72 13.6 -99-99.9-9.9-9.9
5291220130805 29.3  8.4-99.999999-99.9-99.9-99.9-99.9-9.9 9916.5 75 14.1 -99-99.9-9.9-9.9
5291220130806 27.8 16.2-99.999999-99.9-99.9-99.9-99.9-9.9 9920.2 77 17.6 -99-99.9-9.9-9.9
5291220130807 32.4 16.7-99.999999-99.9-99.9-99.9-99.9-9.9 9917.0 55 14.9 -99-99.9-9.9-9.9
5291220130808 33.4 14.1-99.999999-99.9-99.9-99.9-99.9-9.9 9916.1 49 14.1 -99-99.9-9.9-9.9
5291220130809 23.8 11.6-99.999999-99.9-99.9-99.9-99.9-9.9 9916.9 99 14.7 -99-99.9-9.9-9.9
5291220130810 11.6  7.4-99.999999-99.9-99.9-99.9-99.9-9.9 9911.2 98  8.6 -99-99.9-9.9-9.9
