5272720130911-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5272720130912 39.1 20.5  0.009999-99.9-99.9-99.9-99.9-9.9 9916.1 37 14.1 -99-99.9-9.9-9.9
5272720130913 30.0 16.4  0.009999-99.9-99.9-99.9-99.9-9.9 9911.2 48  8.5 -99-99.9-9.9-9.9
5272720130914 18.7 14.2  0.009999-99.9-99.9-99.9-99.9-9.9 9910.6 60  7.8 -99-99.9-9.9-9.9
5272720130915 17.3 11.9  0.009999-99.9-99.9-99.9-99.9-9.9 9911.0 67  8.4 -99-99.9-9.9-9.9
5272720130916 15.5 11.5  0.009999-99.9-99.9-99.9-99.9-9.9 9910.9 71  8.1 -99-99.9-9.9-9.9
5272720130917 17.1 10.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.2 50  4.0 -99-99.9-9.9-9.9
5272720130918 24.0 10.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.7 43  3.2 -99-99.9-9.9-9.9
5272720130919 27.2  7.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.1 39  3.8 -99-99.9-9.9-9.9
5272720130920 33.8 10.9  0.009999-99.9-99.9-99.9-99.9-9.9 9910.5 36  7.6 -99-99.9-9.9-9.9
5272720130921 36.2 16.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.5 25  6.2 -99-99.9-9.9-9.9
5272720130922 27.6 11.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.3 38  2.4 -99-99.9-9.9-9.9
5272720130923 20.4 12.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.5 34  0.7 -99-99.9-9.9-9.9
5272720130924 24.9  6.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.3 28 -1.9 -99-99.9-9.9-9.9
5272720130925 25.4  5.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.7 30 -1.0 -99-99.9-9.9-9.9
5272720130926 30.0  7.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.9 23 -0.6 -99-99.9-9.9-9.9
5272720130927 33.4 11.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.5 36  4.4 -99-99.9-9.9-9.9
5272720130928 31.6 15.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.6 33  6.3 -99-99.9-9.9-9.9
5272720130929 22.1 14.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.9 32 -0.6 -99-99.9-9.9-9.9
5272720130930 26.0 13.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.8 24 -0.8 -99-99.9-9.9-9.9
5272720131001 29.1  6.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.5 27  0.7 -99-99.9-9.9-9.9
5272720131002 32.1 11.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.5 30  4.5 -99-99.9-9.9-9.9
5272720131003 33.7 15.2  0.009999-99.9-99.9-99.9-99.9-9.9 9912.0 36  9.4 -99-99.9-9.9-9.9
5272720131004 26.0 18.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.1 32  3.4 -99-99.9-9.9-9.9
5272720131005 31.4 14.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.7 26  3.1 -99-99.9-9.9-9.9
5272720131006 32.8 16.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.7 29  4.9 -99-99.9-9.9-9.9
5272720131007 33.8 15.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.1 29  5.5 -99-99.9-9.9-9.9
5272720131008 37.1 16.9  0.009999-99.9-99.9-99.9-99.9-9.9 9910.0 26  6.8 -99-99.9-9.9-9.9
5272720131009 40.0 18.5  0.219999-99.9-99.9-99.9-99.9-9.9 9915.0 42 12.6 -99-99.9-9.9-9.9
5272720131010 28.5 20.5  2.219999-99.9-99.9-99.9-99.9-9.9 9920.5 79 17.8 -99-99.9-9.9-9.9
5272720131011 24.3 19.7  1.019999-99.9-99.9-99.9-99.9-9.9 9924.2 93 20.5 -99-99.9-9.9-9.9
5272720131012 29.4 19.5  0.009999-99.9-99.9-99.9-99.9-9.9 9920.8 68 18.0 -99-99.9-9.9-9.9
5272720131013 30.8 20.9  8.219999-99.9-99.9-99.9-99.9-9.9 9920.1 62 17.6 -99-99.9-9.9-9.9
5272720131014 25.0 20.2  7.819999-99.9-99.9-99.9-99.9-9.9 9924.2 92 20.5 -99-99.9-9.9-9.9
5272720131015 26.3 20.1  0.219999-99.9-99.9-99.9-99.9-9.9 9922.7 83 19.5 -99-99.9-9.9-9.9
5272720131016 33.0 16.5  0.009999-99.9-99.9-99.9-99.9-9.9 9920.1 63 17.5 -99-99.9-9.9-9.9
5272720131017 33.5 18.5  0.009999-99.9-99.9-99.9-99.9-9.9 9917.9 54 15.8 -99-99.9-9.9-9.9
5272720131018 36.8 19.2  0.009999-99.9-99.9-99.9-99.9-9.9 9916.0 38 13.9 -99-99.9-9.9-9.9
5272720131019 38.0 20.8  0.009999-99.9-99.9-99.9-99.9-9.9 9915.7 32 13.7 -99-99.9-9.9-9.9
5272720131020 40.4 21.8  0.009999-99.9-99.9-99.9-99.9-9.9 9918.8 44 16.4 -99-99.9-9.9-9.9
5272720131021 32.0 23.3  0.009999-99.9-99.9-99.9-99.9-9.9 9911.4 28  8.5 -99-99.9-9.9-9.9
5272720131022 34.1 18.9  0.009999-99.9-99.9-99.9-99.9-9.9 9913.3 35 11.1 -99-99.9-9.9-9.9
5272720131023 39.0 18.5  0.009999-99.9-99.9-99.9-99.9-9.9 9917.7 41 15.5 -99-99.9-9.9-9.9
5272720131024 31.1 14.4  3.019999-99.9-99.9-99.9-99.9-9.9 9914.3 73 12.1 -99-99.9-9.9-9.9
5272720131025 27.1 14.9  0.009999-99.9-99.9-99.9-99.9-9.9 9917.5 72 15.3 -99-99.9-9.9-9.9
5272720131026 30.8 18.5  0.009999-99.9-99.9-99.9-99.9-9.9 9920.3 67 17.7 -99-99.9-9.9-9.9
5272720131027 32.2 17.4  0.009999-99.9-99.9-99.9-99.9-9.9 9917.7 53 15.5 -99-99.9-9.9-9.9
5272720131028 34.2 20.8  0.009999-99.9-99.9-99.9-99.9-9.9 9916.5 42 14.4 -99-99.9-9.9-9.9
5272720131029 37.0 24.5  0.009999-99.9-99.9-99.9-99.9-9.9 9920.6 46 18.0 -99-99.9-9.9-9.9
5272720131030 40.4 22.5  0.009999-99.9-99.9-99.9-99.9-9.9 9920.6 40 17.9 -99-99.9-9.9-9.9
5272720131031 41.4 25.9  0.009999-99.9-99.9-99.9-99.9-9.9 9920.5 40 17.8 -99-99.9-9.9-9.9
