5285820150318-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285820150319-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99 6.6 56  0.9 -99-99.9-9.9-9.9
5285820150320 16.0  2.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.7 55  1.2   0  0.0-9.9-9.9
5285820150321 21.5  7.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.9 55  5.1   0  0.0-9.9-9.9
5285820150322 24.9  9.1  0.009999-99.9-99.9-99.9-99.9-9.9 9911.3 64  8.7   0  0.0-9.9-9.9
5285820150323 21.8  8.3  0.009999-99.9-99.9-99.9-99.9-9.9 9911.4 70  8.8   0  0.0-9.9-9.9
5285820150324 24.3  8.0  0.009999-99.9-99.9-99.9-99.9-9.9 9912.0 73  9.4   0  0.0-9.9-9.9
5285820150325 17.2 10.4  0.009999-99.9-99.9-99.9-99.9-9.9 9912.1 81  9.7   0  0.0-9.9-9.9
5285820150326 21.6 10.7  0.009999-99.9-99.9-99.9-99.9-9.9 9912.3 76 10.0   0  0.0-9.9-9.9
5285820150327-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285820150328-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285820150329 19.7 11.0  0.009999-99.9-99.9-99.9-99.9-9.9 9911.8 74  9.3   0  0.0-9.9-9.9
5285820150330-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285820150406-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285820150407 20.0  5.7  0.009999-99.9-99.9-99.9-99.9-9.9 9910.1 76  7.0   0  0.0-9.9-9.9
5285820150408 16.2  9.8  0.009999-99.9-99.9-99.9-99.9-9.9 9912.6 91 10.3 -99-99.9-9.9-9.9
5285820150409 23.6  9.6  0.009999-99.9-99.9-99.9-99.9-9.9 9912.9 81 10.6   0  0.0-9.9-9.9
5285820150410 23.3  5.0  0.009999-99.9-99.9-99.9-99.9-9.9 9910.5 74  7.4   0  0.0-9.9-9.9
5285820150411 23.0  5.7  0.009999-99.9-99.9-99.9-99.9-9.9 9910.3 77  7.3   0  0.0-9.9-9.9
5285820150412 19.5  8.9  0.009999-99.9-99.9-99.9-99.9-9.9 9910.2 72  7.2   0  0.0-9.9-9.9
5285820150413 16.5  6.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.8 79  6.5   0  0.0-9.9-9.9
5285820150414 16.5  4.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.0 72  3.7   0  0.0-9.9-9.9
5285820150415 19.2  1.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.0 76  3.6   0  0.0-9.9-9.9
5285820150416 18.3 -0.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.8 75  3.1   0  0.0-9.9-9.9
5285820150417 19.4  5.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.2 72  5.6   0  0.0-9.9-9.9
5285820150418 15.8  6.4  0.009999-99.9-99.9-99.9-99.9-9.9 9910.1 80  7.1   0  0.0-9.9-9.9
5285820150419 12.3  4.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.0 65  1.8   0  0.0-9.9-9.9
5285820150420 18.1  2.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.9 66  3.4   0  0.0-9.9-9.9
5285820150421 21.7  6.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.2 61  5.6   0  0.0-9.9-9.9
5285820150422 22.0  9.3  0.009999-99.9-99.9-99.9-99.9-9.9 9911.7 68  9.2   0  0.0-9.9-9.9
5285820150423 15.1  5.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.6 83  6.2   0  0.0-9.9-9.9
5285820150424-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
