5281419991231-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5281420061107-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5281420101012-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5281420101013 18.6 14.0 92.219999-99.9-99.9-99.9-99.9-9.9 9916.6 88 14.4 -99-99.9-9.9-9.9
5281420101014 19.6 13.1  0.319999-99.9-99.9-99.9-99.9-9.9 9917.0 99 14.9 -99-99.9-9.9-9.9
5281420101015 15.7 10.5  0.009999-99.9-99.9-99.9-99.9-9.9 9913.8 95 11.7 -99-99.9-9.9-9.9
5281420101016 20.6  7.6  0.009999-99.9-99.9-99.9-99.9-9.9 9911.3 67  8.7 -99-99.9-9.9-9.9
5281420101017 21.0  8.8  0.009999-99.9-99.9-99.9-99.9-9.9 9910.9 66  8.2 -99-99.9-9.9-9.9
5281420101018 26.4  6.9  0.009999-99.9-99.9-99.9-99.9-9.9 9912.1 56  9.6 -99-99.9-9.9-9.9
5281420101019 28.9 10.9  0.009999-99.9-99.9-99.9-99.9-9.9 9913.4 54 11.3 -99-99.9-9.9-9.9
5281420101020 29.4 11.3  0.009999-99.9-99.9-99.9-99.9-9.9 9914.3 53 12.2 -99-99.9-9.9-9.9
5281420101021 25.2 14.7  1.419999-99.9-99.9-99.9-99.9-9.9 9916.4 76 14.4 -99-99.9-9.9-9.9
5281420101022 23.5 11.7  0.009999-99.9-99.9-99.9-99.9-9.9 9911.7 56  9.2 -99-99.9-9.9-9.9
5281420101023 22.4  7.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.8 51  6.6 -99-99.9-9.9-9.9
5281420101024 25.1  9.7  0.009999-99.9-99.9-99.9-99.9-9.9 9911.6 63  9.1 -99-99.9-9.9-9.9
5281420101025 26.4  8.0  0.009999-99.9-99.9-99.9-99.9-9.9 9910.8 51  8.0 -99-99.9-9.9-9.9
5281420101026 28.5  9.1  0.009999-99.9-99.9-99.9-99.9-9.9 9911.1 49  8.5 -99-99.9-9.9-9.9
5281420101027 25.6 10.7  0.009999-99.9-99.9-99.9-99.9-9.9 9912.0 51  9.6 -99-99.9-9.9-9.9
5281420101028 28.8 11.4  0.009999-99.9-99.9-99.9-99.9-9.9 9913.9 52 11.9 -99-99.9-9.9-9.9
5281420101029 20.9 11.2  3.519999-99.9-99.9-99.9-99.9-9.9 9912.9 74 10.6 -99-99.9-9.9-9.9
5281420101030 23.1  6.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.1 42  3.8 -99-99.9-9.9-9.9
5281420101031 26.8 12.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.8 37  5.1 -99-99.9-9.9-9.9
5281420101101 31.8  8.7  0.009999-99.9-99.9-99.9-99.9-9.9 9911.3 39  8.7 -99-99.9-9.9-9.9
5281420101102 32.0 12.8  0.009999-99.9-99.9-99.9-99.9-9.9 9913.8 48 11.7 -99-99.9-9.9-9.9
5281420101103 36.4 14.3  2.219999-99.9-99.9-99.9-99.9-9.9 9914.2 49 12.1 -99-99.9-9.9-9.9
5281420101104 26.0 13.0  0.009999-99.9-99.9-99.9-99.9-9.9 9914.4 69 12.4 -99-99.9-9.9-9.9
5281420101105 27.9  9.4  0.009999-99.9-99.9-99.9-99.9-9.9 9910.1 39  6.7 -99-99.9-9.9-9.9
5281420101106 32.4 11.7  0.009999-99.9-99.9-99.9-99.9-9.9 9910.7 39  7.8 -99-99.9-9.9-9.9
5281420101107 38.0 12.9  0.009999-99.9-99.9-99.9-99.9-9.9 9914.3 32 12.2 -99-99.9-9.9-9.9
