5281720161102-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5281720161103 28.3 10.0  0.009999-99.9-99.9-99.9-99.9 5.9 4313.2 57 10.9  10  8.316.915.2
5281720161104 26.5 14.8  0.009999-99.9-99.9-99.9-99.9 9.9 7114.9 60 12.8   7  5.523.313.2
5281720161105 32.9 15.0  0.009999-99.9-99.9-99.9-99.9 9.9 7218.0 57 15.8  13 10.223.420.5
5281720161106 27.8 14.1  0.009999-99.9-99.9-99.9-99.9 5.5 3914.8 58 12.4  13 10.616.320.3
5281720161107 24.7  6.9  0.009999-99.9-99.9-99.9-99.9 9.1 6610.5 59  7.5   4  3.522.3 9.4
5281720161108 25.2  9.8 23.019999-99.9-99.9-99.9-99.9 7.6 5413.7 58 11.6  13 10.319.815.1
5281720161109 24.1 12.8  0.219999-99.9-99.9-99.9-99.9 9.5 6813.8 71 11.6   9  7.223.013.4
5281720161110 23.1  9.9  0.009999-99.9-99.9-99.9-99.910.1 72 9.8 50  6.7   8  6.524.014.8
5281720161111 22.0  6.4  0.009999-99.9-99.9-99.9-99.910.4 7410.5 60  7.7   5  4.324.6 9.8
5281720161112 25.7  7.3  1.019999-99.9-99.9-99.9-99.9 9.8 6912.6 54 10.1  11  8.423.613.8
5281720161113 26.6 13.9  0.009999-99.9-99.9-99.9-99.910.1 7113.5 55 11.3   7  5.824.214.6
5281720161114 27.8 12.9  0.009999-99.9-99.9-99.9-99.9 8.9 6312.8 49 10.5   8  6.522.316.2
5281720161115 21.6 11.7  0.009999-99.9-99.9-99.9-99.9 8.6 61 8.9 47  5.1   7  5.321.914.5
5281720161116 20.5  4.5  0.009999-99.9-99.9-99.9-99.910.2 72 7.5 41  2.8   8  6.424.514.0
5281720161117 20.1  1.6  0.009999-99.9-99.9-99.9-99.910.9 77 7.8 53  3.2   4  2.925.7 8.5
5281720161118 25.0  6.2  0.009999-99.9-99.9-99.9-99.910.6 7410.2 54  7.1  13 10.725.319.1
5281720161119 29.5 11.8  0.009999-99.9-99.9-99.9-99.9 9.5 6614.4 56 12.3  12  9.623.518.7
5281720161120 22.8 12.8  0.009999-99.9-99.9-99.9-99.9 5.9 4112.6 65 10.2  13 10.717.617.0
5281720161121 21.9  3.8  0.009999-99.9-99.9-99.9-99.910.8 7510.2 61  7.2   3  2.725.7 7.6
5281720161122 27.1  6.8  0.009999-99.9-99.9-99.9-99.910.7 7412.2 59  9.8   4  3.325.6 9.5
5281720161123 29.3  9.3  0.009999-99.9-99.9-99.9-99.910.6 7412.5 51 10.3   5  3.925.512.3
5281720161124 30.8 14.4  0.009999-99.9-99.9-99.9-99.910.1 7014.9 47 12.8   9  7.624.719.2
5281720161125 30.7 14.7  8.219999-99.9-99.9-99.9-99.9 9.4 6517.3 56 15.2   8  6.623.616.2
5281720161126 25.6 16.4  3.219999-99.9-99.9-99.9-99.9 4.7 3217.5 76 15.3   6  5.015.7 8.6
5281720161127 24.5 10.6  0.009999-99.9-99.9-99.9-99.9 4.3 3015.3 77 13.3   5  3.815.1 6.9
5281720161128 28.7 11.4  0.009999-99.9-99.9-99.9-99.910.3 7114.5 59 12.5   3  2.325.2 9.0
5281720161129 31.7 12.3  0.009999-99.9-99.9-99.9-99.910.6 7315.3 52 13.2   3  2.625.810.5
