5285920120328-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285920120329 15.3  7.6  0.319999-99.9-99.9-99.9-99.9-9.9 99 9.3 71  5.8 -99-99.9-9.9-9.9
5285920120330 19.2  9.6  0.319999-99.9-99.9-99.9-99.9-9.9 9910.7 73  7.8 -99-99.9-9.9-9.9
5285920120331 13.8  3.4  0.619999-99.9-99.9-99.9-99.9-9.9 99 7.4 64  2.5 -99-99.9-9.9-9.9
5285920120401 11.4  5.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.0 65  1.8 -99-99.9-9.9-9.9
5285920120402 14.3  5.2  6.019999-99.9-99.9-99.9-99.9-9.9 99 8.4 65  4.2 -99-99.9-9.9-9.9
5285920120403 13.2  5.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.9 59  3.5 -99-99.9-9.9-9.9
5285920120404 11.5  1.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.3 69  0.3 -99-99.9-9.9-9.9
5285920120405  8.1  1.9  0.319999-99.9-99.9-99.9-99.9-9.9 99 5.9 68 -0.6 -99-99.9-9.9-9.9
5285920120406  9.7  0.3  0.619999-99.9-99.9-99.9-99.9-9.9 99 5.5 69 -1.4 -99-99.9-9.9-9.9
5285920120407  9.9 -0.9  4.219999-99.9-99.9-99.9-99.9-9.9 99 7.4 90  2.6 -99-99.9-9.9-9.9
5285920120408 13.9 -0.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.5 75  4.5 -99-99.9-9.9-9.9
5285920120409 12.4  0.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.3 75  4.2 -99-99.9-9.9-9.9
5285920120410 17.6  6.3  0.009999-99.9-99.9-99.9-99.9-9.9 9910.3 73  7.4 -99-99.9-9.9-9.9
5285920120411 14.7  6.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.1 73  5.4 -99-99.9-9.9-9.9
5285920120412 13.0  2.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.0 72  1.9 -99-99.9-9.9-9.9
5285920120413 14.5  0.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.0 64  1.9 -99-99.9-9.9-9.9
5285920120414 11.6  3.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.6 68  0.9 -99-99.9-9.9-9.9
5285920120415 10.8  0.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.0 72  1.8 -99-99.9-9.9-9.9
5285920120416 13.4  2.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.9 83  3.5 -99-99.9-9.9-9.9
5285920120417 12.5  3.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.3 65  2.5 -99-99.9-9.9-9.9
5285920120418 10.8  2.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.1 70 -0.0 -99-99.9-9.9-9.9
5285920120419  8.9  0.6  9.619999-99.9-99.9-99.9-99.9-9.9 99 7.3 92  2.3 -99-99.9-9.9-9.9
5285920120420-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285920120510-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285920120511  8.5  1.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.3 87  2.4 -99-99.9-9.9-9.9
5285920120512  8.8  1.9  1.419999-99.9-99.9-99.9-99.9-9.9 99 7.8 81  3.3 -99-99.9-9.9-9.9
5285920120513 11.0  0.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.9 83  3.6 -99-99.9-9.9-9.9
5285920120514  9.4 -0.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.3 83  2.4 -99-99.9-9.9-9.9
5285920120515 10.6  2.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.1 88  5.5 -99-99.9-9.9-9.9
