5285320061105-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285320061106 11.6 -8.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.2 77 -2.5   7  5.2-9.9-9.9
5285320061107  9.4 -8.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.3 75 -2.1   9  7.1-9.9-9.9
5285320061108 12.3  1.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.3 77  2.4  13 10.1-9.9-9.9
5285320061109  9.0 -6.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.0 87 -0.7   6  4.6-9.9-9.9
5285320061110  9.9  2.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.4 71  2.6  12  9.2-9.9-9.9
5285320061111 10.4 -1.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.5 86  0.7   6  4.8-9.9-9.9
5285320061112 13.3 -6.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.9 68 -0.7   8  6.2-9.9-9.9
5285320061113 10.8 -8.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.4 72 -2.0   8  6.6-9.9-9.9
5285320061114  6.8 -4.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.5 84 -4.4  14 11.3-9.9-9.9
5285320061115  2.3-15.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 3.0 85 -9.9   5  4.1-9.9-9.9
5285320061116  4.0-15.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 3.0 82 -9.9   5  4.0-9.9-9.9
5285320061117  9.3-13.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.0 72 -3.4  14 11.2-9.9-9.9
5285320061118  8.1-10.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.7 80 -4.0   7  5.3-9.9-9.9
5285320061119  7.8-12.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 3.9 81 -6.7   5  4.0-9.9-9.9
5285320061120  4.1-13.2  0.219999-99.9-99.9-99.9-99.9-9.9 99 3.8 88 -6.8   5  4.2-9.9-9.9
5285320061121 10.3 -4.7  2.819999-99.9-99.9-99.9-99.9-9.9 99 7.4 94  2.2   6  5.0-9.9-9.9
5285320061122-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285320110530-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285320110614-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285320110811-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285320110812 10.7  1.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.9 68 -0.6 -99-99.9-9.9-9.9
5285320110813 11.8 -3.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.2 64 -2.1 -99-99.9-9.9-9.9
5285320110814 11.9 -0.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.7 57 -3.7 -99-99.9-9.9-9.9
5285320110815 10.4 -8.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.1 65 -5.6 -99-99.9-9.9-9.9
5285320110816 12.0 -5.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.8 65 -3.5 -99-99.9-9.9-9.9
5285320110817 11.3 -1.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.9 61 -3.1 -99-99.9-9.9-9.9
5285320110818  9.9 -1.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.7 56 -3.8 -99-99.9-9.9-9.9
5285320110819 12.8 -7.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 3.6 52 -7.0 -99-99.9-9.9-9.9
