5285620190927-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285620190928 22.5 10.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.0 36  1.9  16 12.9-9.9-9.9
5285620190929 15.4  6.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.0 37 -2.9  29 23.1-9.9-9.9
5285620190930 11.8  3.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.1 40 -5.6  20 15.8-9.9-9.9
5285620191001  8.3 -3.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 3.5 42 -7.4  14 11.5-9.9-9.9
5285620191002 13.6  1.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 3.8 35 -6.7  11  8.7-9.9-9.9
5285620191003 19.6 -3.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.2 34 -5.3  10  8.3-9.9-9.9
5285620191004 17.5  1.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.6 34 -4.0  23 18.5-9.9-9.9
5285620191005 16.7  3.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.8 36 -3.4  16 12.4-9.9-9.9
5285620191006 20.7  4.5  0.319999-99.9-99.9-99.9-99.9-9.9 99 6.1 50 -0.2  26 21.2-9.9-9.9
5285620191007 16.2  4.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.1 38 -2.5  32 25.7-9.9-9.9
5285620191008 16.5  6.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.3 40 -1.9  26 20.8-9.9-9.9
5285620191009 20.6  3.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.6 39 -1.4  24 19.3-9.9-9.9
5285620191010 20.4  7.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.9 41  1.6  22 17.9-9.9-9.9
5285620191011 20.0  3.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.4 50  2.6  15 12.1-9.9-9.9
5285620191012 16.9  4.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.8 37 -3.9  18 14.1-9.9-9.9
5285620191013 13.6  1.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 3.0 26 -9.7  12  9.4-9.9-9.9
5285620191014 15.6 -4.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 3.6 31 -7.2  13 10.3-9.9-9.9
5285620191015 11.7  4.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.9 55 -0.6  11  8.5-9.9-9.9
5285620191016 20.2  2.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.9 38 -0.7   8  6.1-9.9-9.9
5285620191017 20.4  2.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.0 38 -0.4  19 15.1-9.9-9.9
5285620191018 22.9  7.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.9 32 -0.6  18 14.3-9.9-9.9
5285620191019 30.3  6.5  0.919999-99.9-99.9-99.9-99.9-9.9 99 6.2 26  0.0  12  9.9-9.9-9.9
5285620191020 26.2 10.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.8 26 -0.8  19 14.9-9.9-9.9
5285620191021 17.9  6.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.6 29 -4.2  22 17.3-9.9-9.9
5285620191022 20.9  4.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.8 31 -3.5  11  9.1-9.9-9.9
5285620191023 24.0  0.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 3.7 20 -6.6   8  6.1-9.9-9.9
5285620191024 21.9  6.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.5 37 -2.3  17 13.3-9.9-9.9
5285620191025 23.0  6.8  0.619999-99.9-99.9-99.9-99.9-9.9 99 8.7 52  4.8  12  9.2-9.9-9.9
5285620191026 20.7  8.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.1 33 -0.5  20 16.2-9.9-9.9
