5293020140819-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5293020140820 33.4 10.2  0.009999-99.9-99.9-99.9-99.9-9.9 9912.0 47  9.7 -99-99.9-9.9-9.9
5293020140821 31.1 10.3  0.009999-99.9-99.9-99.9-99.9-9.9 9913.9 58 11.8 -99-99.9-9.9-9.9
5293020140822 20.2 12.4  0.009999-99.9-99.9-99.9-99.9-9.9 9915.6 99 13.6 -99-99.9-9.9-9.9
5293020140823 12.4  7.6  0.009999-99.9-99.9-99.9-99.9-9.9 9911.5 98  9.0 -99-99.9-9.9-9.9
5293020140824 13.9  5.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.0 74  5.4 -99-99.9-9.9-9.9
5293020140825 12.4  3.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.5 63  0.8 -99-99.9-9.9-9.9
5293020140826 16.0 -5.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.7 59 -3.8 -99-99.9-9.9-9.9
5293020140827 21.4 -9.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.8 50 -3.5 -99-99.9-9.9-9.9
5293020140828 22.4 -2.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.3 52  0.3 -99-99.9-9.9-9.9
5293020140829 25.6 -0.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.4 49  2.5 -99-99.9-9.9-9.9
5293020140830 29.8  4.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.3 47  4.2 -99-99.9-9.9-9.9
5293020140831 25.1  0.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.6 54  2.9 -99-99.9-9.9-9.9
5293020140901 30.2 14.2  0.009999-99.9-99.9-99.9-99.9-9.9 9910.3 47  7.2 -99-99.9-9.9-9.9
5293020140902 22.0  8.8  0.009999-99.9-99.9-99.9-99.9-9.9 9913.6 77 11.4 -99-99.9-9.9-9.9
5293020140903 25.5  9.7  0.819999-99.9-99.9-99.9-99.9-9.9 9915.3 75 13.3 -99-99.9-9.9-9.9
5293020140904 22.8 15.4  0.219999-99.9-99.9-99.9-99.9-9.9 9917.4 92 15.3 -99-99.9-9.9-9.9
5293020140905 16.8 10.7  1.819999-99.9-99.9-99.9-99.9-9.9 9915.3 99 13.2 -99-99.9-9.9-9.9
