5286420130606-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5286420130607 29.2  4.6  0.009999-99.9-99.9-99.9-99.9-9.9 9911.7 63  9.0 -99-99.9-9.9-9.9
5286420130608 21.9 14.8  0.009999-99.9-99.9-99.9-99.9-9.9 9912.8 62 10.6 -99-99.9-9.9-9.9
5286420130609 25.7 14.3  0.009999-99.9-99.9-99.9-99.9-9.9 9916.6 75 14.6 -99-99.9-9.9-9.9
5286420130610-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5286420140822-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5286420140823 37.8 19.9  0.009999-99.9-99.9-99.9-99.9-9.9 9920.2 61 17.4 -99-99.9-9.9-9.9
5286420140824 20.8 11.9  0.009999-99.9-99.9-99.9-99.9-9.9 9912.0 67  9.6 -99-99.9-9.9-9.9
5286420140825 20.9  5.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.1 53  3.9 -99-99.9-9.9-9.9
5286420140826 16.1  3.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.7 67  3.2 -99-99.9-9.9-9.9
5286420140827 21.8 -1.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.7 55  1.3 -99-99.9-9.9-9.9
5286420140828 24.7  4.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.8 52  3.3 -99-99.9-9.9-9.9
5286420140829 27.4  5.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.0 51  5.4 -99-99.9-9.9-9.9
5286420140830 32.2  9.8  0.009999-99.9-99.9-99.9-99.9-9.9 9912.7 51 10.3 -99-99.9-9.9-9.9
5286420140831 30.4 10.3  0.009999-99.9-99.9-99.9-99.9-9.9 9911.7 48  9.1 -99-99.9-9.9-9.9
5286420140901 33.9 11.7  0.009999-99.9-99.9-99.9-99.9-9.9 9917.1 60 14.8 -99-99.9-9.9-9.9
5286420140902 31.7 17.1  0.009999-99.9-99.9-99.9-99.9-9.9 9920.6 73 18.0 -99-99.9-9.9-9.9
5286420140903 31.3 14.9 30.519999-99.9-99.9-99.9-99.9-9.9 9918.6 72 16.3 -99-99.9-9.9-9.9
5286420140904 22.3 16.2  5.219999-99.9-99.9-99.9-99.9-9.9 9921.0 93 18.1 -99-99.9-9.9-9.9
5286420140905 24.9 18.8  7.219999-99.9-99.9-99.9-99.9-9.9 9924.3 97 20.5 -99-99.9-9.9-9.9
5286420140906 23.2 13.5  0.009999-99.9-99.9-99.9-99.9-9.9 9915.4 78 13.2 -99-99.9-9.9-9.9
5286420140907 28.2  7.5  0.009999-99.9-99.9-99.9-99.9-9.9 9912.6 62 10.3 -99-99.9-9.9-9.9
5286420140908 32.9 13.8  0.009999-99.9-99.9-99.9-99.9-9.9 9925.2 86 20.7 -99-99.9-9.9-9.9
5286420140909 32.4 14.6  0.519999-99.9-99.9-99.9-99.9-9.9 9920.4 77 16.2 -99-99.9-9.9-9.9
5286420140910 21.2 10.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.6 57  6.2 -99-99.9-9.9-9.9
5286420140911 23.7  5.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.4 60  6.1 -99-99.9-9.9-9.9
5286420140912 25.9 12.5  0.009999-99.9-99.9-99.9-99.9-9.9 9913.9 75 11.7 -99-99.9-9.9-9.9
5286420140913 16.9 12.7  0.819999-99.9-99.9-99.9-99.9-9.9 9916.5100 14.4 -99-99.9-9.9-9.9
5286420140914 22.5 13.1  0.219999-99.9-99.9-99.9-99.9-9.9 9916.4 94 14.2 -99-99.9-9.9-9.9
5286420140915 25.8  7.4  0.009999-99.9-99.9-99.9-99.9-9.9 9912.8 63 10.5 -99-99.9-9.9-9.9
5286420140916 28.6  8.2  0.009999-99.9-99.9-99.9-99.9-9.9 9912.9 62 10.7 -99-99.9-9.9-9.9
5286420140917 28.2 11.5  0.009999-99.9-99.9-99.9-99.9-9.9 9914.3 61 12.2 -99-99.9-9.9-9.9
5286420140918 26.0 12.3  0.009999-99.9-99.9-99.9-99.9-9.9 9915.3 74 13.2 -99-99.9-9.9-9.9
5286420140919 28.2 10.7  0.009999-99.9-99.9-99.9-99.9-9.9 9914.7 57 12.6 -99-99.9-9.9-9.9
5286420140920 28.5 11.1  0.009999-99.9-99.9-99.9-99.9-9.9 9913.7 56 11.6 -99-99.9-9.9-9.9
5286420140921 29.9  9.7  0.009999-99.9-99.9-99.9-99.9-9.9 9912.3 53  9.9 -99-99.9-9.9-9.9
5286420140922 30.7 12.0  0.009999-99.9-99.9-99.9-99.9-9.9 9914.4 55 12.4 -99-99.9-9.9-9.9
5286420140923 23.8 12.1  0.009999-99.9-99.9-99.9-99.9-9.9 9916.7 87 14.6 -99-99.9-9.9-9.9
5286420140924 28.6  9.2  0.009999-99.9-99.9-99.9-99.9-9.9 9911.9 62  9.4 -99-99.9-9.9-9.9
5286420140925 34.3 12.6  0.009999-99.9-99.9-99.9-99.9-9.9 9917.9 62 15.4 -99-99.9-9.9-9.9
5286420140926 24.6 12.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.9 46  6.7 -99-99.9-9.9-9.9
5286420140927 29.5 12.2  0.009999-99.9-99.9-99.9-99.9-9.9 9910.0 40  6.9 -99-99.9-9.9-9.9
5286420140928 32.4 16.6  0.009999-99.9-99.9-99.9-99.9-9.9 9923.2 80 19.6 -99-99.9-9.9-9.9
5286420140929 34.7 20.5  2.019999-99.9-99.9-99.9-99.9-9.9 9920.3 61 17.4 -99-99.9-9.9-9.9
5286420140930 26.6 18.1  1.519999-99.9-99.9-99.9-99.9-9.9 9919.2 82 16.8 -99-99.9-9.9-9.9
5286420141001 30.1 10.4  0.009999-99.9-99.9-99.9-99.9-9.9 9914.8 62 12.7 -99-99.9-9.9-9.9
5286420141002 30.6 15.9  2.219999-99.9-99.9-99.9-99.9-9.9 9916.0 59 14.0 -99-99.9-9.9-9.9
5286420141003 21.9 15.6  9.519999-99.9-99.9-99.9-99.9-9.9 9920.0100 17.5 -99-99.9-9.9-9.9
5286420141004 31.7 17.2 25.019999-99.9-99.9-99.9-99.9-9.9 9920.8 73 17.9 -99-99.9-9.9-9.9
5286420141005 19.7 15.4  0.819999-99.9-99.9-99.9-99.9-9.9 9917.1100 14.9 -99-99.9-9.9-9.9
5286420141006 29.9 11.9  0.009999-99.9-99.9-99.9-99.9-9.9 9916.5 80 13.8 -99-99.9-9.9-9.9
5286420141007 33.6 12.4  0.009999-99.9-99.9-99.9-99.9-9.9 9919.3 65 16.7 -99-99.9-9.9-9.9
