5289820190312-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289820190429 15.0  1.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.7 47 -3.6 -99-99.9-9.9-9.9
5289820190430 11.2 -2.9  0.519999-99.9-99.9-99.9-99.9-9.9 99 5.4 61 -1.9 -99-99.9-9.9-9.9
5289820190501 18.9  4.4  4.819999-99.9-99.9-99.9-99.9-9.9 99 9.2 64  5.6 -99-99.9-9.9-9.9
5289820190502 17.1  4.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.2 59  1.6 -99-99.9-9.9-9.9
5289820190503 13.4 -4.5  6.219999-99.9-99.9-99.9-99.9-9.9 99 7.3 81  1.8 -99-99.9-9.9-9.9
5289820190504 15.9  7.0  0.219999-99.9-99.9-99.9-99.9-9.9 99 9.5 78  6.1 -99-99.9-9.9-9.9
5289820190505 18.8  2.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.2 72  4.1 -99-99.9-9.9-9.9
5289820190506 15.2 -3.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.4 74  2.4 -99-99.9-9.9-9.9
5289820190507 19.9 -1.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.4 75  2.5 -99-99.9-9.9-9.9
5289820190508 17.7 -3.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.4 76  2.3 -99-99.9-9.9-9.9
5289820190509 17.9  1.8  0.219999-99.9-99.9-99.9-99.9-9.9 99 8.1 68  3.9 -99-99.9-9.9-9.9
5289820190510 17.0 -0.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.3 66  2.4 -99-99.9-9.9-9.9
5289820190511 16.4  6.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.4 68  6.0 -99-99.9-9.9-9.9
5289820190512 18.3  8.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.3 63  4.1 -99-99.9-9.9-9.9
5289820190513 18.6 -0.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.7 62 -1.2 -99-99.9-9.9-9.9
5289820190514 17.1 -4.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.2 69 -2.5 -99-99.9-9.9-9.9
5289820190515 18.2 -5.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.9 66 -0.7 -99-99.9-9.9-9.9
5289820190516 13.6  0.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.6 85  3.0 -99-99.9-9.9-9.9
5289820190517 15.5  0.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.1 66  2.0 -99-99.9-9.9-9.9
5289820190518 12.7 -1.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.9 67 -0.5 -99-99.9-9.9-9.9
5289820190519 12.0 -2.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.0 71 -0.4 -99-99.9-9.9-9.9
5289820190520-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289820190822-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289820190823 13.0  2.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.7 76  3.2 -99-99.9-9.9-9.9
5289820190824 15.9 -1.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.8 69  1.4 -99-99.9-9.9-9.9
5289820190825 16.1 -1.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.7 75  1.2 -99-99.9-9.9-9.9
5289820190826 13.4  4.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.3 57  0.2 -99-99.9-9.9-9.9
5289820190827 16.8 -2.5  3.519999-99.9-99.9-99.9-99.9-9.9 99 7.2 70  1.8 -99-99.9-9.9-9.9
5289820190828  9.9  0.5  7.019999-99.9-99.9-99.9-99.9-9.9 99 7.0 83  1.7 -99-99.9-9.9-9.9
5289820190829 12.4  0.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.1 65 -0.0 -99-99.9-9.9-9.9
5289820190830 12.2  1.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.5 61 -1.6 -99-99.9-9.9-9.9
5289820190831 12.6 -3.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.6 49 -3.9 -99-99.9-9.9-9.9
5289820190901 12.9 -8.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.0 50 -5.7 -99-99.9-9.9-9.9
5289820190902  8.8 -4.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 3.1 42 -8.9 -99-99.9-9.9-9.9
5289820190903-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289820191025-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289820191026 18.6  6.9  0.219999-99.9-99.9-99.9-99.9-9.9 99 6.9 47  1.3 -99-99.9-9.9-9.9
5289820191027 18.4  0.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.2 40 -2.3 -99-99.9-9.9-9.9
5289820191028 17.0  3.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.0 50 -0.3 -99-99.9-9.9-9.9
5289820191029 17.0 -0.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.6 48 -1.1 -99-99.9-9.9-9.9
5289820191030 21.2 -0.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.8 33 -3.3 -99-99.9-9.9-9.9
5289820191031 22.7 -1.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.5 31 -4.2 -99-99.9-9.9-9.9
5289820191101 19.3  3.8  0.519999-99.9-99.9-99.9-99.9-9.9 99 6.7 52  1.2 -99-99.9-9.9-9.9
5289820191102 23.8 -0.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.4 33 -1.7 -99-99.9-9.9-9.9
5289820191103 23.5  5.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.6 36 -1.3 -99-99.9-9.9-9.9
5289820191104 16.9  2.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.9 36 -3.1 -99-99.9-9.9-9.9
5289820191105 25.3  2.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.1 35 -0.0 -99-99.9-9.9-9.9
5289820191106 22.1  6.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.5 40  0.8 -99-99.9-9.9-9.9
5289820191107 23.9  5.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.4 26 -4.9 -99-99.9-9.9-9.9
5289820191108 25.3  2.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 3.6 20 -7.2 -99-99.9-9.9-9.9
