5271320151016-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5271320151017 22.4 13.8  0.009999-99.9-99.9-99.9-99.9-9.9 9911.5 61  9.1 -99-99.9-9.9-9.9
5271320151018 23.1 10.2  0.009999-99.9-99.9-99.9-99.9-9.9 9912.3 60 10.0 -99-99.9-9.9-9.9
5271320151019 24.7 15.7  0.009999-99.9-99.9-99.9-99.9-9.9 9918.8 79 16.2 -99-99.9-9.9-9.9
5271320151020 27.4 16.2  0.009999-99.9-99.9-99.9-99.9-9.9 9919.5 78 17.0 -99-99.9-9.9-9.9
5271320151021 28.0 13.6  0.009999-99.9-99.9-99.9-99.9-9.9 9916.6 62 14.6 -99-99.9-9.9-9.9
5271320151022 28.3 16.2  0.009999-99.9-99.9-99.9-99.9-9.9 9916.7 59 14.6 -99-99.9-9.9-9.9
5271320151023 27.7 16.5  0.009999-99.9-99.9-99.9-99.9-9.9 9917.5 65 15.4 -99-99.9-9.9-9.9
5271320151024 23.0 15.0 28.819999-99.9-99.9-99.9-99.9-9.9 9917.6 78 15.5 -99-99.9-9.9-9.9
5271320151025 19.1 15.6  6.819999-99.9-99.9-99.9-99.9-9.9 9918.9 99 16.6 -99-99.9-9.9-9.9
5271320151026 24.8 18.1  1.019999-99.9-99.9-99.9-99.9-9.9 9922.3 93 19.2 -99-99.9-9.9-9.9
5271320151027 31.8 17.6  0.009999-99.9-99.9-99.9-99.9-9.9 9923.0 72 19.7 -99-99.9-9.9-9.9
5271320151028 31.4 19.2  0.009999-99.9-99.9-99.9-99.9-9.9 9922.7 67 19.5 -99-99.9-9.9-9.9
5271320151029 34.8 19.6 47.219999-99.9-99.9-99.9-99.9-9.9 9923.9 64 20.3 -99-99.9-9.9-9.9
5271320151030 27.1 17.9  0.009999-99.9-99.9-99.9-99.9-9.9 9921.0 81 18.3 -99-99.9-9.9-9.9
5271320151031 25.3 18.1  0.009999-99.9-99.9-99.9-99.9-9.9 9920.4 82 17.8 -99-99.9-9.9-9.9
5271320151101 23.9 15.5  0.009999-99.9-99.9-99.9-99.9-9.9 9917.0 68 14.9 -99-99.9-9.9-9.9
5271320151102 23.2 15.0  0.009999-99.9-99.9-99.9-99.9-9.9 9917.3 74 15.2 -99-99.9-9.9-9.9
5271320151103 23.2 18.2 41.819999-99.9-99.9-99.9-99.9-9.9 9920.4 80 17.8 -99-99.9-9.9-9.9
5271320151104 21.2 17.8 29.019999-99.9-99.9-99.9-99.9-9.9 9920.7 97 18.1 -99-99.9-9.9-9.9
5271320151105 23.4 15.8  0.009999-99.9-99.9-99.9-99.9-9.9 9918.4 82 16.2 -99-99.9-9.9-9.9
5271320151106 26.6 13.6  0.009999-99.9-99.9-99.9-99.9-9.9 9916.9 72 14.8 -99-99.9-9.9-9.9
5271320151107 28.3 13.9  0.009999-99.9-99.9-99.9-99.9-9.9 9915.3 57 13.2 -99-99.9-9.9-9.9
5271320151108 30.2 14.7  0.009999-99.9-99.9-99.9-99.9-9.9 9918.5 65 16.2 -99-99.9-9.9-9.9
5271320151109 33.4 18.7 52.519999-99.9-99.9-99.9-99.9-9.9 9926.0 70 21.6 -99-99.9-9.9-9.9
5271320151110 28.5 21.1  5.519999-99.9-99.9-99.9-99.9-9.9 9926.4 95 22.0 -99-99.9-9.9-9.9
5271320151111 29.5 22.1 26.519999-99.9-99.9-99.9-99.9-9.9 9926.4 83 22.0 -99-99.9-9.9-9.9
5271320151112 32.1 22.7  1.819999-99.9-99.9-99.9-99.9-9.9 9930.5 83 24.3 -99-99.9-9.9-9.9
5271320151113 27.7 17.9  0.009999-99.9-99.9-99.9-99.9-9.9 9920.1 79 17.5 -99-99.9-9.9-9.9
5271320151114 28.7 15.4  0.009999-99.9-99.9-99.9-99.9-9.9 9919.2 66 16.8 -99-99.9-9.9-9.9
5271320151115 29.3 18.6  0.009999-99.9-99.9-99.9-99.9-9.9 9919.2 59 16.8 -99-99.9-9.9-9.9
5271320151116 29.7 21.8  2.519999-99.9-99.9-99.9-99.9-9.9 9924.0 80 20.4 -99-99.9-9.9-9.9
5271320151117 32.0 20.2  4.519999-99.9-99.9-99.9-99.9-9.9 9926.1 81 21.8 -99-99.9-9.9-9.9
5271320151118 32.8 22.0 55.819999-99.9-99.9-99.9-99.9-9.9 9925.0 73 21.1 -99-99.9-9.9-9.9
5271320151119 25.9 16.9  8.819999-99.9-99.9-99.9-99.9-9.9 9919.7 83 17.1 -99-99.9-9.9-9.9
5271320151120 23.4 11.6  0.009999-99.9-99.9-99.9-99.9-9.9 9914.4 74 12.3 -99-99.9-9.9-9.9
5271320151121 25.9 12.4  0.009999-99.9-99.9-99.9-99.9-9.9 9916.5 66 14.5 -99-99.9-9.9-9.9
5271320151122 29.1 16.0  0.009999-99.9-99.9-99.9-99.9-9.9 9919.0 62 16.7 -99-99.9-9.9-9.9
5271320151123 29.5 17.5  0.009999-99.9-99.9-99.9-99.9-9.9 9918.3 58 16.1 -99-99.9-9.9-9.9
5271320151124 28.0 17.5  0.009999-99.9-99.9-99.9-99.9-9.9 9918.7 67 16.4 -99-99.9-9.9-9.9
5271320151125 31.3 18.5  0.009999-99.9-99.9-99.9-99.9-9.9 9921.6 63 18.7 -99-99.9-9.9-9.9
