5283020121029-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5283020121030-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 77-99.9 -99-99.9-9.9-9.9
5283020121031 25.5 15.1  0.009999-99.9 14.8-99.9-99.9-9.9 9917.9 75 15.8   6  4.4-9.9-9.9
5283020121101 28.6 13.0  0.009999-99.9 11.8-99.9-99.9-9.9 9918.2 69 15.9   3  2.2-9.9-9.9
5283020121102 31.9 13.4  0.009999-99.9 12.7-99.9-99.9-9.9 9917.3 56 15.2   2  1.3-9.9-9.9
5283020121103 31.9 14.3  0.009999-99.9 13.5-99.9-99.9-9.9 9916.1 46 14.0   3  2.2-9.9-9.9
5283020121104 32.3 14.7  0.009999-99.9 14.1-99.9-99.9-9.9 9918.6 54 16.2   2  1.3-9.9-9.9
5283020121105 35.1 15.8  0.009999-99.9 14.8-99.9-99.9-9.9 9919.3 48 16.9   3  2.0-9.9-9.9
5283020121106 36.3 18.6  0.009999-99.9 17.4-99.9-99.9-9.9 9919.0 43 16.5   4  3.0-9.9-9.9
5283020121107 34.7 16.5  0.009999-99.9 15.7-99.9-99.9-9.9 9918.3 45 16.0   6  4.5-9.9-9.9
5283020121108 35.9 18.8  0.009999-99.9 18.1-99.9-99.9-9.9 9918.9 48 16.5  11  9.1-9.9-9.9
5283020121109 32.5 18.4 29.219999-99.9 17.6-99.9-99.9-9.9 9924.1 81 20.4  11  9.2-9.9-9.9
5283020121110 19.6 15.7-99.999999-99.9 15.1-99.9-99.9-9.9 9919.4 99 17.0 -99-99.9-9.9-9.9
5283020121111-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5283020121112-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 61-99.9 -99-99.9-9.9-9.9
5283020121113 26.2 10.4  0.009999-99.9  9.6-99.9-99.9-9.9 9914.3 60 12.3   6  4.6-9.9-9.9
