5291720061029-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5291720061102-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5291720061103 17.0 10.8-99.999999-99.9-99.9-99.9-99.9-9.9 99 9.2 69  5.1   4  3.0-9.9-9.9
5291720061104-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5291720061205-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5291720061206-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5291720210916-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5291720210917 22.4 12.8  0.219999-99.9-99.9-99.9-99.9-9.9 9917.9 91 15.6 -99-99.9-9.9-9.9
5291720210918 26.8 16.4  0.009999-99.9-99.9-99.9-99.9-9.9 9921.2 86 18.4 -99-99.9-9.9-9.9
5291720210919 38.7 18.7  0.009999-99.9-99.9-99.9-99.9-9.9 9923.6 63 20.1 -99-99.9-9.9-9.9
5291720210920 30.2 20.8  0.819999-99.9-99.9-99.9-99.9-9.9 9922.3 80 19.1 -99-99.9-9.9-9.9
5291720210921 22.8 14.8  0.219999-99.9-99.9-99.9-99.9-9.9 9913.2 63 10.8 -99-99.9-9.9-9.9
5291720210922 23.3  9.6  0.009999-99.9-99.9-99.9-99.9-9.9 9913.0 69 10.8 -99-99.9-9.9-9.9
5291720210923 26.0 15.0  0.009999-99.9-99.9-99.9-99.9-9.9 9914.9 64 12.9 -99-99.9-9.9-9.9
5291720210924 25.8 10.1  0.009999-99.9-99.9-99.9-99.9-9.9 9913.8 67 11.7 -99-99.9-9.9-9.9
5291720210925 27.8  9.0  0.009999-99.9-99.9-99.9-99.9-9.9 9913.7 65 11.6 -99-99.9-9.9-9.9
5291720210926 32.3 11.1  0.009999-99.9-99.9-99.9-99.9-9.9 9914.4 59 12.4 -99-99.9-9.9-9.9
5291720210927 36.0 12.6  0.819999-99.9-99.9-99.9-99.9-9.9 9917.6 62 15.4 -99-99.9-9.9-9.9
5291720210928 24.5 19.5  0.519999-99.9-99.9-99.9-99.9-9.9 9922.9 98 19.6 -99-99.9-9.9-9.9
5291720210929 26.6 16.9  0.519999-99.9-99.9-99.9-99.9-9.9 9921.1 82 18.3 -99-99.9-9.9-9.9
5291720210930 32.6 17.7  0.219999-99.9-99.9-99.9-99.9-9.9 9923.4 70 19.9 -99-99.9-9.9-9.9
5291720211001 26.1 18.5  0.009999-99.9-99.9-99.9-99.9-9.9 9920.2 78 17.6 -99-99.9-9.9-9.9
5291720211002 30.2 15.6  0.009999-99.9-99.9-99.9-99.9-9.9 9921.4 80 18.5 -99-99.9-9.9-9.9
5291720211003 22.5 14.8  0.009999-99.9-99.9-99.9-99.9-9.9 9913.9 61 11.3 -99-99.9-9.9-9.9
5291720211004 23.4 10.2  0.219999-99.9-99.9-99.9-99.9-9.9 99 9.5 44  6.0 -99-99.9-9.9-9.9
5291720211005 24.7  7.2  0.009999-99.9-99.9-99.9-99.9-9.9 9911.1 48  8.4 -99-99.9-9.9-9.9
5291720211006 25.6 17.5  0.009999-99.9-99.9-99.9-99.9-9.9 9915.4 61 13.4 -99-99.9-9.9-9.9
5291720211007 25.8 12.7  0.009999-99.9-99.9-99.9-99.9-9.9 9913.3 58 11.1 -99-99.9-9.9-9.9
5291720211008 28.0 15.1  0.009999-99.9-99.9-99.9-99.9-9.9 9914.5 56 12.4 -99-99.9-9.9-9.9
5291720211009 26.1 16.0  0.819999-99.9-99.9-99.9-99.9-9.9 9918.8 75 16.5 -99-99.9-9.9-9.9
5291720211010 28.5 19.5  0.219999-99.9-99.9-99.9-99.9-9.9 9922.8 82 19.6 -99-99.9-9.9-9.9
5291720211011 29.1 18.3  0.009999-99.9-99.9-99.9-99.9-9.9 9919.5 76 17.0 -99-99.9-9.9-9.9
5291720211012 32.0 12.9  0.009999-99.9-99.9-99.9-99.9-9.9 9916.0 57 13.9 -99-99.9-9.9-9.9
5291720211013 35.6 15.6  4.019999-99.9-99.9-99.9-99.9-9.9 9919.7 67 17.2 -99-99.9-9.9-9.9
5291720211014 26.3 15.6  2.219999-99.9-99.9-99.9-99.9-9.9 9920.8 82 18.1 -99-99.9-9.9-9.9
5291720211015-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5291720211026-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5291720211027 36.6 14.7  0.009999-99.9-99.9-99.9-99.9-9.9 9916.1 38 14.0 -99-99.9-9.9-9.9
5291720211028 37.1 16.5  0.009999-99.9-99.9-99.9-99.9-9.9 9916.3 44 14.1 -99-99.9-9.9-9.9
5291720211029 37.5 18.3  0.009999-99.9-99.9-99.9-99.9-9.9 9919.3 50 16.7 -99-99.9-9.9-9.9
5291720211030 35.7 19.2  0.519999-99.9-99.9-99.9-99.9-9.9 9924.3 65 20.6 -99-99.9-9.9-9.9
5291720211031 36.3 19.8  0.009999-99.9-99.9-99.9-99.9-9.9 9921.2 53 18.3 -99-99.9-9.9-9.9
5291720211101 36.9 19.1  0.009999-99.9-99.9-99.9-99.9-9.9 9922.1 54 19.0 -99-99.9-9.9-9.9
5291720211102 36.0 20.8  3.519999-99.9-99.9-99.9-99.9-9.9 9923.5 71 20.0 -99-99.9-9.9-9.9
5291720211103 30.1 18.6-99.999999-99.9-99.9-99.9-99.9-9.9 9923.6 84 20.2 -99-99.9-9.9-9.9
5291720211104-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5291720211126-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5291720211127 32.0 17.0  3.819999-99.9-99.9-99.9-99.9-9.9 9921.9 65 18.9 -99-99.9-9.9-9.9
5291720211128 26.9 18.9  3.219999-99.9-99.9-99.9-99.9-9.9 9922.5 82 19.3 -99-99.9-9.9-9.9
5291720211129 29.0 16.3  0.009999-99.9-99.9-99.9-99.9-9.9 9917.2 60 15.1 -99-99.9-9.9-9.9
5291720211130 30.5 15.7  0.009999-99.9-99.9-99.9-99.9-9.9 9915.6 49 13.6 -99-99.9-9.9-9.9
5291720211201 31.6 15.2  0.009999-99.9-99.9-99.9-99.9-9.9 9916.4 44 14.3 -99-99.9-9.9-9.9
5291720211202 31.2 16.9  0.009999-99.9-99.9-99.9-99.9-9.9 9919.2 60 16.8 -99-99.9-9.9-9.9
5291720211203 31.8 15.6  0.009999-99.9-99.9-99.9-99.9-9.9 9917.7 54 15.6 -99-99.9-9.9-9.9
5291720211204 31.2 18.3  0.009999-99.9-99.9-99.9-99.9-9.9 9920.3 63 17.7 -99-99.9-9.9-9.9
5291720211205 32.8 18.2  0.009999-99.9-99.9-99.9-99.9-9.9 9921.1 57 18.3 -99-99.9-9.9-9.9
5291720211206 32.9 20.7  0.009999-99.9-99.9-99.9-99.9-9.9 9920.2 57 17.6 -99-99.9-9.9-9.9
5291720211207 32.6 18.6  0.009999-99.9-99.9-99.9-99.9-9.9 9919.7 57 17.2 -99-99.9-9.9-9.9
5291720211208 34.4 18.9  0.009999-99.9-99.9-99.9-99.9-9.9 9919.1 55 16.7 -99-99.9-9.9-9.9
5291720211209 33.0 17.7  0.009999-99.9-99.9-99.9-99.9-9.9 9917.2 51 15.1 -99-99.9-9.9-9.9
5291720211210 33.8 18.1  0.009999-99.9-99.9-99.9-99.9-9.9 9918.8 51 16.5 -99-99.9-9.9-9.9
5291720211211 30.1 19.9  1.519999-99.9-99.9-99.9-99.9-9.9 9922.1 73 19.0 -99-99.9-9.9-9.9
5291720211212 32.7 20.6  2.019999-99.9-99.9-99.9-99.9-9.9 9924.9 81 21.0 -99-99.9-9.9-9.9
5291720211213 24.8 21.1  1.019999-99.9-99.9-99.9-99.9-9.9 9925.3 99 21.3 -99-99.9-9.9-9.9
5291720211214 28.7 21.0  0.519999-99.9-99.9-99.9-99.9-9.9 9926.5 86 22.0 -99-99.9-9.9-9.9
5291720211215 31.8 20.7  0.009999-99.9-99.9-99.9-99.9-9.9 9924.0 72 20.4 -99-99.9-9.9-9.9
5291720211216 32.9 19.1  0.009999-99.9-99.9-99.9-99.9-9.9 9921.5 57 18.6 -99-99.9-9.9-9.9
5291720211217 32.2 18.3  0.009999-99.9-99.9-99.9-99.9-9.9 9920.5 58 17.9 -99-99.9-9.9-9.9
5291720211218 35.1 19.4  0.009999-99.9-99.9-99.9-99.9-9.9 9923.3 64 19.9 -99-99.9-9.9-9.9
5291720211219 37.8 20.3  0.009999-99.9-99.9-99.9-99.9-9.9 9927.2 65 22.4 -99-99.9-9.9-9.9
5291720211220 33.3 24.6  0.009999-99.9-99.9-99.9-99.9-9.9 9928.7 81 23.3 -99-99.9-9.9-9.9
5291720211221 37.1 20.0  0.009999-99.9-99.9-99.9-99.9-9.9 9926.7 70 22.1 -99-99.9-9.9-9.9
5291720211222 33.4 22.0  0.009999-99.9-99.9-99.9-99.9-9.9 9925.1 63 21.1 -99-99.9-9.9-9.9
5291720211223 33.2 17.8  0.009999-99.9-99.9-99.9-99.9-9.9 9917.2 48 14.9 -99-99.9-9.9-9.9
5291720211224 34.4 15.0  0.009999-99.9-99.9-99.9-99.9-9.9 9917.6 51 15.4 -99-99.9-9.9-9.9
5291720211225 36.0 16.4  0.009999-99.9-99.9-99.9-99.9-9.9 9917.6 48 15.4 -99-99.9-9.9-9.9
5291720211226 35.3 20.7  0.009999-99.9-99.9-99.9-99.9-9.9 9915.6 46 13.1 -99-99.9-9.9-9.9
5291720211227 41.6 17.2  0.009999-99.9-99.9-99.9-99.9-9.9 9911.6 24-99.9 -99-99.9-9.9-9.9
5291720211228-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9 -99-99.9-9.9-9.9
5291720211229-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9 -99-99.9-9.9-9.9
5291720211230-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9 -99-99.9-9.9-9.9
5291720211231-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9 -99-99.9-9.9-9.9
5291720220101-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9 -99-99.9-9.9-9.9
5291720220102-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9 -99-99.9-9.9-9.9
5291720220103-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9 -99-99.9-9.9-9.9
5291720220104-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9 -99-99.9-9.9-9.9
5291720220105-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9 -99-99.9-9.9-9.9
5291720220106-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9 -99-99.9-9.9-9.9
5291720220107-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9 -99-99.9-9.9-9.9
5291720220108-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 0.2  0-99.9 -99-99.9-9.9-9.9
5291720220109-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9 -99-99.9-9.9-9.9
5291720220110-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9 -99-99.9-9.9-9.9
5291720220111-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9 -99-99.9-9.9-9.9
5291720220112-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9 -99-99.9-9.9-9.9
5291720220113-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9 -99-99.9-9.9-9.9
5291720220114-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9 -99-99.9-9.9-9.9
5291720220115-99.9-99.9  1.519999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9 -99-99.9-9.9-9.9
5291720220116-99.9-99.9  0.219999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9 -99-99.9-9.9-9.9
5291720220117-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9 -99-99.9-9.9-9.9
5291720220118-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9 -99-99.9-9.9-9.9
5291720220119-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9 -99-99.9-9.9-9.9
5291720220120-99.9-99.9  0.219999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9 -99-99.9-9.9-9.9
5291720220121-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9 -99-99.9-9.9-9.9
5291720220122-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9 -99-99.9-9.9-9.9
5291720220123-99.9-99.9  1.019999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9 -99-99.9-9.9-9.9
5291720220124-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9 -99-99.9-9.9-9.9
