5295720151202-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5295720151203 32.7 22.2  0.009999-99.9-99.9-99.9-99.9 4.1 3028.8 81 23.4   6  4.715.1 7.5
5295720151204 35.8 23.0  0.009999-99.9-99.9-99.9-99.9 4.7 3528.3 69 23.1   7  5.516.211.2
5295720151205 27.9 22.5  0.519999-99.9-99.9-99.9-99.9-9.9 9923.2 73 19.6   6  4.8 6.7-9.9
5295720151206 35.4 20.0  0.009999-99.9-99.9-99.9-99.9 9.7 7118.0 46 15.6   6  4.925.016.6
5295720151207 36.1 17.3  0.009999-99.9-99.9-99.9-99.9 9.9 7216.7 41 14.7   7  5.925.320.0
5295720151208 38.6 20.6  0.009999-99.9-99.9-99.9-99.9 9.2 6719.7 41 17.1  11  8.924.1-9.9
5295720151209 33.9 20.6  2.219999-99.9-99.9-99.9-99.9 1.5 1124.2 72 20.5  10  8.010.514.0
5295720151210 35.1 16.1  0.009999-99.9-99.9-99.9-99.910.5 7618.6 48 16.2   4  3.226.412.2
5295720151211 38.4 20.0  0.009999-99.9-99.9-99.9-99.9 9.0 6621.6 46 18.7   7  5.823.818.5
5295720151212 40.6 24.1 17.219999-99.9-99.9-99.9-99.9 8.9 6526.0 48 21.7  11  9.123.7-9.9
5295720151213 34.5 19.9  0.219999-99.9-99.9-99.9-99.9 7.7 5625.5 68 21.4  13 10.321.521.7
5295720151214 35.4 23.2  0.009999-99.9-99.9-99.9-99.9 5.1 3725.5 71 21.4   8  6.716.913.0
5295720151215 34.2 19.9  0.009999-99.9-99.9-99.9-99.9 7.1 5223.1 60 19.8   8  6.620.414.6
5295720151216 36.9 19.4  0.009999-99.9-99.9-99.9-99.9 4.9 3625.1 56 21.1   8  6.716.614.4
5295720151217 42.4 28.4  0.009999-99.9-99.9-99.9-99.910.1 7323.6 37 19.9  15 12.325.7-9.9
5295720151218 36.1 25.5  0.009999-99.9-99.9-99.9-99.9 6.3 4623.8 58 20.3  13 10.219.1-9.9
5295720151219 30.7 19.9  0.009999-99.9-99.9-99.9-99.9 0.1  117.5 55 15.3  10  7.8 8.116.3
5295720151220 32.7 21.9  0.009999-99.9-99.9-99.9-99.9 2.6 1921.9 61 18.7   6  4.812.511.0
5295720151221 35.2 24.3  0.009999-99.9-99.9-99.9-99.9 2.6 1926.1 60 21.8   7  5.812.512.4
5295720151222 40.2 28.3  0.009999-99.9-99.9-99.9-99.9 5.0 3725.5 44 21.3  12  9.916.8-9.9
5295720151223 39.0 28.9 11.219999-99.9-99.9-99.9-99.9 3.4 2525.9 49 21.7  10  8.214.023.0
5295720151224 31.4 22.1  2.019999-99.9-99.9-99.9-99.9 2.1 1626.5 83 22.0   8  6.411.7 8.3
5295720151225 34.7 19.7  0.009999-99.9-99.9-99.9-99.9 7.3 5325.3 64 21.3   5  3.820.810.3
5295720151226 37.0 23.9  0.009999-99.9-99.9-99.9-99.9 6.5 4728.0 60 23.0   8  6.019.514.7
5295720151227 39.7 26.1  0.009999-99.9-99.9-99.9-99.9 7.0 5129.4 58 23.7   8  6.120.417.2
5295720151228 36.0 25.4  1.219999-99.9-99.9-99.9-99.9 1.6 1130.2 77 24.2   9  6.810.711.3
5295720151229 39.0 24.7  0.009999-99.9-99.9-99.9-99.9 5.5 4028.9 63 23.4   4  3.617.710.5
5295720151230 43.5 24.6 44.019999-99.9-99.9-99.9-99.910.1 7325.5 42 21.2   7  5.825.721.3
5295720151231 33.5 21.9 22.219999-99.9-99.9-99.9-99.9-9.9 9926.9 97 22.3   9  7.4 2.4-9.9
5295720160101 36.0 20.4  0.009999-99.9-99.9-99.9-99.910.2 7426.2 69 21.8   3  2.625.9 9.8
5295720160102 38.2 25.6  0.009999-99.9-99.9-99.9-99.9 8.8 6428.8 56 23.4   8  6.123.517.0
5295720160103 38.6 22.9  5.819999-99.9-99.9-99.9-99.9 4.1 3030.0 76 24.1   7  5.615.212.0
5295720160104 35.2 23.3  0.009999-99.9-99.9-99.9-99.9 4.4 3229.7 79 23.9   6  4.915.7 8.5
