5271020140416-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5271020140417 24.9 10.4  0.009999-99.9-99.9-99.9-99.9-9.9 9915.8 87 13.7   2  1.2-9.9-9.9
5271020140418 23.5  5.9  0.009999-99.9-99.9-99.9-99.9-9.9 9912.0 80  9.5   1  1.0-9.9-9.9
5271020140419 24.6  5.5  0.009999-99.9-99.9-99.9-99.9-9.9 9912.6 78 10.1   1  0.6-9.9-9.9
5271020140420 23.9  9.5  2.019999-99.9-99.9-99.9-99.9-9.9 9915.2 84 13.1   1  0.6-9.9-9.9
5271020140421 24.4 10.9  0.219999-99.9-99.9-99.9-99.9-9.9 9916.9 87 14.7   1  0.8-9.9-9.9
5271020140422 22.4  7.8  0.009999-99.9-99.9-99.9-99.9-9.9 9913.1 85 10.9   1  0.9-9.9-9.9
5271020140423 24.5  6.0  0.009999-99.9-99.9-99.9-99.9-9.9 9912.8 83 10.4   1  0.7-9.9-9.9
5271020140424 25.2  7.3  0.009999-99.9-99.9-99.9-99.9-9.9 9914.4 83 12.1   1  0.8-9.9-9.9
5271020140425-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 9914.7 88 12.6 -99-99.9-9.9-9.9
5271020140426 22.3  6.6  0.009999-99.9-99.9-99.9-99.9-9.9 9912.7 84 10.3   2  1.6-9.9-9.9
5271020140427 23.7  9.7  0.009999-99.9-99.9-99.9-99.9-9.9 9916.0 83 13.8   2  2.0-9.9-9.9
5271020140428 25.7 12.2  0.009999-99.9-99.9-99.9-99.9-9.9 9917.9 85 15.7   1  1.1-9.9-9.9
5271020140429 18.3 14.1 35.519999-99.9-99.9-99.9-99.9-9.9 9919.1100 16.7   3  2.0-9.9-9.9
5271020140430 19.4 15.6  0.009999-99.9-99.9-99.9-99.9-9.9 9918.5 96 16.2   3  2.5-9.9-9.9
5271020140501 22.6 11.3  0.009999-99.9-99.9-99.9-99.9-9.9 9915.5 85 13.4   3  2.3-9.9-9.9
5271020140502 24.9  9.0  0.009999-99.9-99.9-99.9-99.9-9.9 9917.1 91 14.7   2  1.2-9.9-9.9
5271020140503 21.0 12.0  0.009999-99.9-99.9-99.9-99.9-9.9 9918.7 94 16.3   1  0.5-9.9-9.9
5271020140504 22.9 13.9  0.009999-99.9-99.9-99.9-99.9-9.9 9918.1 93 15.8   1  1.1-9.9-9.9
5271020140505 18.6 11.5  0.009999-99.9-99.9-99.9-99.9-9.9 9917.5 98 15.4   1  1.1-9.9-9.9
5271020140506 24.0 12.5  0.009999-99.9-99.9-99.9-99.9-9.9 9916.8 88 14.7   2  1.5-9.9-9.9
5271020140507 21.8 10.5  0.009999-99.9-99.9-99.9-99.9-9.9 9916.1 95 14.0   1  0.6-9.9-9.9
5271020140508 15.6 11.0  0.009999-99.9-99.9-99.9-99.9-9.9 9915.2 95 13.2   3  2.5-9.9-9.9
5271020140509 20.7 10.7  0.009999-99.9-99.9-99.9-99.9-9.9 9914.5 89 12.5   2  1.3-9.9-9.9
5271020140510 22.1  9.9  1.819999-99.9-99.9-99.9-99.9-9.9 9914.7 81 12.7   2  1.7-9.9-9.9
5271020140511 16.2 13.6  6.219999-99.9-99.9-99.9-99.9-9.9 9916.7100 14.6   1  0.7-9.9-9.9
5271020140512 21.0 14.3  0.009999-99.9-99.9-99.9-99.9-9.9 9917.6 95 15.4   0  0.4-9.9-9.9
5271020140513 24.5 10.8  0.009999-99.9-99.9-99.9-99.9-9.9 9916.4 86 14.3   1  1.0-9.9-9.9
5271020140514 22.9 10.2 15.519999-99.9-99.9-99.9-99.9-9.9 9917.9 93 15.5   1  0.9-9.9-9.9
5271020140515 22.8 15.0  0.009999-99.9-99.9-99.9-99.9-9.9 9919.0 94 16.6   2  1.8-9.9-9.9
5271020140516 21.6  8.1  0.219999-99.9-99.9-99.9-99.9-9.9 9914.9 87 12.8   2  1.7-9.9-9.9
5271020140517 17.9  9.0  0.009999-99.9-99.9-99.9-99.9-9.9 9911.5 70  8.7   4  3.1-9.9-9.9
5271020140518 18.7  3.7  0.819999-99.9-99.9-99.9-99.9-9.9 9911.2 86  8.5   2  1.2-9.9-9.9
5271020140519 16.8  9.3  0.219999-99.9-99.9-99.9-99.9-9.9 9913.1 90 10.9   1  0.7-9.9-9.9
5271020140520 14.6  6.7 42.019999-99.9-99.9-99.9-99.9-9.9 9912.7100 10.4   4  2.9-9.9-9.9
5271020140521 13.5 10.6 19.819999-99.9-99.9-99.9-99.9-9.9 9914.6 98 12.6   5  4.2-9.9-9.9
5271020140522 14.8  8.4  0.009999-99.9-99.9-99.9-99.9-9.9 9912.2 93  9.8   6  5.0-9.9-9.9
5271020140523 13.9  4.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.4 86  5.9   3  2.6-9.9-9.9
5271020140524 18.2  1.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.4 86  5.8   2  1.4-9.9-9.9
5271020140525 19.5  2.8  0.009999-99.9-99.9-99.9-99.9-9.9 9910.8 87  7.9   2  1.3-9.9-9.9
5271020140526 18.7  5.0  0.009999-99.9-99.9-99.9-99.9-9.9 9911.1 88  8.4   2  1.5-9.9-9.9
5271020140527 17.0  3.5  0.009999-99.9-99.9-99.9-99.9-9.9 9910.7 92  7.7   1  1.0-9.9-9.9
5271020140528 20.2  2.8  0.009999-99.9-99.9-99.9-99.9-9.9 9912.1 90  9.4   3  2.3-9.9-9.9
5271020140529 20.5  8.0  0.009999-99.9-99.9-99.9-99.9-9.9 9913.2 79 11.0   5  3.8-9.9-9.9
5271020140530 16.4 14.1  5.519999-99.9-99.9-99.9-99.9-9.9 9916.3100 14.3   2  1.6-9.9-9.9
5271020140531 18.0  8.9  0.009999-99.9-99.9-99.9-99.9-9.9 9914.8 93 12.6   2  1.6-9.9-9.9
5271020140601 21.1  4.3  0.009999-99.9-99.9-99.9-99.9-9.9 9910.4 82  7.4   2  1.5-9.9-9.9
5271020140602 21.8  2.7  0.009999-99.9-99.9-99.9-99.9-9.9 9910.8 83  7.9   1  1.1-9.9-9.9
5271020140603 21.1  6.5  0.009999-99.9-99.9-99.9-99.9-9.9 9911.4 74  8.9   5  4.0-9.9-9.9
5271020140604 17.5  8.9  0.219999-99.9-99.9-99.9-99.9-9.9 9913.2 91 11.0   4  2.9-9.9-9.9
5271020140605 17.9  6.0  0.009999-99.9-99.9-99.9-99.9-9.9 9910.8 80  8.0   4  3.2-9.9-9.9
5271020140606 17.3  1.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.8 82  6.5   1  1.2-9.9-9.9
5271020140607 18.6  5.2  0.009999-99.9-99.9-99.9-99.9-9.9 9912.2 90  9.8   2  1.9-9.9-9.9
5271020140608 19.4  0.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.1 72  5.4   2  1.3-9.9-9.9
5271020140609 21.1  4.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.6 76  6.4   2  1.6-9.9-9.9
5271020140610 21.1  4.0  3.519999-99.9-99.9-99.9-99.9-9.9 9910.5 72  7.5   3  2.5-9.9-9.9
5271020140611 18.8 10.1 17.019999-99.9-99.9-99.9-99.9-9.9 9916.4 99 14.0   7  5.6-9.9-9.9
5271020140612 23.9 12.1 17.219999-99.9-99.9-99.9-99.9-9.9 9918.0 94 15.6   9  7.3-9.9-9.9
5271020140613 14.8  4.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.6 86  6.2   3  2.4-9.9-9.9
5271020140614 16.0 -0.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.4 84  4.3   2  1.4-9.9-9.9
5271020140615 17.4  3.2  0.219999-99.9-99.9-99.9-99.9-9.9 9912.8 94 10.3   2  1.9-9.9-9.9
5271020140616 19.3  5.9  0.009999-99.9-99.9-99.9-99.9-9.9 9911.9 83  9.3   3  2.3-9.9-9.9
5271020140617 16.9  1.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.3 82  5.9   2  1.5-9.9-9.9
5271020140618 14.1  0.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.7 83  3.1   2  1.4-9.9-9.9
5271020140619 15.5 -2.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.0 83  1.6   2  1.2-9.9-9.9
5271020140620 17.6 -0.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.2 82  4.0   2  1.3-9.9-9.9
5271020140621 17.3  3.7  0.219999-99.9-99.9-99.9-99.9-9.9 9910.3 77  7.3   3  2.3-9.9-9.9
5271020140622 18.2 11.5  0.519999-99.9-99.9-99.9-99.9-9.9 9915.1 94 13.1   2  1.7-9.9-9.9
5271020140623 18.1 11.7  0.009999-99.9-99.9-99.9-99.9-9.9 9917.3 99 15.2   1  0.8-9.9-9.9
5271020140624 17.7  7.7  0.009999-99.9-99.9-99.9-99.9-9.9 9912.0 90  9.5   2  1.4-9.9-9.9
5271020140625 17.1  5.7  0.009999-99.9-99.9-99.9-99.9-9.9 9911.9 92  9.4   2  1.8-9.9-9.9
5271020140626 17.6  6.4  0.009999-99.9-99.9-99.9-99.9-9.9 9911.1 85  8.4   2  2.0-9.9-9.9
5271020140627 18.7  3.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.3 82  5.8   1  1.1-9.9-9.9
5271020140628 18.5 -0.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.3 80  4.1   1  1.1-9.9-9.9
5271020140629 16.1  0.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.8 86  4.9   1  1.1-9.9-9.9
5271020140630 15.8  1.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.8 88  4.9   1  1.1-9.9-9.9
5271020140701 10.4  0.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.0 99  3.5   1  0.9-9.9-9.9
5271020140702 17.7 -1.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.3 79  5.4   2  1.4-9.9-9.9
5271020140703 18.9  3.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.1 78  5.6   2  1.6-9.9-9.9
5271020140704 18.4  2.4  5.219999-99.9-99.9-99.9-99.9-9.9 9912.0 93  9.2   5  3.8-9.9-9.9
5271020140705 14.0 10.1  5.519999-99.9-99.9-99.9-99.9-9.9 9913.7 99 11.5   8  6.3-9.9-9.9
5271020140706 10.2  2.8  0.519999-99.9-99.9-99.9-99.9-9.9 99 9.3 98  5.9   4  3.5-9.9-9.9
5271020140707 20.5  1.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.8 74  5.1   2  1.9-9.9-9.9
5271020140708 17.7  2.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.8 87  6.5   2  1.4-9.9-9.9
