5282420061107-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5282420061214-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5282420101110-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5282420101111 19.4  4.6  0.009999-99.9-99.9-99.9-99.9-9.9 9911.5 78  8.9 -99-99.9-9.9-9.9
5282420101112 22.9  7.7  0.009999-99.9-99.9-99.9-99.9-9.9 9913.8 82 11.7 -99-99.9-9.9-9.9
5282420101113 25.7 10.4  0.009999-99.9-99.9-99.9-99.9-9.9 9914.7 66 12.7 -99-99.9-9.9-9.9
5282420101114 22.9 11.5  0.009999-99.9-99.9-99.9-99.9-9.9 9914.5 81 12.5 -99-99.9-9.9-9.9
5282420101115 21.1 12.6  0.009999-99.9-99.9-99.9-99.9-9.9 9915.6 84 13.6 -99-99.9-9.9-9.9
5282420101116 21.1 11.4  0.009999-99.9-99.9-99.9-99.9-9.9 9915.5 85 13.5 -99-99.9-9.9-9.9
5282420101117 23.2 10.7  0.009999-99.9-99.9-99.9-99.9-9.9 9914.9 82 12.9 -99-99.9-9.9-9.9
5282420101118 25.0  9.9  0.009999-99.9-99.9-99.9-99.9-9.9 9914.6 75 12.6 -99-99.9-9.9-9.9
5282420101119 29.4 11.1-99.999999-99.9-99.9-99.9-99.9-9.9 9916.6 67 14.5 -99-99.9-9.9-9.9
5282420101120 28.8 13.7-99.999999-99.9-99.9-99.9-99.9-9.9 9918.5 68 16.1 -99-99.9-9.9-9.9
5282420101121 28.2 15.1-99.999999-99.9-99.9-99.9-99.9-9.9 9919.5 84 17.1 -99-99.9-9.9-9.9
5282420101122 21.3 11.0-99.999999-99.9-99.9-99.9-99.9-9.9 9911.4 63  8.6 -99-99.9-9.9-9.9
5282420101123 25.8  5.5-99.999999-99.9-99.9-99.9-99.9-9.9 9912.2 55  9.6 -99-99.9-9.9-9.9
5282420101124 27.7 14.0-99.999999-99.9-99.9-99.9-99.9-9.9 9915.8 73 13.6 -99-99.9-9.9-9.9
5282420101125 26.2 10.2-99.999999-99.9-99.9-99.9-99.9-9.9 9914.0 66 11.8 -99-99.9-9.9-9.9
5282420101126 27.8 12.2-99.999999-99.9-99.9-99.9-99.9-9.9 9918.7 83 16.3 -99-99.9-9.9-9.9
5282420101127 20.4 10.5-99.999999-99.9-99.9-99.9-99.9-9.9 9916.0 92 13.8 -99-99.9-9.9-9.9
5282420101128 18.7  5.8-99.999999-99.9-99.9-99.9-99.9-9.9 99 9.8 65  6.7 -99-99.9-9.9-9.9
5282420101129 27.4  4.4-99.999999-99.9-99.9-99.9-99.9-9.9 9912.8 70 10.4 -99-99.9-9.9-9.9
