5292120131217-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5292120131218 35.8 22.7  0.009999-99.9-99.9-99.9-99.9-9.9 9925.5 55 21.3 -99-99.9-9.9-9.9
5292120131219 34.9 23.3  0.009999-99.9-99.9-99.9-99.9-9.9 9926.8 62 22.2 -99-99.9-9.9-9.9
5292120131220 34.2 22.7  0.009999-99.9-99.9-99.9-99.9-9.9 9925.5 64 21.4 -99-99.9-9.9-9.9
5292120131221 34.8 24.5  0.009999-99.9-99.9-99.9-99.9-9.9 9926.2 61 21.9 -99-99.9-9.9-9.9
5292120131222 36.2 24.5  0.009999-99.9-99.9-99.9-99.9-9.9 9925.6 55 21.3 -99-99.9-9.9-9.9
5292120131223 34.2 21.6  0.009999-99.9-99.9-99.9-99.9-9.9 9923.3 59 19.9 -99-99.9-9.9-9.9
5292120131224 36.7 20.5  0.009999-99.9-99.9-99.9-99.9-9.9 9923.1 53 19.7 -99-99.9-9.9-9.9
5292120131225 38.6 23.4  0.009999-99.9-99.9-99.9-99.9-9.9 9924.7 52 20.8 -99-99.9-9.9-9.9
5292120131226 37.8 24.9  0.009999-99.9-99.9-99.9-99.9-9.9 9927.9 58 22.9 -99-99.9-9.9-9.9
5292120131227 35.2 25.1  0.009999-99.9-99.9-99.9-99.9-9.9 9928.6 68 23.3 -99-99.9-9.9-9.9
5292120131228 36.6 23.4  0.009999-99.9-99.9-99.9-99.9-9.9 9929.3 66 23.7 -99-99.9-9.9-9.9
5292120131229 36.6 23.5  0.009999-99.9-99.9-99.9-99.9-9.9 9929.3 67 23.7 -99-99.9-9.9-9.9
5292120131230 36.7 25.0  0.009999-99.9-99.9-99.9-99.9-9.9 9929.3 61 23.7 -99-99.9-9.9-9.9
5292120131231 37.1 25.3  0.009999-99.9-99.9-99.9-99.9-9.9 9931.0 73 24.6 -99-99.9-9.9-9.9
5292120140101 35.6 25.0  3.519999-99.9-99.9-99.9-99.9-9.9 9930.8 69 24.5 -99-99.9-9.9-9.9
5292120140102 37.9 22.5 60.519999-99.9-99.9-99.9-99.9-9.9 9928.9 71 23.4 -99-99.9-9.9-9.9
5292120140103 26.5 21.0  0.219999-99.9-99.9-99.9-99.9-9.9 9924.9 85 21.0 -99-99.9-9.9-9.9
5292120140104 30.6 19.5  0.009999-99.9-99.9-99.9-99.9-9.9 9919.9 60 17.3 -99-99.9-9.9-9.9
5292120140105 33.5 19.2  0.009999-99.9-99.9-99.9-99.9-9.9 9923.1 57 19.7 -99-99.9-9.9-9.9
5292120140106 36.0 24.1  0.009999-99.9-99.9-99.9-99.9-9.9 9928.8 63 23.4 -99-99.9-9.9-9.9
5292120140107 36.1 23.2 29.819999-99.9-99.9-99.9-99.9-9.9 9927.1 64 22.4 -99-99.9-9.9-9.9
5292120140108 33.1 20.7  0.009999-99.9-99.9-99.9-99.9-9.9 9926.0 74 21.7 -99-99.9-9.9-9.9
5292120140109 34.7 22.1  0.009999-99.9-99.9-99.9-99.9-9.9 9928.8 67 23.4 -99-99.9-9.9-9.9
5292120140110 36.2 25.3 22.519999-99.9-99.9-99.9-99.9-9.9 9929.3 66 23.7 -99-99.9-9.9-9.9
5292120140111 29.0 19.5 20.019999-99.9-99.9-99.9-99.9-9.9 9925.2 97 21.2 -99-99.9-9.9-9.9
5292120140112 28.5 20.4  0.009999-99.9-99.9-99.9-99.9-9.9 9924.9 81 21.0 -99-99.9-9.9-9.9
5292120140113 31.4 20.6  0.009999-99.9-99.9-99.9-99.9-9.9 9924.6 74 20.8 -99-99.9-9.9-9.9
5292120140114 33.6 21.4  0.009999-99.9-99.9-99.9-99.9-9.9 9924.6 64 20.7 -99-99.9-9.9-9.9
5292120140115 33.6 22.0  0.009999-99.9-99.9-99.9-99.9-9.9 9926.1 68 21.7 -99-99.9-9.9-9.9
5292120140116 35.7 22.2  0.009999-99.9-99.9-99.9-99.9-9.9 9926.1 61 21.7 -99-99.9-9.9-9.9
5292120140117 36.3 22.8  0.009999-99.9-99.9-99.9-99.9-9.9 9928.0 66 22.9 -99-99.9-9.9-9.9
