5296820250616  3.3 -0.5  0.009999-99.9-99.9-99.9-99.9 1.5 20 6.6100  1.1  12 10.0 1.8 0.4
5296820250617  4.0 -1.1  0.009999-99.9-99.9-99.9-99.9 2.6 33 6.3 97  0.4  21 16.7 2.3 1.0
5296820250618  3.0 -4.0  1.019999-99.9-99.9-99.9-99.9-9.9 99 6.3 95  0.3  23 18.1 0.9-9.9
5296820250619  5.3  0.6  0.009999-99.9-99.9-99.9-99.9 2.8 36 7.1 96  2.0  18 14.7 2.3 1.7
5296820250620  4.2 -0.9  0.009999-99.9-99.9-99.9-99.9 0.6  7 5.9 82 -0.5  24 19.1 1.4 5.3
5296820250621  6.3  0.0  0.009999-99.9-99.9-99.9-99.9 1.4 19 6.7 89  1.1  27 21.3 1.7 6.7
5296820250622  4.7 -1.2  2.219999-99.9-99.9-99.9-99.9 4.4 57 6.1 90  0.1  24 19.2 3.1 2.1
5296820250623  7.5 -0.2  0.009999-99.9-99.9-99.9-99.9 1.3 17 7.5 96  2.8  20 15.8 1.7 0.2
5296820250624  3.0 -1.7  0.009999-99.9-99.9-99.9-99.9 1.3 17 5.9 96 -0.6  19 15.4 1.7 1.9
5296820250625 -0.5 -4.5  0.009999-99.9-99.9-99.9-99.9 5.1 66 5.2100 -2.3  30 23.6 3.4 0.2
5296820250626  0.4 -4.3  0.009999-99.9-99.9-99.9-99.9 2.6 34 5.1 99 -2.4  20 15.7 2.3 0.0
5296820250627  1.4 -4.9  0.009999-99.9-99.9-99.9-99.9 3.0 39 5.3 99 -2.1  18 14.7 2.5 0.1
5296820250628  0.6 -6.6  0.009999-99.9-99.9-99.9-99.9 5.0 65 4.5 98 -4.3  12  9.7 3.4 0.6
5296820250629 -2.1-11.9  0.009999-99.9-99.9-99.9-99.9 5.2 66 3.0 82 -9.4  13 10.1 3.5 1.7
5296820250630  2.3 -8.9  0.009999-99.9-99.9-99.9-99.9 3.3 42 4.0 80 -6.1   9  6.9 2.6 1.2
5296820250701  1.1 -4.3  0.009999-99.9-99.9-99.9-99.9 3.3 43 5.2 96 -2.1  10  7.8 2.7 0.3
5296820250702  4.1 -2.4  1.519999-99.9-99.9-99.9-99.9 1.2 15 6.6 96  1.0   9  6.8 1.7 0.0
5296820250703  4.3  0.2  0.009999-99.9-99.9-99.9-99.9 4.1 53 6.8100  1.5  14 11.5 3.0 0.4
5296820250704  3.9 -3.2  0.009999-99.9-99.9-99.9-99.9 5.0 63 6.0 93 -0.4  14 11.2 3.4 0.9
5296820250705  0.4 -7.6  0.009999-99.9-99.9-99.9-99.9 5.2 65 4.5 99 -4.4   6  4.7 3.6 0.5
5296820250706 -0.9 -8.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.0100 -3.0   4  3.4 0.9-9.9
5296820250707  1.5 -6.6  0.219999-99.9-99.9-99.9-99.9 0.2  3 5.4 98 -2.0  16 12.4 1.3 0.0
5296820250708  4.6 -2.8  0.009999-99.9-99.9-99.9-99.9 2.7 34 6.0 90 -0.2  18 14.1 2.5 0.9
5296820250709  9.6  0.0  0.009999-99.9-99.9-99.9-99.9 3.5 44 6.9 84  1.7  22 17.7 2.9 5.5
5296820250710 10.6  1.1  0.009999-99.9-99.9-99.9-99.9 1.2 14 7.5 96  2.8  33 26.1 1.8 7.9
5296820250711  4.8 -0.8  0.009999-99.9-99.9-99.9-99.9 2.5 30 5.7 76 -0.9  26 21.1 2.4 6.9
5296820250712 10.2 -0.6  0.009999-99.9-99.9-99.9-99.9 4.6 56 6.4 76  0.6  28 22.6 3.5 7.9
5296820250713  7.0 -1.1  0.009999-99.9-99.9-99.9-99.9 4.1 50 5.7 73 -1.0  20 15.7 3.3 7.3
5296820250714  4.2 -0.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.2100  2.2  12  9.5 0.5-9.9
5296820250715  6.8  0.8  0.009999-99.9-99.9-99.9-99.9 2.9 36 6.8 93  1.4  19 15.0 2.8 3.5
5296820250716  8.7 -1.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.0 81  1.8  21 16.8 0.9-9.9
5296820250717  5.9 -0.6  0.009999-99.9-99.9-99.9-99.9 1.0 12 6.0 84 -0.4  19 15.0 1.9 4.7
5296820250718  4.8 -1.0  6.019999-99.9-99.9-99.9-99.9-9.9 99 6.6 96  1.0  12  9.4 0.3-9.9
