5P00020211101  0.0  0.0  5.019900  0.0  0.0-99.9-99.9 0.0  0 0.0  0  0.0   0  0.0 0.0 0.0
5P00020211101-99.9-99.9 10.019999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5P00020211128-99.9-99.9  7.019900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
