5044519680901 14.4  7.4  0.009900  7.5-99.9-99.9-99.9-9.9 99 6.4 56  0.6   7  5.6-9.9-9.9
5044519680902 21.7 -0.8  0.009900 -4.0-99.9-99.9-99.9-9.9 99 6.3 51  0.4   4  3.2-9.9-9.9
5044519680903 20.7  0.8  0.009900 -2.2-99.9-99.9-99.9-9.9 99 7.2 55  2.3   7  5.6-9.9-9.9
5044519680904 29.1  5.4  0.009900  2.2-99.9-99.9-99.9-9.9 99 6.1 28  0.0   9  7.2-9.9-9.9
5044519680905 30.7  6.2  0.009900  1.8-99.9-99.9-99.9-9.9 99 5.6 27 -1.2   6  4.8-9.9-9.9
5044519680906 33.3  1.7  0.009900  2.5-99.9-99.9-99.9-9.9 99 8.0 33  3.8   4  3.2-9.9-9.9
5044519680907 33.7  7.7  0.009900  3.5-99.9-99.9-99.9-9.9 99 8.3 35  4.3   6  4.8-9.9-9.9
5044519680908 36.2 13.7  0.009900  7.8-99.9-99.9-99.9-9.9 99 6.9 22  1.7  22 17.6-9.9-9.9
5044519680909 18.2 10.8  0.009900  9.5-99.9-99.9-99.9-9.9 99 3.1 21 -9.0  16 12.8-9.9-9.9
5044519680910 18.7  2.4  0.009900  1.2-99.9-99.9-99.9-9.9 99 4.5 34 -4.1   6  4.8-9.9-9.9
5044519680911 14.0  4.5  0.009900 -0.4-99.9-99.9-99.9-9.9 99 3.8 35 -6.4  33 26.4-9.9-9.9
5044519680912  8.1 -1.2  0.009900  1.5-99.9-99.9-99.9-9.9 99 6.3 68  0.4   4  3.2-9.9-9.9
5044519680913 11.7  3.9  0.009900  3.7-99.9-99.9-99.9-9.9 99 6.8 65  1.5   6  4.8-9.9-9.9
5044519680914 16.4  0.9  0.009900 -2.0-99.9-99.9-99.9-9.9 99 6.5 50  0.9   4  3.2-9.9-9.9
5044519680915 18.8  7.7  0.009900  5.3-99.9-99.9-99.9-9.9 99 7.5 51  2.9   4  3.2-9.9-9.9
5044519680916 20.7  2.5  0.009900 -0.5-99.9-99.9-99.9-9.9 99 8.6 62  4.8   4  3.2-9.9-9.9
5044519680917 23.5  4.7  0.009900  1.3-99.9-99.9-99.9-9.9 99 8.3 48  4.3   7  5.6-9.9-9.9
5044519680918 18.3  9.3  0.009900  5.4-99.9-99.9-99.9-9.9 99 7.7 55  3.2  24 19.2-9.9-9.9
5044519680919 18.7  7.8  0.009900  6.9-99.9-99.9-99.9-9.9 99 6.8 50  1.5   7  5.6-9.9-9.9
5044519680920 22.9  1.0  0.009900 -2.2-99.9-99.9-99.9-9.9 99 6.5 40  0.9   6  4.8-9.9-9.9
5044519680921 28.3  3.3  0.009900  0.1-99.9-99.9-99.9-9.9 99 7.6 38  3.0   6  4.8-9.9-9.9
5044519680922 28.2  5.4  0.009900  2.3-99.9-99.9-99.9-9.9 99 7.0 34  1.9   9  7.2-9.9-9.9
5044519680923 26.0  8.5  0.009900  4.2-99.9-99.9-99.9-9.9 99 7.4 30  2.7  13 10.4-9.9-9.9
5044519680924 25.2  9.4  0.009900  5.6-99.9-99.9-99.9-9.9 9910.9 50  8.2  11  8.8-9.9-9.9
5044519680925 21.7  9.1  0.009900  8.1-99.9-99.9-99.9-9.9 9910.3 58  7.4   9  7.2-9.9-9.9
5044519680926 20.7  8.7  0.009900  8.2-99.9-99.9-99.9-9.9 9911.1 61  8.5   6  4.8-9.9-9.9
5044519680927 23.1 13.3  0.009900 13.0-99.9-99.9-99.9-9.9 9912.0 56  9.7  13 10.4-9.9-9.9
5044519680928 21.4 10.2  0.009900  7.6-99.9-99.9-99.9-9.9 9910.7 56  8.0   7  5.6-9.9-9.9
5044519680929 26.1  8.5  0.009900  3.5-99.9-99.9-99.9-9.9 99 9.6 47  6.4   6  4.8-9.9-9.9
5044519680930 30.9  9.2  0.009900  5.3-99.9-99.9-99.9-9.9 99 9.2 35  5.8   6  4.8-9.9-9.9
5044519681001 25.5  9.1  0.009999-99.9-99.9-99.9-99.9 0.0  010.0 47  7.0  20 16.0 6.2 3.9
5044519681002 23.0 11.2  0.009999-99.9-99.9-99.9-99.9 0.0  0 7.8 41  3.4  10  8.0 6.3 3.2
5044519681003 22.8  6.4  0.009999-99.9-99.9-99.9-99.9 0.0  010.2 62  7.3   6  4.8 6.3 2.1
5044519681004 22.9  8.0  0.009999-99.9-99.9-99.9-99.9 0.0  0 9.9 54  6.8  70 56.0 6.4 7.6
5044519681005 25.4  9.0  0.009999-99.9-99.9-99.9-99.9 0.0  0 9.1 46  5.6   9  7.2 6.4 2.9
5044519681006 24.3 14.8  0.009999-99.9-99.9-99.9-99.9 0.0  0 9.0 41  5.4  30 24.0 6.4 6.1
5044519681007 25.8 10.1  0.009999-99.9-99.9-99.9-99.9 0.0  0 9.8 48  6.7  83 66.4 6.510.9
5044519681008 29.5  8.6  0.009999-99.9-99.9-99.9-99.9 0.0  010.8 46  8.1   6  4.8 6.5 2.7
5044519681009 29.4 12.0  0.009999-99.9-99.9-99.9-99.9 0.0  014.5 59 12.5  15 12.0 6.5 3.3
5044519681010 26.5 14.8  0.009999-99.9-99.9-99.9-99.9 0.0  014.6 64 12.6   6  4.8 6.6 2.5
5044519681011 29.2 13.9  0.009999-99.9-99.9-99.9-99.9 0.0  025.1 61 21.2   6  4.8 6.6 1.5
5044519681012 31.5 14.7  0.009999-99.9-99.9-99.9-99.9 0.0  015.1 54 13.1   6  4.8 6.7 2.8
5044519681013 29.2 14.9  0.009999-99.9-99.9-99.9-99.9 0.0  014.2 55 12.2  15 12.0 6.7 3.7
5044519681014 29.2 12.8  0.009999-99.9-99.9-99.9-99.9 0.0  015.0 54 13.0   8  6.4 6.7 2.7
5044519681015 22.7 13.9  0.009999-99.9-99.9-99.9-99.9 0.0  012.1 59  9.8  24 19.2 6.8 4.1
5044519681016 17.5 11.4  0.009999-99.9-99.9-99.9-99.9 0.0  0 9.3 59  5.9   8  6.4 6.8 2.4
5044519681017 21.1  6.3  0.009999-99.9-99.9-99.9-99.9 0.0  0 8.3 54  4.3   7  5.6 6.8 2.4
5044519681018 24.0  4.1  0.009999-99.9-99.9-99.9-99.9 0.0  0 7.9 50  3.6   4  3.2 6.9 2.3
5044519681019 26.9  5.5  0.009999-99.9-99.9-99.9-99.9 0.0  0 7.8 43  3.4   3  2.4 6.9 2.4
5044519681020 29.7  8.3  0.009999-99.9-99.9-99.9-99.9 0.0  0 9.1 40  5.6   4  3.2 6.9 2.8
5044519681021 33.2 10.3  0.009999-99.9-99.9-99.9-99.9 0.0  010.3 39  7.4   5  4.0 7.0 3.1
5044519681022 34.4 13.3  0.009999-99.9-99.9-99.9-99.9 0.0  0 9.2 30  5.8  17 13.6 7.0 5.4
5044519681023 25.1 13.8  0.009999-99.9-99.9-99.9-99.9 0.0  0 6.8 31  1.5  14 11.2 7.0 4.5
5044519681024 23.4 12.7  0.009999-99.9-99.9-99.9-99.9 0.0  0 9.8 50  6.7  15 12.0 7.1 3.8
5044519681025 15.3 11.0  0.009999-99.9-99.9-99.9-99.9 0.0  010.2 68  7.3  14 11.2 7.1 2.5
5044519681026 18.1  9.8  0.009999-99.9-99.9-99.9-99.9 0.0  0 9.1 61  5.6  12  9.6 7.1 2.8
5044519681027 19.0 12.0  0.009999-99.9-99.9-99.9-99.9 0.0  010.6 64  7.8  16 12.8 7.2 3.1
5044519681028 20.7  9.0  0.009999-99.9-99.9-99.9-99.9 0.0  0 6.7 41  1.3   9  7.2 7.2 3.2
5044519681029 25.7  6.1  0.009999-99.9-99.9-99.9-99.9 0.0  0 7.9 46  3.6   4  3.2 7.2 2.6
5044519681030 29.5  7.6  0.009999-99.9-99.9-99.9-99.9 0.0  0 8.7 47  5.0   4  3.2 7.3 2.8
