5047519710101 25.9 17.2  0.009900 16.6-99.9-99.9-99.9 5.1 3720.3 80 17.7  16 12.816.9 4.1
5047519710102 26.9 17.8  0.009900 17.6-99.9-99.9-99.910.4 7620.1 73 17.6  11  8.826.3 5.6
5047519710103 28.4 16.6  0.009900 15.4-99.9-99.9-99.912.3 9021.0 68 18.3  11  8.829.6 6.1
5047519710104 29.3 17.0  1.219900 15.7-99.9-99.9-99.9 7.5 5520.5 86 17.9  14 11.221.1 5.1
5047519710105 27.3 14.4  0.009900 13.2-99.9-99.9-99.912.2 9016.6 63 14.6   9  7.229.5 5.8
5047519710106 27.6 14.2  0.009900 12.4-99.9-99.9-99.911.4 8418.1 64 15.9   6  4.828.0 5.4
5047519710107 27.4 17.7  0.009900 16.3-99.9-99.9-99.9 8.5 6319.2 69 16.9  12  9.622.9 5.3
5047519710108 28.5 16.9 12.919900 15.0-99.9-99.9-99.910.5 7719.8 73 17.3  11  8.826.4 5.7
5047519710109 23.0 15.4  0.009900 15.1-99.9-99.9-99.9 3.7 2718.7 85 16.4  11  8.814.4 3.2
5047519710110 24.0 12.5  2.219900 15.8-99.9-99.9-99.9 6.1 4516.9 87 14.9  14 11.218.6 3.9
5047519710111 19.6 11.8  0.009900 11.2-99.9-99.9-99.9 2.8 2114.7 83 12.7  17 13.612.8 2.9
5047519710112 25.7  9.8  0.009900  7.6-99.9-99.9-99.9 8.0 5912.3 59 10.0   7  5.622.0 4.4
5047519710113 27.8  9.9  0.009900  8.1-99.9-99.9-99.912.4 9213.0 51 10.9  11  8.829.8 5.8
5047519710114 28.2 11.4  0.009900  9.5-99.9-99.9-99.910.1 7514.7 55 12.7   9  7.225.7 5.2
5047519710115 30.5 14.1  0.009900 11.8-99.9-99.9-99.911.1 8217.3 57 15.2   6  4.827.4 5.5
5047519710116 29.4 18.4  5.219900 17.2-99.9-99.9-99.9 4.1 3020.6 77 18.0  11  8.815.0 4.1
5047519710117 29.6 17.2  4.819900 16.2-99.9-99.9-99.9 7.5 5620.1 67 17.6   6  4.821.0 4.7
5047519710118 30.0 17.4 18.619900 17.0-99.9-99.9-99.9 4.8 3621.2 75 18.4  12  9.616.3 4.3
5047519710119 26.9 17.7  0.009900 17.5-99.9-99.9-99.9 6.0 4522.4 82 19.3   7  5.618.4 3.9
5047519710120 31.7 17.7  0.119900 16.6-99.9-99.9-99.9 7.7 5724.0 73 20.4   6  4.821.3 4.8
5047519710121 31.9 19.2  7.619900 18.5-99.9-99.9-99.9 7.4 5524.2 80 20.6  11  8.820.8 5.1
5047519710122 28.2 18.7  0.009900 18.7-99.9-99.9-99.9 8.3 6221.7 78 18.8  15 12.022.4 5.3
5047519710123 29.5 19.6 17.219900 19.2-99.9-99.9-99.9 8.0 6024.0 77 20.4   6  4.821.8 4.8
5047519710124 23.5 17.4 20.319900 18.5-99.9-99.9-99.9 0.8  620.2 92 17.7  11  8.8 9.1 2.4
5047519710125 23.1 15.2 18.219900 14.2-99.9-99.9-99.9 2.3 1719.1 84 16.8  11  8.811.7 2.7
5047519710126 26.9 16.4 54.019900 17.2-99.9-99.9-99.9 4.7 3520.9 86 18.2  11  8.816.0 3.7
5047519710127 26.2 15.9  0.009900 15.5-99.9-99.9-99.9 5.7 4320.9 82 18.2   8  6.417.7 3.7
5047519710128 28.3 18.1  0.009900 17.6-99.9-99.9-99.9 7.8 5921.1 77 18.4  13 10.421.4 5.0
5047519710129 29.4 15.7  1.319900 14.8-99.9-99.9-99.910.4 7821.9 76 19.0   9  7.225.9 5.3
5047519710130 27.3 16.6  1.419900 15.7-99.9-99.9-99.9 9.1 6921.7 82 18.8  11  8.823.6 4.9
5047519710131 27.4 18.9  0.719900 18.7-99.9-99.9-99.9 9.1 6921.9 80 19.0  11  8.823.6 5.2
5047519710201 27.6 19.6  0.009900 19.3-99.9-99.9-99.9 7.9 6023.3 80 20.0  11  8.821.4 4.8
5047519710202 29.6 18.4  0.419900 17.2-99.9-99.9-99.9 5.9 4522.9 77 19.7   9  7.217.9 4.3
