5048519680901 11.8  5.4  0.009900 -1.5-99.9-99.9-99.9-9.9 99 6.7 63  1.3   4  3.2-9.9-9.9
5048519680902 18.5 -1.8  0.009900  0.9-99.9-99.9-99.9-9.9 99 6.3 54  0.4   4  3.2-9.9-9.9
5048519680903 22.0  1.2  0.009900 -1.5-99.9-99.9-99.9-9.9 99 6.8 49  1.5   1  0.8-9.9-9.9
5048519680904 30.3  3.6  0.009900  0.9-99.9-99.9-99.9-9.9 99 6.0 30 -0.2   4  3.2-9.9-9.9
5048519680905 29.6  5.2  0.009900  1.1-99.9-99.9-99.9-9.9 99 7.4 37  2.7   4  3.2-9.9-9.9
5048519680906 31.2  6.9  0.009900  4.4-99.9-99.9-99.9-9.9 99 8.1 37  3.9   6  4.8-9.9-9.9
5048519680907 31.2  8.8  0.009900  4.3-99.9-99.9-99.9-9.9 99 9.5 40  6.2   1  0.8-9.9-9.9
5048519680908 33.4  8.0  0.009900  4.2-99.9-99.9-99.9-9.9 99 7.4 47  2.7  19 15.2-9.9-9.9
5048519680909 15.8  4.5  0.009900  0.9-99.9-99.9-99.9-9.9 99 4.1 32 -5.4   9  7.2-9.9-9.9
5048519680910 18.8  1.8  0.009900 -1.0-99.9-99.9-99.9-9.9 99 4.0 33 -5.7   2  1.6-9.9-9.9
5048519680911 11.2  3.5  0.219900  2.8-99.9-99.9-99.9-9.9 99 4.5 50 -4.1  19 15.2-9.9-9.9
5048519680912  9.8  2.4  0.319900  1.5-99.9-99.9-99.9-9.9 99 6.4 72  0.6   4  3.2-9.9-9.9
5048519680913  8.6  3.2  0.009900  2.7-99.9-99.9-99.9-9.9 99 7.3 79  2.5   7  5.6-9.9-9.9
5048519680914 15.4  3.4  0.009900  1.8-99.9-99.9-99.9-9.9 99 6.9 56  1.7   4  3.2-9.9-9.9
5048519680915 18.5  1.4  0.009900 -1.2-99.9-99.9-99.9-9.9 99 7.3 59  2.5   4  3.2-9.9-9.9
5048519680916 22.4  1.3  0.009900 -1.3-99.9-99.9-99.9-9.9 99 7.8 53  3.4   7  5.6-9.9-9.9
5048519680917 23.8  2.7  0.009900  0.1-99.9-99.9-99.9-9.9 99 8.3 46  4.3   2  1.6-9.9-9.9
5048519680918 16.8  7.9  0.009900 10.5-99.9-99.9-99.9-9.9 99 8.3 73  4.3  13 10.4-9.9-9.9
5048519680919 19.5  5.5  0.009900  2.9-99.9-99.9-99.9-9.9 99 7.6 54  3.0   4  3.2-9.9-9.9
5048519680920 22.9  1.2  0.009900 -1.3-99.9-99.9-99.9-9.9 99 7.2 44  2.3   4  3.2-9.9-9.9
5048519680921 27.3  2.7  0.009900  0.0-99.9-99.9-99.9-9.9 99 7.4 37  2.7   7  5.6-9.9-9.9
5048519680922 29.8  5.7  0.009900  2.7-99.9-99.9-99.9-9.9 99 9.4 46  6.1   2  1.6-9.9-9.9
5048519680923 24.9 10.0  0.009900  7.2-99.9-99.9-99.9-9.9 99 8.9 42  5.3  11  8.8-9.9-9.9
5048519680924 19.8 13.7  0.009900  8.7-99.9-99.9-99.9-9.9 9912.5 69 10.3  11  8.8-9.9-9.9
5048519680925 19.8  8.3  0.009900  7.1-99.9-99.9-99.9-9.9 9911.0 68  8.4   6  4.8-9.9-9.9
5048519680926 17.4  6.9  0.009900  4.0-99.9-99.9-99.9-9.9 9912.4 74 10.1   2  1.6-9.9-9.9
5048519680927 21.3 12.1  0.619900 11.8-99.9-99.9-99.9-9.9 9912.7 73 10.5  19 15.2-9.9-9.9
5048519680928 20.1  7.0  0.009900  5.0-99.9-99.9-99.9-9.9 9910.7 71  8.0   4  3.2-9.9-9.9
5048519680929 26.5  4.5  0.009900  1.9-99.9-99.9-99.9-9.9 99 9.6 50  6.4   2  1.6-9.9-9.9
5048519680930 29.7  6.4  0.009900  4.3-99.9-99.9-99.9-9.9 9911.7 48  9.3   1  0.8-9.9-9.9
5048519681001 24.6 10.3  0.009900  7.4-99.9-99.9-99.9-9.9 99 8.6 38  4.8  26 20.8-9.9-9.9
5048519681002 21.0  7.2  0.009900  4.5-99.9-99.9-99.9-9.9 99 7.5 42  2.9  16 12.8-9.9-9.9
5048519681003 21.6  5.3  0.009900  2.1-99.9-99.9-99.9-9.9 99 9.8 61  6.7   4  3.2-9.9-9.9
5048519681004 21.6  7.4  0.009900  4.5-99.9-99.9-99.9-9.9 9910.3 58  7.4   6  4.8-9.9-9.9
5048519681005 23.9  9.3  0.009900  6.8-99.9-99.9-99.9-9.9 99 7.4 32  2.7  11  8.8-9.9-9.9
5048519681006 22.9 12.5  0.009900  5.9-99.9-99.9-99.9-9.9 9913.0 68 10.9   4  3.2-9.9-9.9
5048519681007 24.0  6.3  0.009900  4.0-99.9-99.9-99.9-9.9 99 8.5 42  4.6   6  4.8-9.9-9.9
5048519681008 28.4  5.9  0.009900  3.1-99.9-99.9-99.9-9.9 9910.6 42  7.8   7  5.6-9.9-9.9
5048519681009 26.8 13.9  0.319900 11.1-99.9-99.9-99.9-9.9 9914.7 63 12.7   7  5.6-9.9-9.9
5048519681010 25.7 14.6  0.009900 11.1-99.9-99.9-99.9-9.9 9913.8 64 11.8  11  8.8-9.9-9.9
5048519681011 27.8 13.5  0.009900 12.1-99.9-99.9-99.9-9.9 9915.5 61 13.5   6  4.8-9.9-9.9
5048519681012 31.1 15.1  0.009900 13.8-99.9-99.9-99.9-9.9 9914.5 49 12.5  11  8.8-9.9-9.9
5048519681013 27.2 14.5  8.519900 14.9-99.9-99.9-99.9-9.9 9914.4 54 12.4   9  7.2-9.9-9.9
5048519681014 26.5 10.3  0.619900  9.0-99.9-99.9-99.9-9.9 9915.6 67 13.6   7  5.6-9.9-9.9
5048519681015 21.1 10.2  1.519900 12.4-99.9-99.9-99.9-9.9 9911.8 71  9.4   8  6.4-9.9-9.9
5048519681016 16.2  7.1  0.009900  7.6-99.9-99.9-99.9-9.9 99 9.4 72  6.1   4  3.2-9.9-9.9
5048519681017 17.0  6.2  0.009900  4.0-99.9-99.9-99.9-9.9 99 9.2 65  5.8   9  7.2-9.9-9.9
5048519681018 23.0  4.7  0.009900  2.7-99.9-99.9-99.9-9.9 99 8.4 52  4.5   4  3.2-9.9-9.9
5048519681019 26.2  5.0  0.009900  2.2-99.9-99.9-99.9-9.9 99 8.8 42  5.1   1  0.8-9.9-9.9
5048519681020 28.6  6.5  0.009900  4.0-99.9-99.9-99.9-9.9 9910.9 48  8.2   6  4.8-9.9-9.9
5048519681021 31.5  8.6  0.009900  6.0-99.9-99.9-99.9-9.9 9911.5 44  9.0   4  3.2-9.9-9.9
5048519681022 30.2 10.0  0.009900  7.3-99.9-99.9-99.9-9.9 9910.5 37  7.7   7  5.6-9.9-9.9
5048519681023 23.5 12.0  0.009900 11.5-99.9-99.9-99.9-9.9 99 8.9 48  5.3   8  6.4-9.9-9.9
5048519681024 21.2  9.6  0.009900  7.7-99.9-99.9-99.9-9.9 9910.3 59  7.4  15 12.0-9.9-9.9
5048519681025 12.4  8.2  0.009900  8.1-99.9-99.9-99.9-9.9 99 9.9 79  6.8  15 12.0-9.9-9.9
5048519681026 14.0  7.4  0.009900  6.6-99.9-99.9-99.9-9.9 9910.1 75  7.1   7  5.6-9.9-9.9
5048519681027 17.8  9.1  0.009900  9.4-99.9-99.9-99.9-9.9 9910.7 70  8.0  12  9.6-9.9-9.9
5048519681028 20.0  6.8  0.009900  7.0-99.9-99.9-99.9-9.9 99 7.6 45  3.0   6  4.8-9.9-9.9
5048519681029 24.7  3.2  0.009900  0.2-99.9-99.9-99.9-9.9 99 8.3 45  4.3   6  4.8-9.9-9.9
5048519681030 28.2  6.1  0.009900  3.2-99.9-99.9-99.9-9.9 9910.5 43  7.7   1  0.8-9.9-9.9
5048519681031 31.4  9.4  0.009900  6.5-99.9-99.9-99.9-9.9 9913.8 50 11.8   6  4.8-9.9-9.9
5048519681101 28.2 13.6  0.009900 10.7-99.9-99.9-99.9-9.9 9914.4 53 12.4  14 11.2-9.9-9.9
5048519681102 23.2 12.0  0.009900 11.5-99.9-99.9-99.9-9.9 9910.0 52  7.0  11  8.8-9.9-9.9
5048519681103 18.9  9.8  0.009900  8.5-99.9-99.9-99.9-9.9 99 9.7 61  6.5  11  8.8-9.9-9.9
5048519681104 27.4  6.7  0.009900  5.0-99.9-99.9-99.9-9.9 9911.8 50  9.4   4  3.2-9.9-9.9
5048519681105 31.8 12.6  1.019900 12.2-99.9-99.9-99.9-9.9 9916.0 60 14.0  21 16.8-9.9-9.9
5048519681106 29.6 11.1  0.009900  8.3-99.9-99.9-99.9-9.9 9912.2 45  9.9   6  4.8-9.9-9.9
5048519681107 33.9  9.6  0.009900  6.4-99.9-99.9-99.9-9.9 9913.5 43 11.4   1  0.8-9.9-9.9
5048519681108 27.9 17.4  0.009900 15.6-99.9-99.9-99.9-9.9 9913.4 49 11.3   8  6.4-9.9-9.9
5048519681109 35.2 12.8  0.009900  9.5-99.9-99.9-99.9-9.9 9910.3 33  7.4   9  7.2-9.9-9.9
5048519681110 25.9  6.0  0.009900  2.5-99.9-99.9-99.9-9.9 99 6.3 29  0.4   4  3.2-9.9-9.9
5048519681111 32.5  7.3  0.009900  3.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9   2  1.6-9.9-9.9
