5055719710401 22.4  7.0  0.009999  0.0-99.9-99.9-99.910.0 8611.4 58  6.0   9  7.316.1 2.2
5055719710402 22.0  9.0  0.009999  6.4-99.9-99.9-99.910.0 86 9.2 56  5.7   5  4.115.9 2.1
5055719710403 25.5  7.3  0.009999  3.6-99.9-99.9-99.9 9.8 85 9.4 64  5.9   2  2.115.6 1.9
5055719710404 22.6  5.7  0.009999  6.9-99.9-99.9-99.9 8.0 70 9.8 63  6.0  10  8.713.5 2.2
5055719710405 25.6  5.7  0.009999  3.4-99.9-99.9-99.9 9.7 84 9.9 63  6.8   6  4.915.1 2.1
5055719710406 19.0  8.7  0.009999  4.8-99.9-99.9-99.9 0.0  011.9 84  9.8   6  5.2 4.2 1.3
5055719710407 18.2  5.4 14.519999  4.5-99.9-99.9-99.9 9.6 84 8.1 60  3.8   7  6.214.7 1.8
5055719710408 25.5  3.9  0.319999  1.9-99.9-99.9-99.9 9.3 82 9.8 64  6.5   9  7.714.3 2.1
5055719710409 16.0  7.4  0.009999  2.3-99.9-99.9-99.9 2.0 17 6.6 47 10.5  11  9.5 6.1 2.3
5055719710410 18.7  2.8  0.009999 -0.6-99.9-99.9-99.9 9.8 87 7.2 54  2.2  11  9.114.6 1.9
5055719710411 19.5 10.4  0.009999  9.3-99.9-99.9-99.9 4.9 44 6.4 39  8.0  11  9.4 9.2 2.8
5055719710412 20.0  8.8  0.009999  6.3-99.9-99.9-99.9 1.2 10 7.1 46  2.1  12 10.1 5.1 2.8
5055719710413 23.0  7.5  0.009999  5.9-99.9-99.9-99.9 7.6 69 8.4 50  4.4  10  8.611.9 2.3
5055719710414 20.7 13.4  0.009999 11.5-99.9-99.9-99.9 6.3 57 7.2 39  1.5  18 15.210.4 3.8
5055719710415 14.5  4.8  0.009999  4.2-99.9-99.9-99.9 9.4 86 6.9 54  1.8  18 15.213.5 2.2
5055719710416 20.0 -0.6  0.009999 -2.8-99.9-99.9-99.9 8.0 70 5.6 50 -1.1   5  4.311.6 1.4
5055719710417 14.1  2.8  0.009999 -0.1-99.9-99.9-99.9 7.7 71 5.4 53 -1.5   9  7.611.5 1.6
5055719710418 19.9  2.3  0.009999  1.9-99.9-99.9-99.9 9.5 87 4.6 52 -2.7  12  9.813.1 2.4
5055719710419 11.8  0.2  0.009999 -0.6-99.9-99.9-99.9 7.3 68 5.5 58 -1.5  13 10.710.9 1.5
5055719710420 14.5  1.3  0.009999  4.4-99.9-99.9-99.9 9.1 84 6.8 64  2.0  12 10.212.5 1.3
5055719710421 13.6  2.9  0.009999  0.4-99.9-99.9-99.9 3.2 28 7.7 70  3.1   7  5.7 6.4 1.0
5055719710422 14.6  1.9  0.009999 -1.6-99.9-99.9-99.9 2.9 27 6.8 65  1.5   6  4.8 6.2 1.1
5055719710423 12.8  6.7  0.009999  3.9-99.9-99.9-99.9 5.9 54 8.8 69  5.0   9  7.4 8.9 1.1
5055719710424 22.6  1.8  0.009999 -1.6-99.9-99.9-99.9 6.7 63 8.6 76  4.7   3  2.7 9.7 1.0
5055719710425 21.0  0.7  0.009999 -2.7-99.9-99.9-99.9 8.3 79 7.1 55  2.1   4  3.411.2 1.0
5055719710426 23.1  2.8  0.009999 -1.1-99.9-99.9-99.9 9.5 90 6.4 49  0.4   7  6.012.1 1.7
5055719710427 19.6  2.4  0.009999 -1.1-99.9-99.9-99.9 3.9 37 5.7 52 -0.6   4  3.8 6.8 1.4
