5044619610101-99.9 13.0  2.519900-99.9-99.9-99.9-99.9-9.9 9913.4 45 11.3  23 18.4-9.9-9.9
5044619610102-99.9 13.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.9 28  3.6  11  8.8-9.9-9.9
5044619610103-99.9 14.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.1 27  3.9   8  6.4-9.9-9.9
5044619610104-99.9 12.7  6.019900-99.9-99.9-99.9-99.9-9.9 99 9.6 28  6.4  13 10.4-9.9-9.9
5044619610105-99.9 13.3  0.009900-99.9-99.9-99.9-99.9-9.9 9911.4 42  8.9   3  2.4-9.9-9.9
5044619610106-99.9  7.0  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5044619610107-99.9 14.0 36.019900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5044619610108-99.9 15.0 10.819900-99.9-99.9-99.9-99.9-9.9 9919.4 61 17.0   4  3.2-9.9-9.9
5044619610109-99.9 10.5  7.519900-99.9-99.9-99.9-99.9-9.9 9913.8 60 11.8   9  7.2-9.9-9.9
5044619610110-99.9 10.3  0.009910-99.9-99.9-99.9-99.9-9.9 99 8.1 34  3.9  11  8.8-9.9-9.9
5044619610111-99.9 14.5  0.009900-99.9-99.9-99.9-99.9-9.9 9913.3 44 11.2  17 13.6-9.9-9.9
5044619610112-99.9 17.4  0.009900-99.9-99.9-99.9-99.9-9.9 9915.5 47 13.5   9  7.2-9.9-9.9
5044619610113-99.9 17.4  0.009900-99.9-99.9-99.9-99.9-9.9 9920.9 71 18.2   7  5.6-9.9-9.9
5044619610114-99.9 18.5  6.319900-99.9-99.9-99.9-99.9-9.9 9917.8 52 15.7   7  5.6-9.9-9.9
5044619610115-99.9 14.2  0.009900-99.9-99.9-99.9-99.9-9.9 9910.5 42  7.7   8  6.4-9.9-9.9
5044619610116-99.9 15.0  0.009900-99.9-99.9-99.9-99.9-9.9 9916.0 42 14.0  16 12.8-9.9-9.9
5044619610117-99.9 11.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.1 27  0.0  15 12.0-9.9-9.9
5044619610118-99.9  9.6  0.009900-99.9-99.9-99.9-99.9-9.9 9913.4 39 11.3  32 25.6-9.9-9.9
5044619610119-99.9 21.5  0.009900-99.9-99.9-99.9-99.9-9.9 9925.5 60 21.4   7  5.6-9.9-9.9
5044619610120-99.9 17.5  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.9 24  1.7  29 23.2-9.9-9.9
5044619610121-99.9 12.3  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.9 36  6.8  13 10.4-9.9-9.9
5044619610122-99.9 14.5  1.019900-99.9-99.9-99.9-99.9-9.9 9919.4 55 17.0  19 15.2-9.9-9.9
5044619610123-99.9 21.5  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5044619610124-99.9 11.6  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.4 38  6.1   7  5.6-9.9-9.9
5044619610125-99.9 12.0  0.009900-99.9-99.9-99.9-99.9-9.9 9910.5 43  7.7  16 12.8-9.9-9.9
5044619610126-99.9 11.5  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.7 33  5.0  14 11.2-9.9-9.9
5044619610127-99.9 12.5  0.009900-99.9-99.9-99.9-99.9-9.9 9913.9 44 11.9  23 18.4-9.9-9.9
5044619610128-99.9 16.5  0.009900-99.9-99.9-99.9-99.9-9.9 9910.6 29  7.8  17 13.6-9.9-9.9
5044619610129-99.9 19.2 11.519900-99.9-99.9-99.9-99.9-9.9 9912.8 32 10.6   4  3.2-9.9-9.9
5044619610130-99.9 18.9  0.009900-99.9-99.9-99.9-99.9-9.9 9916.4 46 14.4   7  5.6-9.9-9.9
5044619610131-99.9 16.3  0.009900-99.9-99.9-99.9-99.9-9.9 9915.2 56 13.2   2  1.6-9.9-9.9
5044619610201-99.9 14.0  2.019900-99.9-99.9-99.9-99.9-9.9 9916.4 77 14.4   8  6.4-9.9-9.9
5044619610202-99.9  9.5  0.009900-99.9-99.9-99.9-99.9-9.9 9912.9 47 10.7  14 11.2-9.9-9.9
5044619610203-99.9 14.0  0.009900-99.9-99.9-99.9-99.9-9.9 9912.8 35 10.6 -99-99.9-9.9-9.9
